Team,W,L,PCT,GB,Division,League
Toronto Blue Jays,76,55,0.58,5.0,Unknown,Unknown
Boston Red Sox,71,60,0.542,10.0,Unknown,Unknown
New York Yankees,70,60,0.538,10.5,Unknown,Unknown
Tampa Bay Rays,63,67,0.485,17.5,Unknown,Unknown
Baltimore Orioles,60,70,0.462,20.5,Unknown,Unknown
Detroit Tigers,78,54,0.591,3.5,Unknown,Unknown
Kansas City Royals,67,64,0.511,14.0,Unknown,Unknown
Cleveland Guardians,64,65,0.496,16.0,Unknown,Unknown
Minnesota Twins,59,71,0.454,21.5,Unknown,Unknown
Chicago White Sox,47,83,0.362,33.5,Unknown,Unknown
Houston Astros,72,59,0.55,9.0,Unknown,Unknown
Seattle Mariners,70,61,0.534,11.0,Unknown,Unknown
Texas Rangers,66,66,0.5,15.5,Unknown,Unknown
Los Angeles Angels,61,69,0.469,19.5,Unknown,Unknown
Athletics,60,72,0.455,21.5,Unknown,Unknown
Philadelphia Phillies,76,54,0.585,4.5,Unknown,Unknown
New York Mets,69,61,0.531,11.5,Unknown,Unknown
Miami Marlins,61,69,0.469,19.5,Unknown,Unknown
Atlanta Braves,59,71,0.454,21.5,Unknown,Unknown
Washington Nationals,53,77,0.408,27.5,Unknown,Unknown
Milwaukee Brewers,81,50,0.618,-,Unknown,Unknown
Chicago Cubs,76,55,0.58,5.0,Unknown,Unknown
Cincinnati Reds,68,63,0.519,13.0,Unknown,Unknown
St. Louis Cardinals,64,67,0.489,17.0,Unknown,Unknown
Pittsburgh Pirates,57,74,0.435,24.0,Unknown,Unknown
Los Angeles Dodgers,74,57,0.565,7.0,Unknown,Unknown
San Diego Padres,74,57,0.565,7.0,Unknown,Unknown
Arizona Diamondbacks,64,67,0.489,17.0,Unknown,Unknown
San Francisco Giants,63,68,0.481,18.0,Unknown,Unknown
Colorado Rockies,37,94,0.282,44.0,Unknown,Unknown
