Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.33,38,89,0.442,0.68,7,0.454,197,0.392,0.35,0.258,0.163
Cal Raleigh,SEA,0.247,46,100,0.353,0.593,13,0.392,160,0.244,0.347,0.267,0.134
Shohei Ohtani,LAD,0.282,43,80,0.39,0.626,17,0.419,173,0.32,0.344,0.268,0.146
Bobby Witt Jr.,KCR,0.29,17,67,0.347,0.496,30,0.356,126,0.331,0.206,0.191,0.076
Pete Crow-Armstrong,CHC,0.259,27,79,0.297,0.523,30,0.346,125,0.29,0.264,0.24100000000000002,0.040999999999999995
Jose Ramirez,CLE,0.295,25,64,0.368,0.523,35,0.371,141,0.285,0.228,0.10300000000000001,0.095
Fernando Tatis Jr.,SDP,0.264,17,49,0.369,0.432,24,0.349,128,0.301,0.167,0.18100000000000002,0.132
Trea Turner,PHI,0.286,12,52,0.341,0.427,28,0.335,113,0.328,0.141,0.168,0.07200000000000001
Geraldo Perdomo,ARI,0.286,13,79,0.385,0.44,19,0.361,132,0.297,0.154,0.107,0.135
Corbin Carroll,ARI,0.248,26,63,0.322,0.548,14,0.366,135,0.279,0.3,0.245,0.086
Jeremy Pena,HOU,0.318,13,45,0.373,0.492,17,0.374,142,0.355,0.174,0.161,0.055
Ketel Marte,ARI,0.297,23,56,0.399,0.555,3,0.406,162,0.295,0.258,0.136,0.134
Maikel Garcia,KCR,0.301,11,52,0.364,0.467,22,0.36,128,0.331,0.166,0.133,0.09
Julio Rodriguez,SEA,0.259,24,69,0.315,0.459,23,0.334,120,0.296,0.2,0.222,0.057999999999999996
Kyle Schwarber,PHI,0.25,43,101,0.373,0.582,10,0.403,160,0.269,0.332,0.275,0.14800000000000002
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Byron Buxton,MIN,0.279,24,60,0.341,0.555,17,0.376,143,0.323,0.276,0.266,0.081
Kyle Tucker,CHC,0.263,18,62,0.376,0.454,24,0.359,134,0.279,0.191,0.14400000000000002,0.15
Francisco Lindor,NYM,0.253,24,69,0.323,0.449,19,0.333,117,0.272,0.195,0.191,0.075
Vladimir Guerrero Jr.,TOR,0.3,20,67,0.398,0.497,5,0.385,150,0.32,0.197,0.136,0.131
Elly De La Cruz,CIN,0.276,19,76,0.349,0.461,31,0.346,118,0.347,0.185,0.253,0.098
Will Smith,LAD,0.308,15,54,0.412,0.517,2,0.4,160,0.353,0.21,0.193,0.14800000000000002
Juan Soto,NYM,0.252,30,70,0.384,0.499,19,0.376,147,0.26,0.247,0.195,0.17600000000000002
Manny Machado,SDP,0.294,20,72,0.356,0.485,11,0.361,137,0.323,0.191,0.172,0.086
