Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,208,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,102,381,70,98,40,85,12,64,116,0.257,0.369,0.614,0.983,0.406,170,0.254,0.357,0.256,0.141
Pete Crow-Armstrong,CHC,102,401,71,107,27,74,28,19,101,0.267,0.303,0.554,0.856,0.361,136,0.29,0.287,0.235,0.044000000000000004
Bobby Witt Jr.,KCR,104,411,62,118,15,58,27,31,84,0.287,0.337,0.491,0.829,0.35,122,0.324,0.204,0.18600000000000003,0.069
Shohei Ohtani,LAD,103,403,99,110,38,71,13,65,124,0.273,0.376,0.62,0.997,0.412,169,0.296,0.347,0.262,0.13699999999999998
Jose Ramirez,CLE,101,379,64,113,21,56,31,42,46,0.298,0.373,0.528,0.9,0.376,144,0.29,0.23,0.106,0.09699999999999999
Trea Turner,PHI,102,422,71,125,11,44,25,33,76,0.296,0.351,0.441,0.792,0.345,121,0.338,0.145,0.165,0.07200000000000001
Fernando Tatis Jr.,SDP,103,391,69,104,17,44,22,56,81,0.266,0.363,0.448,0.81,0.351,130,0.296,0.182,0.179,0.124
Kyle Tucker,CHC,102,380,71,104,18,58,23,66,63,0.274,0.381,0.487,0.868,0.372,143,0.285,0.213,0.139,0.146
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Corbin Carroll,ARI,88,357,67,88,21,50,13,32,99,0.246,0.32,0.546,0.866,0.366,135,0.282,0.3,0.249,0.081
Elly De La Cruz,CIN,105,400,78,114,18,67,28,49,109,0.285,0.365,0.49,0.855,0.365,131,0.35,0.205,0.24100000000000002,0.10800000000000001
Will Smith,LAD,82,274,52,89,14,48,2,48,60,0.325,0.424,0.544,0.968,0.415,171,0.366,0.219,0.182,0.145
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,146,0.327,0.279,0.266,0.08
Kyle Stowers,MIA,99,332,52,99,23,62,4,39,105,0.298,0.377,0.575,0.953,0.403,161,0.367,0.277,0.276,0.10300000000000001
Kyle Schwarber,PHI,104,386,75,99,36,84,9,70,122,0.256,0.381,0.58,0.962,0.407,163,0.276,0.324,0.263,0.151
Geraldo Perdomo,ARI,104,381,56,106,10,72,15,61,51,0.278,0.379,0.425,0.804,0.354,127,0.292,0.147,0.111,0.133
Francisco Lindor,NYM,103,417,68,105,20,58,17,34,85,0.252,0.319,0.441,0.76,0.328,115,0.267,0.189,0.182,0.073
James Wood,WSN,103,387,61,103,24,70,14,63,130,0.266,0.369,0.506,0.876,0.372,141,0.335,0.24,0.28600000000000003,0.138
Alejandro Kirk,TOR,88,312,27,95,7,47,0,29,34,0.304,0.361,0.413,0.775,0.339,117,0.32,0.109,0.098,0.084
Manny Machado,SDP,105,402,61,118,19,63,8,39,76,0.294,0.355,0.498,0.852,0.365,140,0.317,0.204,0.17,0.087
Cody Bellinger,NYY,95,370,59,104,19,58,9,30,56,0.281,0.333,0.505,0.838,0.357,131,0.283,0.224,0.138,0.07400000000000001
Julio Rodriguez,SEA,104,431,69,111,18,55,20,30,105,0.258,0.316,0.436,0.753,0.327,116,0.3,0.179,0.223,0.064
Andy Pages,LAD,101,377,49,108,19,64,8,20,86,0.286,0.328,0.488,0.816,0.35,126,0.321,0.202,0.21100000000000002,0.049
Eugenio Suarez,ARI,103,377,64,94,36,87,1,29,113,0.249,0.32,0.584,0.904,0.379,144,0.248,0.334,0.266,0.068
Matt Olson,ATL,103,389,57,103,18,65,0,64,107,0.265,0.369,0.468,0.837,0.364,135,0.318,0.203,0.23399999999999999,0.14
Juan Soto,NYM,104,369,73,93,24,61,14,83,86,0.252,0.387,0.491,0.878,0.375,147,0.262,0.238,0.188,0.18100000000000002
Randy Arozarena,SEA,103,382,59,95,20,52,17,46,123,0.249,0.354,0.471,0.825,0.358,138,0.31,0.223,0.27399999999999997,0.102
Ceddanne Rafaela,BOS,100,348,58,92,14,48,14,17,70,0.264,0.305,0.457,0.762,0.329,106,0.294,0.193,0.188,0.046
Masyn Winn,STL,94,360,57,96,7,36,6,27,67,0.267,0.321,0.383,0.705,0.311,100,0.309,0.117,0.17,0.069
Maikel Garcia,KCR,103,382,46,113,9,43,19,33,56,0.296,0.351,0.461,0.812,0.351,123,0.325,0.165,0.133,0.078
Gunnar Henderson,BAL,97,366,53,103,11,38,13,36,93,0.281,0.35,0.459,0.809,0.348,125,0.35,0.178,0.22899999999999998,0.08900000000000001
Matt Chapman,SFG,81,291,47,70,14,38,7,45,82,0.241,0.35,0.44,0.79,0.348,127,0.287,0.199,0.24100000000000002,0.132
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
Steven Kwan,CLE,98,385,50,110,9,37,11,39,37,0.286,0.351,0.413,0.764,0.334,116,0.293,0.127,0.085,0.09
Pete Alonso,NYM,105,390,54,105,22,81,1,47,105,0.269,0.361,0.51,0.871,0.372,145,0.31,0.241,0.231,0.10400000000000001
Vladimir Guerrero Jr.,TOR,103,386,69,113,14,54,5,61,64,0.293,0.396,0.461,0.857,0.372,140,0.319,0.168,0.141,0.134
CJ Abrams,WSN,90,361,63,98,13,40,20,25,68,0.271,0.334,0.465,0.8,0.345,123,0.301,0.194,0.17,0.063
Xander Bogaerts,SDP,103,368,44,98,6,35,16,43,65,0.266,0.341,0.378,0.718,0.316,106,0.305,0.111,0.156,0.10300000000000001
George Springer,TOR,99,336,64,98,18,56,12,50,74,0.292,0.383,0.512,0.895,0.385,149,0.323,0.22,0.18600000000000003,0.126
Michael Busch,CHC,98,326,48,91,20,60,4,37,87,0.279,0.367,0.528,0.894,0.384,151,0.324,0.248,0.235,0.1
Riley Greene,DET,103,398,55,109,25,80,1,28,141,0.274,0.323,0.52,0.843,0.36,132,0.359,0.246,0.32799999999999996,0.065
Zach McKinstry,DET,96,313,49,84,8,32,16,37,74,0.268,0.349,0.441,0.79,0.343,121,0.323,0.173,0.20600000000000002,0.10300000000000001
Brendan Donovan,STL,98,379,54,110,9,42,3,36,56,0.29,0.359,0.425,0.784,0.342,122,0.318,0.135,0.131,0.084
Sal Frelick,MIL,94,348,46,102,7,39,17,26,50,0.293,0.352,0.402,0.755,0.333,116,0.324,0.109,0.129,0.067
Nico Hoerner,CHC,100,381,55,109,3,41,19,22,30,0.286,0.333,0.373,0.706,0.312,102,0.303,0.087,0.073,0.054000000000000006
Junior Caminero,TBR,99,389,59,101,26,68,5,23,85,0.26,0.301,0.512,0.812,0.344,121,0.265,0.252,0.203,0.055
Willson Contreras,STL,100,367,52,97,14,61,4,34,105,0.264,0.352,0.455,0.807,0.353,129,0.332,0.191,0.249,0.081
Jacob Wilson,ATH,94,369,46,115,10,45,5,21,31,0.312,0.354,0.439,0.793,0.346,119,0.319,0.127,0.078,0.053
Brandon Nimmo,NYM,101,378,52,99,19,59,12,32,83,0.262,0.327,0.463,0.79,0.341,124,0.287,0.201,0.198,0.076
Jackson Chourio,MIL,103,435,70,118,17,66,18,19,94,0.271,0.303,0.464,0.767,0.329,112,0.309,0.193,0.205,0.040999999999999995
Bryce Harper,PHI,76,286,47,76,15,43,10,47,69,0.266,0.375,0.5,0.875,0.376,142,0.299,0.234,0.204,0.139
TJ Friedl,CIN,101,380,62,102,10,36,10,51,69,0.268,0.37,0.397,0.767,0.343,116,0.303,0.129,0.153,0.113
Otto Lopez,MIA,87,327,44,82,11,54,10,34,51,0.251,0.324,0.394,0.719,0.315,100,0.267,0.144,0.14,0.09300000000000001
Ernie Clement,TOR,103,351,49,99,5,31,3,20,37,0.282,0.318,0.387,0.706,0.307,95,0.299,0.105,0.09699999999999999,0.052000000000000005
Jonathan Aranda,TBR,98,340,50,107,11,51,0,38,96,0.315,0.394,0.474,0.868,0.377,144,0.409,0.159,0.247,0.098
Rafael Devers,- - -,106,395,61,104,19,73,1,74,121,0.263,0.383,0.473,0.856,0.368,136,0.328,0.21,0.253,0.155
