Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,397,0.361,32,71,0.471,0.731,6,0.491,225,0.439,0.37,0.2518891687657431,0.163727959697733
Cal Raleigh,SEA,384,0.27,35,74,0.383,0.646,9,0.424,184,0.269,0.376,0.25,0.14583333333333334
Pete Crow-Armstrong,CHC,371,0.27,23,66,0.308,0.552,26,0.364,136,0.295,0.28200000000000003,0.23450134770889489,0.04582210242587601
Bobby Witt Jr.,KCR,391,0.293,11,48,0.345,0.487,24,0.353,124,0.339,0.194,0.1918158567774936,0.07161125319693094
Shohei Ohtani,LAD,407,0.281,30,56,0.384,0.617,12,0.416,170,0.312,0.33599999999999997,0.25061425061425063,0.1375921375921376
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.377,146,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
James Wood,WSN,394,0.288,23,67,0.391,0.553,12,0.399,158,0.348,0.26500000000000007,0.2614213197969543,0.1446700507614213
Kyle Tucker,CHC,392,0.283,17,52,0.386,0.515,21,0.384,150,0.294,0.23200000000000004,0.14030612244897958,0.14030612244897958
Trea Turner,PHI,391,0.301,11,39,0.353,0.454,22,0.351,123,0.338,0.15300000000000002,0.16112531969309463,0.06649616368286446
Fernando Tatis Jr.,SDP,378,0.258,15,38,0.349,0.439,18,0.343,123,0.28,0.181,0.1746031746031746,0.11375661375661375
Will Smith,LAD,282,0.332,12,45,0.433,0.56,2,0.426,176,0.374,0.22800000000000004,0.18085106382978725,0.14893617021276595
Corbin Carroll,ARI,328,0.251,20,44,0.335,0.564,10,0.381,144,0.279,0.31299999999999994,0.24695121951219512,0.09146341463414634
Francisco Lindor,NYM,398,0.261,17,47,0.332,0.455,14,0.34,121,0.278,0.194,0.17839195979899497,0.07788944723618091
Byron Buxton,MIN,309,0.268,19,52,0.333,0.536,15,0.368,138,0.309,0.268,0.2686084142394822,0.08414239482200647
Matt Olson,ATL,387,0.271,17,58,0.372,0.495,0,0.375,141,0.317,0.22399999999999998,0.22739018087855298,0.13695090439276486
