Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,11,3,2.18,181,19,0.83,9.53,0.64,1.94
Paul Skenes,PIT,6,8,2.02,154,34,0.92,4.53,0.46,2.4
Garrett Crochet,BOS,12,4,2.23,175,38,1.09,4.61,0.76,2.54
Zack Wheeler,PHI,9,5,2.64,182,28,0.92,6.5,1.1,2.85
Framber Valdez,HOU,11,4,2.62,141,44,1.11,3.2,0.54,2.87
Hunter Brown,HOU,9,5,2.47,155,39,0.98,3.97,0.82,2.93
Logan Webb,SFG,9,8,3.31,155,34,1.25,4.56,0.64,2.64
Cristopher Sanchez,PHI,9,3,2.55,139,33,1.09,4.21,0.69,2.86
Max Fried,NYY,12,4,2.62,125,32,1.03,3.91,0.67,3.08
Matthew Boyd,CHC,11,4,2.34,118,29,1.03,4.07,0.76,3.17
Yoshinobu Yamamoto,LAD,9,7,2.63,133,39,1.05,3.41,0.77,2.99
Jesus Luzardo,PHI,9,5,4.31,140,44,1.37,3.18,0.74,2.98
Kris Bubic,KCR,8,7,2.55,116,39,1.18,2.97,0.46,2.86
Nick Pivetta,SDP,11,3,2.73,136,32,0.94,4.25,0.98,3.2
Joe Ryan,MIN,10,5,2.83,141,25,0.93,5.64,0.99,3.14
Jacob deGrom,TEX,10,3,2.55,130,26,0.92,5.0,1.16,3.36
Sonny Gray,STL,10,5,4.38,133,20,1.22,6.65,1.11,3.09
Merrill Kelly,- - -,9,6,3.22,127,38,1.04,3.34,0.94,3.44
Jose Soriano,LAA,7,8,3.65,115,60,1.38,1.92,0.47,3.5
Mitch Keller,PIT,4,10,3.69,100,33,1.2,3.03,0.71,3.45
MacKenzie Gore,WSN,4,11,3.8,148,45,1.29,3.29,1.1,3.48
David Peterson,NYM,7,4,2.83,105,43,1.24,2.44,0.5,3.32
Michael Wacha,KCR,5,9,3.38,95,35,1.16,2.71,0.86,3.74
Nick Lodolo,CIN,8,6,3.09,123,24,1.05,5.13,1.2,3.73
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.22
Freddy Peralta,MIL,12,5,3.08,134,46,1.13,2.91,1.07,3.81
Luis Castillo,SEA,8,6,3.22,115,37,1.21,3.11,0.89,3.62
Dylan Cease,SDP,3,10,4.79,153,47,1.34,3.26,1.29,3.65
Bryan Woo,SEA,8,6,3.11,127,25,0.97,5.08,1.35,3.78
Kevin Gausman,TOR,7,8,3.99,127,37,1.1,3.43,1.19,3.78
Yusei Kikuchi,LAA,4,7,3.3,132,54,1.42,2.44,1.2,4.08
Carlos Rodon,NYY,11,7,3.34,156,52,1.06,3.0,1.27,3.87
Brady Singer,CIN,9,8,4.36,111,44,1.31,2.52,1.01,3.99
Nick Martinez,CIN,9,9,4.61,93,31,1.21,3.0,1.13,4.1
Luis Severino,ATH,5,11,4.83,98,42,1.35,2.33,0.9,4.14
Dean Kremer,BAL,8,7,4.27,104,34,1.27,3.06,1.21,4.04
Chris Bassitt,TOR,11,5,4.24,121,30,1.34,4.03,1.32,4.01
Robbie Ray,SFG,9,5,2.85,140,53,1.12,2.64,1.06,3.79
Chris Paddack,- - -,4,9,4.77,88,27,1.24,3.26,1.31,4.26
Jack Flaherty,DET,6,10,4.36,144,47,1.25,3.06,1.48,4.04
Jose Berrios,TOR,7,4,3.84,111,44,1.26,2.52,1.3,4.41
Shane Baz,TBR,8,8,4.79,124,46,1.33,2.7,1.45,4.46
Ryan Pepiot,TBR,6,9,3.8,128,45,1.18,2.84,1.59,4.58
Jeffrey Springs,ATH,10,7,4.0,102,40,1.17,2.55,1.5,4.65
Clay Holmes,NYM,9,6,3.45,91,46,1.32,1.98,0.92,4.29
Mitchell Parker,WSN,7,11,5.35,77,43,1.47,1.79,1.15,4.62
Seth Lugo,KCR,8,5,3.03,104,37,1.13,2.81,1.44,4.47
Tanner Bibee,CLE,7,9,4.51,112,35,1.26,3.2,1.5,4.49
Gavin Williams,CLE,6,4,3.33,117,62,1.35,1.89,1.16,4.42
Kyle Hendricks,LAA,6,8,4.59,72,28,1.24,2.57,1.45,4.77
Zack Littell,TBR,8,8,3.58,89,21,1.12,4.24,1.76,4.89
Andre Pallante,STL,6,7,4.62,76,37,1.31,2.05,1.08,4.33
Grant Holmes,ATL,4,9,3.99,123,54,1.34,2.28,1.25,4.36
Sandy Alcantara,MIA,6,9,6.36,81,42,1.42,1.93,1.07,4.49
Brandon Pfaadt,ARI,10,7,5.11,98,25,1.31,3.92,1.55,4.55
Bailey Falter,PIT,7,5,3.73,70,39,1.18,1.79,1.35,4.88
Tomoyuki Sugano,BAL,8,5,4.42,76,29,1.32,2.62,1.66,5.06
Zac Gallen,ARI,8,12,5.48,124,47,1.36,2.64,1.56,4.64
Tyler Anderson,LAA,2,7,4.49,92,46,1.39,2.0,1.75,5.32
Jake Irvin,WSN,8,6,4.89,88,43,1.33,2.05,1.65,5.22
