Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.469,208,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,104,389,71,101,41,87,12,64,118,0.26,0.369,0.617,0.986,0.407,171,0.258,0.357,0.256,0.139
Pete Crow-Armstrong,CHC,104,409,71,109,27,76,29,19,103,0.267,0.302,0.553,0.854,0.361,135,0.291,0.286,0.235,0.043
Shohei Ohtani,LAD,105,410,100,113,38,73,13,68,125,0.276,0.381,0.62,1.0,0.414,170,0.301,0.344,0.258,0.14
Bobby Witt Jr.,KCR,106,419,65,121,15,58,27,32,87,0.289,0.339,0.496,0.836,0.353,124,0.328,0.208,0.18899999999999997,0.07
Jose Ramirez,CLE,103,387,64,114,21,56,31,43,47,0.295,0.37,0.519,0.889,0.371,141,0.287,0.225,0.107,0.098
Fernando Tatis Jr.,SDP,105,399,73,107,17,44,22,58,83,0.268,0.366,0.451,0.817,0.354,132,0.3,0.183,0.18,0.126
Trea Turner,PHI,104,430,71,125,11,44,25,33,79,0.291,0.345,0.433,0.778,0.339,116,0.333,0.142,0.168,0.07
Kyle Tucker,CHC,104,386,73,106,18,59,23,70,63,0.275,0.386,0.487,0.873,0.375,145,0.286,0.212,0.136,0.151
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Corbin Carroll,ARI,90,364,67,89,21,50,13,33,101,0.245,0.319,0.538,0.857,0.362,133,0.28,0.294,0.249,0.081
Elly De La Cruz,CIN,107,407,78,115,18,67,29,50,114,0.283,0.363,0.484,0.847,0.362,129,0.351,0.201,0.248,0.109
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,146,0.327,0.279,0.266,0.08
Kyle Stowers,MIA,100,335,52,100,23,63,5,40,106,0.299,0.379,0.573,0.952,0.403,160,0.368,0.275,0.276,0.10400000000000001
Manny Machado,SDP,107,411,63,124,19,66,9,39,77,0.302,0.362,0.506,0.869,0.372,145,0.328,0.204,0.168,0.085
Kyle Schwarber,PHI,106,391,75,99,36,84,9,73,125,0.253,0.381,0.573,0.954,0.404,161,0.274,0.32,0.265,0.155
Geraldo Perdomo,ARI,106,389,56,106,10,72,15,61,53,0.272,0.372,0.416,0.788,0.348,123,0.287,0.144,0.113,0.13
Cody Bellinger,NYY,97,377,60,106,19,58,9,31,56,0.281,0.333,0.507,0.84,0.358,131,0.283,0.225,0.135,0.075
Alejandro Kirk,TOR,88,312,27,95,7,47,0,29,34,0.304,0.361,0.413,0.775,0.339,117,0.32,0.109,0.098,0.084
Francisco Lindor,NYM,105,427,68,107,20,59,17,34,90,0.251,0.317,0.438,0.755,0.326,113,0.269,0.187,0.18899999999999997,0.071
James Wood,WSN,104,391,61,103,24,70,14,64,134,0.263,0.367,0.501,0.869,0.37,139,0.335,0.238,0.29100000000000004,0.139
Maikel Garcia,KCR,105,389,49,117,10,46,19,35,56,0.301,0.357,0.476,0.833,0.36,129,0.328,0.175,0.13,0.081
Masyn Winn,STL,96,367,58,100,7,39,6,27,67,0.272,0.326,0.392,0.718,0.316,104,0.315,0.12,0.16699999999999998,0.067
Eugenio Suarez,ARI,105,383,64,95,36,87,1,29,116,0.248,0.321,0.577,0.898,0.377,143,0.249,0.329,0.268,0.067
Juan Soto,NYM,106,377,75,94,25,62,15,84,90,0.249,0.384,0.491,0.875,0.373,146,0.259,0.241,0.193,0.18
Matt Chapman,SFG,83,300,49,73,16,42,7,45,86,0.243,0.351,0.463,0.815,0.356,133,0.288,0.22,0.24600000000000002,0.129
Julio Rodriguez,SEA,106,439,69,111,18,55,20,30,108,0.253,0.311,0.428,0.739,0.321,112,0.295,0.175,0.225,0.063
Vladimir Guerrero Jr.,TOR,105,394,71,116,15,56,5,63,65,0.294,0.398,0.467,0.865,0.375,143,0.32,0.173,0.14,0.135
Matt Olson,ATL,105,397,59,104,18,66,0,66,109,0.262,0.368,0.463,0.831,0.362,133,0.315,0.202,0.233,0.141
Randy Arozarena,SEA,105,389,59,96,20,52,19,46,123,0.247,0.351,0.465,0.816,0.355,135,0.305,0.219,0.27,0.10099999999999999
Andy Pages,LAD,103,387,49,109,19,64,8,20,89,0.282,0.323,0.478,0.801,0.344,122,0.317,0.196,0.213,0.048
Ceddanne Rafaela,BOS,102,355,58,93,14,48,14,17,71,0.262,0.302,0.451,0.753,0.325,103,0.292,0.189,0.187,0.045
CJ Abrams,WSN,92,367,66,100,14,41,23,26,70,0.272,0.339,0.471,0.81,0.35,126,0.302,0.199,0.172,0.064
Gunnar Henderson,BAL,99,373,56,104,11,38,14,38,94,0.279,0.349,0.453,0.802,0.346,124,0.346,0.174,0.22699999999999998,0.092
Xander Bogaerts,SDP,105,378,46,102,7,37,16,43,66,0.27,0.342,0.389,0.731,0.32,109,0.306,0.119,0.154,0.1
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
