Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,388,0.364,31,70,0.474,0.734,6,0.493,227,0.443,0.37,0.25,0.16494845360824742
Cal Raleigh,SEA,376,0.268,33,71,0.378,0.631,9,0.418,180,0.271,0.363,0.25,0.14095744680851063
Shohei Ohtani,LAD,398,0.284,30,56,0.385,0.627,12,0.42,173,0.316,0.343,0.2537688442211055,0.135678391959799
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.377,146,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
Pete Crow-Armstrong,CHC,362,0.265,21,64,0.302,0.536,26,0.356,130,0.292,0.271,0.23480662983425415,0.04419889502762431
Bobby Witt Jr.,KCR,382,0.289,11,46,0.343,0.488,24,0.352,124,0.332,0.199,0.18848167539267016,0.07329842931937172
James Wood,WSN,387,0.294,23,67,0.395,0.563,12,0.405,162,0.356,0.26899999999999996,0.26356589147286824,0.14470284237726097
Kyle Tucker,CHC,383,0.287,17,52,0.392,0.525,21,0.391,154,0.297,0.23800000000000004,0.13838120104438642,0.14360313315926893
Trea Turner,PHI,382,0.297,11,39,0.351,0.451,21,0.35,122,0.335,0.15400000000000003,0.1649214659685864,0.06806282722513089
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,148,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Fernando Tatis Jr.,SDP,368,0.261,15,38,0.351,0.441,18,0.346,125,0.282,0.18,0.17119565217391305,0.11141304347826086
Will Smith,LAD,273,0.324,11,44,0.425,0.547,2,0.418,171,0.365,0.22300000000000003,0.1794871794871795,0.14652014652014653
Byron Buxton,MIN,300,0.272,19,51,0.337,0.545,15,0.373,142,0.314,0.273,0.27,0.08333333333333333
Francisco Lindor,NYM,389,0.261,17,46,0.329,0.455,13,0.339,121,0.275,0.194,0.17737789203084833,0.07455012853470437
Riley Greene,DET,360,0.292,21,69,0.344,0.545,1,0.381,149,0.376,0.25300000000000006,0.3055555555555556,0.06944444444444445
Jose Ramirez,CLE,346,0.297,13,38,0.358,0.481,21,0.357,132,0.302,0.184,0.11271676300578035,0.08092485549132948
Jacob Wilson,ATH,343,0.339,9,40,0.38,0.473,5,0.373,138,0.347,0.13399999999999995,0.07580174927113703,0.05539358600583091
Elly De La Cruz,CIN,375,0.275,18,58,0.349,0.493,22,0.361,126,0.33,0.21799999999999997,0.25066666666666665,0.09866666666666667
Andy Pages,LAD,341,0.289,17,58,0.326,0.503,6,0.356,129,0.316,0.21400000000000002,0.19941348973607037,0.04105571847507331
Alejandro Kirk,TOR,288,0.305,7,41,0.358,0.42,0,0.341,120,0.317,0.11499999999999999,0.09722222222222222,0.0763888888888889
Matt Olson,ATL,378,0.267,16,56,0.368,0.484,0,0.369,137,0.314,0.21699999999999997,0.2275132275132275,0.1349206349206349
Zach McKinstry,DET,299,0.29,5,25,0.362,0.454,10,0.354,130,0.366,0.16400000000000003,0.22408026755852842,0.09698996655518395
Geraldo Perdomo,ARI,380,0.269,9,59,0.365,0.418,13,0.345,119,0.28,0.14899999999999997,0.11842105263157894,0.13157894736842105
CJ Abrams,WSN,332,0.286,12,31,0.356,0.488,18,0.367,136,0.319,0.202,0.1716867469879518,0.06927710843373494
Pete Alonso,NYM,384,0.287,18,67,0.378,0.532,1,0.391,156,0.338,0.24500000000000005,0.22916666666666666,0.09895833333333333
Manny Machado,SDP,365,0.289,13,50,0.351,0.471,8,0.356,132,0.317,0.182,0.1643835616438356,0.09041095890410959
Maikel Garcia,KCR,353,0.305,8,39,0.365,0.469,18,0.363,131,0.337,0.16399999999999998,0.1359773371104816,0.08498583569405099
