Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,11,3,2.42,190,23,0.87,8.26,0.77,2.26
Garrett Crochet,BOS,13,5,2.48,188,40,1.1,4.7,0.77,2.54
Paul Skenes,PIT,7,9,2.13,166,36,0.96,4.61,0.55,2.51
Cristopher Sanchez,PHI,11,4,2.45,157,36,1.09,4.36,0.6,2.73
Hunter Brown,HOU,10,5,2.45,164,43,1.0,3.81,0.76,2.92
Zack Wheeler,PHI,10,5,2.71,195,33,0.94,5.91,1.14,2.98
Logan Webb,SFG,10,9,3.34,168,35,1.26,4.8,0.64,2.62
Framber Valdez,HOU,11,6,3.01,151,50,1.18,3.02,0.53,3.0
Jesus Luzardo,PHI,11,6,4.21,158,48,1.34,3.29,0.84,3.11
Joe Ryan,MIN,12,5,2.72,153,27,0.92,5.67,1.04,3.23
Matthew Boyd,CHC,11,6,2.46,126,30,1.02,4.2,0.76,3.18
Yoshinobu Yamamoto,LAD,10,8,2.84,145,44,1.09,3.3,0.78,3.07
Nick Pivetta,SDP,12,4,2.87,144,36,0.95,4.0,0.96,3.26
Max Fried,NYY,13,5,3.26,141,37,1.12,3.81,0.79,3.28
Sonny Gray,STL,11,6,4.3,155,24,1.19,6.46,1.22,3.24
Jacob deGrom,TEX,10,5,2.76,148,30,0.93,4.93,1.22,3.47
Bryan Woo,SEA,10,7,3.02,153,28,0.97,5.46,1.3,3.59
Jose Soriano,LAA,8,9,3.84,125,63,1.37,1.98,0.5,3.5
Michael Wacha,KCR,7,9,3.35,101,37,1.15,2.73,0.79,3.65
MacKenzie Gore,WSN,5,12,4.04,165,49,1.32,3.37,1.11,3.5
Freddy Peralta,MIL,14,5,2.9,148,50,1.12,2.96,1.05,3.74
Mitch Keller,PIT,5,11,4.13,112,39,1.27,2.87,0.83,3.66
Dylan Cease,SDP,5,11,4.61,171,56,1.31,3.05,1.15,3.54
David Peterson,NYM,7,5,3.3,117,50,1.28,2.34,0.59,3.49
Nick Lodolo,CIN,8,6,3.05,124,24,1.03,5.17,1.18,3.72
Merrill Kelly,- - -,9,7,3.36,136,44,1.09,3.09,1.06,3.72
Kevin Gausman,TOR,8,9,3.79,138,40,1.05,3.45,1.2,3.82
Carlos Rodon,NYY,12,7,3.25,164,58,1.06,2.83,1.17,3.85
Dean Kremer,BAL,8,9,4.17,116,36,1.25,3.22,1.15,3.92
Yusei Kikuchi,LAA,6,8,3.52,149,61,1.44,2.44,1.2,4.08
Brady Singer,CIN,10,9,4.31,119,48,1.31,2.48,1.01,4.01
Luis Severino,ATH,6,11,4.82,103,44,1.34,2.34,0.86,4.1
Robbie Ray,SFG,9,6,2.98,152,56,1.14,2.71,1.03,3.73
Luis Castillo,SEA,8,6,3.48,125,38,1.22,3.29,1.14,3.93
Nick Martinez,CIN,10,9,4.73,98,33,1.23,2.97,1.23,4.28
Chris Bassitt,TOR,11,6,4.22,132,39,1.33,3.38,1.36,4.28
Shane Baz,TBR,8,9,4.93,140,50,1.33,2.8,1.4,4.33
Zack Littell,- - -,9,8,3.52,103,24,1.11,4.29,1.61,4.65
Jose Berrios,TOR,9,4,3.74,119,49,1.26,2.43,1.27,4.43
Clay Holmes,NYM,9,6,3.71,101,52,1.35,1.94,0.86,4.2
Chris Paddack,- - -,4,10,4.76,92,28,1.22,3.29,1.42,4.45
Jeffrey Springs,ATH,10,8,4.06,109,41,1.15,2.66,1.53,4.67
Brayan Bello,BOS,9,6,3.23,97,45,1.26,2.16,0.98,4.31
Tanner Bibee,CLE,9,9,4.54,124,43,1.29,2.88,1.45,4.49
Ryan Pepiot,TBR,8,9,3.86,138,49,1.18,2.82,1.64,4.69
Mitchell Parker,WSN,7,13,5.55,84,49,1.46,1.71,1.2,4.75
Sandy Alcantara,MIA,6,11,6.31,97,48,1.41,2.02,1.06,4.4
Quinn Priester,MIL,11,2,3.48,100,40,1.24,2.5,1.23,4.32
Gavin Williams,CLE,7,4,3.38,127,67,1.31,1.9,1.27,4.58
Brandon Pfaadt,ARI,12,8,5.08,108,30,1.36,3.6,1.42,4.44
Tomoyuki Sugano,BAL,10,5,4.13,82,32,1.28,2.56,1.5,4.9
Seth Lugo,KCR,8,6,3.77,110,47,1.24,2.34,1.58,4.88
Andre Pallante,STL,6,10,5.04,88,44,1.38,2.0,1.19,4.51
Bailey Falter,- - -,7,6,4.23,79,45,1.25,1.76,1.39,4.95
Zac Gallen,ARI,9,12,5.31,131,52,1.35,2.52,1.5,4.63
Jake Irvin,WSN,8,7,5.14,94,47,1.38,2.0,1.74,5.39
Tyler Anderson,LAA,2,8,4.77,98,52,1.42,1.88,1.92,5.65
