Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,207,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,105,393,71,102,41,87,12,64,120,0.26,0.368,0.613,0.981,0.405,169,0.26,0.354,0.258,0.138
Pete Crow-Armstrong,CHC,105,411,72,110,27,77,29,20,103,0.268,0.304,0.552,0.856,0.361,135,0.291,0.285,0.233,0.045
Bobby Witt Jr.,KCR,107,423,66,123,15,60,28,33,89,0.291,0.342,0.496,0.838,0.354,124,0.332,0.206,0.191,0.071
Shohei Ohtani,LAD,106,415,100,113,38,73,13,68,129,0.272,0.377,0.612,0.989,0.41,167,0.3,0.34,0.264,0.139
Jose Ramirez,CLE,104,392,66,116,21,56,31,43,47,0.296,0.37,0.518,0.888,0.371,140,0.289,0.222,0.105,0.096
Fernando Tatis Jr.,SDP,106,402,74,108,17,44,22,59,84,0.269,0.367,0.45,0.817,0.354,132,0.301,0.182,0.18,0.127
Trea Turner,PHI,105,435,72,127,11,44,25,33,80,0.292,0.346,0.434,0.78,0.34,117,0.335,0.143,0.16899999999999998,0.07
Kyle Tucker,CHC,105,388,74,106,18,59,23,72,63,0.273,0.387,0.485,0.872,0.374,145,0.284,0.211,0.135,0.154
Corbin Carroll,ARI,91,368,68,91,21,50,13,33,102,0.247,0.32,0.543,0.864,0.365,135,0.285,0.296,0.249,0.081
Elly De La Cruz,CIN,108,411,78,116,18,68,29,50,114,0.282,0.362,0.484,0.846,0.361,129,0.35,0.202,0.24600000000000002,0.10800000000000001
Will Smith,LAD,84,280,52,91,14,50,2,48,62,0.325,0.423,0.543,0.965,0.414,170,0.368,0.218,0.185,0.14300000000000002
Kyle Stowers,MIA,101,338,53,102,23,63,5,41,107,0.302,0.382,0.577,0.959,0.406,163,0.374,0.275,0.276,0.106
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,146,0.327,0.279,0.266,0.08
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,143,0.36,0.167,0.157,0.057
Kyle Schwarber,PHI,107,395,76,101,37,86,9,74,125,0.256,0.384,0.582,0.966,0.408,164,0.275,0.327,0.262,0.155
Manny Machado,SDP,108,415,64,125,20,69,9,39,78,0.301,0.361,0.511,0.872,0.373,146,0.326,0.21,0.16899999999999998,0.084
Cody Bellinger,NYY,98,380,61,107,20,61,9,32,56,0.282,0.335,0.513,0.848,0.361,133,0.282,0.232,0.134,0.077
Geraldo Perdomo,ARI,107,391,56,106,10,73,15,62,53,0.271,0.371,0.414,0.785,0.346,122,0.284,0.143,0.11199999999999999,0.131
