Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,207,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,110,412,73,104,42,88,12,66,130,0.252,0.36,0.597,0.957,0.396,163,0.255,0.345,0.267,0.136
Pete Crow-Armstrong,CHC,109,427,74,114,27,78,29,20,111,0.267,0.303,0.548,0.851,0.359,134,0.297,0.281,0.242,0.044000000000000004
Jose Ramirez,CLE,108,407,71,123,23,61,32,46,47,0.302,0.377,0.533,0.91,0.379,146,0.292,0.231,0.10099999999999999,0.099
Bobby Witt Jr.,KCR,111,438,69,125,16,63,29,36,95,0.285,0.34,0.493,0.833,0.352,123,0.327,0.208,0.19699999999999998,0.075
Shohei Ohtani,LAD,110,431,102,118,38,73,15,71,136,0.274,0.379,0.603,0.982,0.407,165,0.309,0.329,0.268,0.14
Fernando Tatis Jr.,SDP,110,416,78,110,17,44,22,63,87,0.264,0.367,0.442,0.809,0.351,130,0.297,0.178,0.179,0.13
Kyle Tucker,CHC,109,402,75,111,18,61,23,74,67,0.276,0.389,0.483,0.871,0.375,144,0.291,0.206,0.138,0.153
Corbin Carroll,ARI,95,381,71,94,22,53,14,37,104,0.247,0.323,0.543,0.866,0.365,135,0.28,0.297,0.244,0.087
Trea Turner,PHI,109,452,72,128,11,45,25,33,85,0.283,0.336,0.42,0.756,0.33,110,0.327,0.137,0.17300000000000001,0.067
Kyle Stowers,MIA,105,355,55,105,25,71,5,41,115,0.296,0.373,0.575,0.947,0.4,158,0.365,0.279,0.28300000000000003,0.10099999999999999
Jeremy Pena,HOU,84,326,48,105,11,40,15,20,57,0.322,0.377,0.485,0.862,0.374,142,0.362,0.163,0.159,0.055999999999999994
Elly De La Cruz,CIN,112,429,80,121,19,72,30,51,118,0.282,0.36,0.483,0.843,0.359,127,0.348,0.2,0.244,0.106
Will Smith,LAD,87,290,54,94,14,50,2,50,66,0.324,0.422,0.541,0.964,0.413,169,0.372,0.217,0.19,0.14400000000000002
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,146,0.327,0.279,0.266,0.08
Geraldo Perdomo,ARI,111,406,58,113,11,75,17,65,53,0.278,0.378,0.426,0.804,0.353,126,0.29,0.148,0.10800000000000001,0.133
Kyle Schwarber,PHI,111,410,77,104,38,88,10,74,131,0.254,0.379,0.578,0.957,0.405,161,0.274,0.324,0.266,0.15
Manny Machado,SDP,112,431,65,129,20,72,10,40,83,0.299,0.359,0.501,0.86,0.369,142,0.327,0.202,0.17300000000000001,0.084
