Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,10,2,2.02,148,14,0.81,10.57,0.62,1.87
Paul Skenes,PIT,4,7,1.94,125,30,0.92,4.17,0.39,2.37
Zack Wheeler,PHI,9,3,2.17,148,25,0.84,5.92,0.85,2.49
Garrett Crochet,BOS,9,4,2.39,151,34,1.09,4.44,0.75,2.5
Logan Webb,SFG,8,6,2.62,133,27,1.16,4.93,0.52,2.33
Cristopher Sanchez,PHI,7,2,2.59,116,29,1.13,4.0,0.59,2.75
Max Fried,NYY,11,2,2.27,111,24,0.96,4.63,0.68,2.98
Hunter Brown,HOU,9,3,2.21,129,32,0.94,4.03,0.9,2.99
Kris Bubic,KCR,7,6,2.36,107,32,1.15,3.34,0.52,2.78
Sonny Gray,STL,9,3,3.51,113,19,1.09,5.95,0.86,2.8
Jesus Luzardo,PHI,7,5,4.44,115,35,1.47,3.29,0.65,2.77
MacKenzie Gore,WSN,3,8,3.11,131,34,1.21,3.85,0.95,3.01
Framber Valdez,HOU,10,4,2.9,115,41,1.15,2.8,0.63,3.16
Jacob deGrom,TEX,9,2,2.29,105,23,0.91,4.57,0.93,3.16
Nick Pivetta,SDP,9,2,3.07,114,27,1.03,4.22,1.05,3.2
Matthew Boyd,CHC,9,3,2.52,96,23,1.07,4.17,0.87,3.3
Joe Ryan,MIN,8,4,2.76,116,21,0.89,5.52,1.04,3.25
Jose Soriano,LAA,6,6,4.0,95,52,1.44,1.83,0.33,3.31
Mitch Keller,PIT,3,10,3.58,89,27,1.17,3.3,0.72,3.39
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.2
Yoshinobu Yamamoto,LAD,8,7,2.77,109,34,1.07,3.21,0.92,3.29
Bryan Woo,SEA,8,4,2.77,104,19,0.96,5.47,1.17,3.46
Matthew Liberatore,STL,6,6,3.7,80,21,1.18,3.81,0.74,3.22
Freddy Peralta,MIL,10,4,2.74,111,36,1.09,3.08,1.03,3.68
Merrill Kelly,ARI,7,5,3.41,107,29,1.05,3.69,1.05,3.49
Chad Patrick,MIL,3,7,3.52,95,30,1.3,3.17,0.95,3.53
Dylan Cease,SDP,3,8,4.62,121,36,1.33,3.36,1.11,3.4
Yusei Kikuchi,LAA,3,6,3.02,110,48,1.38,2.29,1.01,3.86
Robbie Ray,SFG,9,3,2.63,122,42,1.1,2.9,0.96,3.45
Carlos Rodon,NYY,9,6,3.3,127,40,1.03,3.18,1.21,3.74
David Peterson,NYM,6,4,3.18,87,37,1.27,2.35,0.62,3.51
Chris Bassitt,TOR,9,4,4.16,103,29,1.36,3.55,1.1,3.81
Michael Wacha,KCR,4,9,3.83,79,30,1.29,2.63,0.98,3.92
Kevin Gausman,TOR,6,6,4.13,102,32,1.15,3.19,1.12,3.75
Nick Martinez,CIN,6,9,4.85,73,24,1.21,3.04,1.19,4.22
Jose Berrios,TOR,5,3,3.53,96,39,1.21,2.46,1.04,4.05
Brady Singer,CIN,7,7,4.32,83,39,1.36,2.13,0.96,4.11
Luis Castillo,SEA,5,5,3.31,87,32,1.22,2.72,1.05,3.9
Dean Kremer,BAL,7,7,4.53,81,26,1.32,3.12,1.24,4.08
Ryan Pepiot,TBR,6,6,3.32,107,36,1.14,2.97,1.41,4.28
Nick Lodolo,CIN,5,6,3.58,93,22,1.14,4.23,1.34,4.16
Taj Bradley,TBR,5,6,4.79,84,37,1.3,2.27,1.11,4.22
Chris Paddack,MIN,3,7,4.64,68,24,1.22,2.83,1.23,4.28
Luis Severino,ATH,2,10,5.3,73,36,1.39,2.03,0.99,4.45
Seth Lugo,KCR,6,5,2.67,88,31,1.08,2.84,1.34,4.28
Mitchell Parker,WSN,5,9,4.72,66,37,1.38,1.78,1.11,4.56
Clay Holmes,NYM,8,4,3.29,81,40,1.26,2.03,1.01,4.26
Shane Baz,TBR,8,4,4.34,104,38,1.26,2.74,1.48,4.45
Jack Flaherty,DET,5,9,4.7,117,38,1.24,3.08,1.6,4.23
Kyle Hendricks,LAA,5,6,4.68,62,23,1.27,2.7,1.46,4.73
Grant Holmes,ATL,4,8,3.44,118,48,1.24,2.46,1.32,4.24
Jeffrey Springs,ATH,7,6,3.92,81,38,1.23,2.13,1.48,4.79
Michael Lorenzen,KCR,5,8,4.61,85,29,1.3,2.93,1.54,4.53
Tanner Bibee,CLE,4,9,4.35,90,31,1.23,2.9,1.48,4.58
Tyler Anderson,LAA,2,6,4.19,79,37,1.38,2.14,1.49,4.84
Gavin Williams,CLE,5,4,3.61,90,52,1.41,1.73,1.17,4.58
Andre Pallante,STL,5,4,4.1,63,31,1.28,2.03,1.14,4.42
Andrew Heaney,PIT,4,8,4.41,73,32,1.24,2.28,1.41,4.72
Zack Littell,TBR,7,7,3.5,76,15,1.07,5.07,1.95,5.07
Bailey Ober,MIN,4,6,5.28,74,22,1.41,3.36,2.05,5.29
Jameson Taillon,CHC,7,6,4.44,74,20,1.11,3.7,2.08,5.16
Erick Fedde,STL,3,9,4.79,57,45,1.47,1.27,0.96,4.75
Sean Burke,CHW,4,8,4.4,75,41,1.42,1.83,1.57,5.21
Zac Gallen,ARI,7,9,5.15,107,43,1.35,2.49,1.64,4.76
Tomoyuki Sugano,BAL,6,5,4.44,57,19,1.31,3.0,1.83,5.25
Jake Irvin,WSN,7,4,4.78,78,37,1.31,2.11,1.78,5.34
Jack Kochanowicz,LAA,3,8,5.42,62,42,1.55,1.48,1.58,5.58
