Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,207,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,109,409,72,104,42,88,12,65,128,0.254,0.361,0.601,0.962,0.398,165,0.256,0.347,0.266,0.135
Pete Crow-Armstrong,CHC,108,423,74,114,27,78,29,20,108,0.27,0.306,0.553,0.859,0.362,136,0.298,0.284,0.237,0.044000000000000004
Bobby Witt Jr.,KCR,110,434,67,124,16,63,29,35,93,0.286,0.339,0.493,0.832,0.352,123,0.326,0.207,0.195,0.073
Jose Ramirez,CLE,107,403,70,121,22,59,32,45,47,0.3,0.375,0.526,0.901,0.375,143,0.292,0.226,0.102,0.098
Shohei Ohtani,LAD,109,428,101,116,38,73,13,69,135,0.271,0.375,0.6,0.975,0.405,164,0.304,0.329,0.268,0.13699999999999998
Fernando Tatis Jr.,SDP,109,413,77,109,17,44,22,61,85,0.264,0.365,0.441,0.805,0.349,129,0.295,0.177,0.177,0.127
Corbin Carroll,ARI,94,377,71,93,22,52,14,36,103,0.247,0.322,0.546,0.869,0.366,135,0.28,0.3,0.244,0.085
Kyle Tucker,CHC,108,399,75,109,18,61,23,74,67,0.273,0.387,0.481,0.868,0.373,144,0.287,0.208,0.14,0.154
Jeremy Pena,HOU,83,322,48,105,11,40,15,20,55,0.326,0.381,0.491,0.872,0.378,145,0.364,0.165,0.155,0.055999999999999994
Elly De La Cruz,CIN,112,425,80,121,19,72,29,51,117,0.285,0.363,0.487,0.85,0.362,129,0.352,0.202,0.244,0.106
Trea Turner,PHI,108,448,72,128,11,45,25,33,83,0.286,0.339,0.424,0.763,0.333,112,0.329,0.138,0.17,0.068
Will Smith,LAD,86,286,54,93,14,50,2,50,66,0.325,0.424,0.545,0.97,0.415,171,0.374,0.22,0.192,0.145
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.38,145,0.327,0.279,0.266,0.08
Kyle Stowers,MIA,104,351,54,103,24,67,5,41,113,0.293,0.373,0.567,0.939,0.397,156,0.364,0.274,0.282,0.102
Geraldo Perdomo,ARI,110,401,58,110,11,75,17,65,53,0.274,0.376,0.421,0.797,0.351,125,0.285,0.147,0.109,0.134
Manny Machado,SDP,111,428,64,129,20,72,10,39,81,0.301,0.36,0.505,0.865,0.37,143,0.328,0.203,0.171,0.08199999999999999
Ketel Marte,ARI,79,295,56,85,21,44,2,46,50,0.288,0.39,0.553,0.943,0.401,160,0.284,0.264,0.145,0.133
Kyle Schwarber,PHI,110,407,76,102,37,87,10,74,131,0.251,0.376,0.568,0.944,0.4,158,0.272,0.317,0.268,0.151
Maikel Garcia,KCR,109,405,50,121,10,47,20,36,57,0.299,0.355,0.467,0.822,0.356,125,0.326,0.168,0.127,0.08
Francisco Lindor,NYM,109,443,70,111,20,63,17,35,94,0.251,0.317,0.433,0.751,0.325,112,0.272,0.183,0.19,0.071
Masyn Winn,STL,99,377,59,103,7,41,6,27,69,0.273,0.327,0.393,0.719,0.316,104,0.317,0.119,0.16699999999999998,0.066
Cody Bellinger,NYY,102,398,62,111,20,65,9,32,58,0.279,0.33,0.505,0.835,0.355,129,0.28,0.226,0.133,0.073
Gunnar Henderson,BAL,104,393,63,112,13,46,14,40,97,0.285,0.355,0.468,0.823,0.354,128,0.349,0.183,0.222,0.092
Randy Arozarena,SEA,110,409,63,102,22,55,20,47,129,0.249,0.35,0.472,0.822,0.356,136,0.307,0.222,0.27,0.099
Vladimir Guerrero Jr.,TOR,110,411,72,120,16,58,5,67,66,0.292,0.397,0.467,0.864,0.375,142,0.314,0.175,0.136,0.138
CJ Abrams,WSN,96,383,68,106,14,42,26,29,72,0.277,0.345,0.473,0.818,0.353,128,0.308,0.196,0.16899999999999998,0.068
Matt Chapman,SFG,87,314,51,73,16,42,7,48,90,0.232,0.343,0.443,0.786,0.345,125,0.274,0.21,0.245,0.131
Ceddanne Rafaela,BOS,106,371,60,97,14,49,14,17,75,0.261,0.299,0.453,0.752,0.323,102,0.292,0.191,0.18899999999999997,0.043
Julio Rodriguez,SEA,111,460,70,115,19,57,20,30,114,0.25,0.306,0.428,0.734,0.318,110,0.292,0.178,0.228,0.06
Eugenio Suarez,- - -,109,400,66,98,36,87,1,29,122,0.245,0.316,0.565,0.881,0.37,138,0.25,0.32,0.271,0.064
Juan Soto,NYM,109,388,75,96,25,63,16,84,92,0.247,0.381,0.482,0.863,0.369,143,0.258,0.235,0.192,0.175
James Wood,WSN,108,408,62,106,24,71,14,65,141,0.26,0.362,0.488,0.85,0.363,134,0.333,0.228,0.295,0.136
Matt Olson,ATL,110,417,61,109,18,68,0,66,112,0.261,0.363,0.456,0.818,0.356,130,0.314,0.194,0.23,0.135
Andy Pages,LAD,107,402,49,111,19,64,8,20,93,0.276,0.316,0.465,0.782,0.336,116,0.312,0.189,0.215,0.046
Nico Hoerner,CHC,106,403,59,118,4,46,19,24,35,0.293,0.339,0.385,0.724,0.319,106,0.311,0.092,0.08,0.055
Xander Bogaerts,SDP,109,394,47,106,7,37,16,44,68,0.269,0.34,0.383,0.723,0.317,107,0.306,0.114,0.153,0.099
Corey Seager,TEX,79,294,44,78,15,38,1,47,71,0.265,0.372,0.469,0.841,0.359,132,0.3,0.204,0.205,0.135
Zach McKinstry,DET,100,328,53,87,9,37,17,39,81,0.265,0.347,0.445,0.792,0.343,120,0.322,0.18,0.215,0.10400000000000001
Jackson Chourio,MIL,106,445,71,123,17,67,18,22,95,0.276,0.311,0.474,0.786,0.336,117,0.315,0.198,0.201,0.047
Sal Frelick,MIL,98,362,49,107,8,41,17,27,53,0.296,0.353,0.412,0.765,0.337,118,0.326,0.116,0.131,0.067
Pete Alonso,NYM,111,412,57,108,24,86,1,50,111,0.262,0.354,0.507,0.861,0.367,141,0.297,0.245,0.231,0.10400000000000001
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,133,0.27,0.211,0.16399999999999998,0.12
Gleyber Torres,DET,99,358,57,99,13,54,4,55,58,0.277,0.374,0.433,0.807,0.355,129,0.295,0.156,0.13699999999999998,0.13
Bo Bichette,TOR,109,462,52,137,13,68,4,25,75,0.297,0.335,0.457,0.792,0.342,119,0.33,0.16,0.152,0.051
Jarren Duran,BOS,110,446,62,117,11,60,18,38,122,0.262,0.329,0.457,0.786,0.339,113,0.337,0.195,0.247,0.077
Steven Kwan,CLE,104,411,54,117,9,38,11,40,39,0.285,0.348,0.404,0.752,0.33,112,0.293,0.119,0.085,0.087
William Contreras,MIL,104,391,60,101,9,47,5,59,82,0.258,0.354,0.379,0.732,0.324,109,0.303,0.12,0.18,0.13
Riley Greene,DET,109,424,59,115,26,84,1,28,145,0.271,0.318,0.514,0.832,0.355,129,0.349,0.243,0.318,0.061
Willy Adames,SFG,110,409,66,96,17,59,4,51,120,0.235,0.32,0.413,0.733,0.32,108,0.284,0.178,0.255,0.109
George Springer,TOR,101,344,66,100,18,57,12,51,76,0.291,0.383,0.506,0.889,0.383,148,0.323,0.215,0.18600000000000003,0.125
Bryce Harper,PHI,82,308,50,83,16,47,10,49,73,0.269,0.375,0.503,0.878,0.377,142,0.303,0.234,0.201,0.135
Brandon Nimmo,NYM,107,403,56,105,19,63,12,34,92,0.261,0.327,0.454,0.781,0.338,121,0.292,0.194,0.20600000000000002,0.076
Jacob Wilson,ATH,94,369,46,115,10,45,5,21,31,0.312,0.354,0.439,0.793,0.346,120,0.319,0.127,0.078,0.053
Brendan Donovan,STL,103,398,56,112,9,42,3,39,59,0.281,0.353,0.41,0.762,0.334,116,0.308,0.128,0.131,0.087
Jonathan Aranda,TBR,103,358,53,113,12,54,0,40,102,0.316,0.394,0.478,0.871,0.378,144,0.409,0.162,0.249,0.098
Michael Busch,CHC,104,349,50,94,21,61,4,38,95,0.269,0.356,0.51,0.866,0.373,144,0.313,0.241,0.24,0.096
Freddie Freeman,LAD,98,368,53,111,12,59,2,40,97,0.302,0.373,0.481,0.854,0.367,137,0.378,0.179,0.23399999999999999,0.096
Ryan O'Hearn,- - -,96,315,45,88,13,43,3,42,65,0.279,0.372,0.457,0.829,0.36,132,0.313,0.178,0.17800000000000002,0.115
TJ Friedl,CIN,104,388,63,104,10,36,10,53,70,0.268,0.371,0.397,0.768,0.343,116,0.302,0.129,0.152,0.115
Brent Rooker,ATH,113,439,69,119,23,63,4,47,107,0.271,0.344,0.497,0.84,0.36,129,0.31,0.226,0.218,0.096
Trent Grisham,NYY,94,315,53,78,19,43,1,49,79,0.248,0.352,0.463,0.816,0.357,130,0.272,0.216,0.215,0.134
Junior Caminero,TBR,106,416,61,104,28,72,5,24,90,0.25,0.29,0.5,0.79,0.334,114,0.25,0.25,0.201,0.054000000000000006
Otto Lopez,MIA,93,349,45,87,11,55,10,34,55,0.249,0.32,0.384,0.704,0.31,96,0.268,0.135,0.142,0.08800000000000001
Hunter Goodman,COL,96,366,52,102,20,61,1,23,106,0.279,0.326,0.519,0.845,0.361,120,0.34,0.24,0.27,0.059000000000000004
Zach Neto,LAA,92,365,67,99,15,41,21,21,102,0.271,0.324,0.458,0.782,0.336,114,0.335,0.186,0.256,0.053
Wyatt Langford,TEX,91,347,46,84,15,44,15,39,108,0.242,0.32,0.418,0.738,0.321,106,0.304,0.176,0.276,0.1
Oneil Cruz,PIT,99,361,56,78,18,48,34,51,134,0.216,0.314,0.421,0.735,0.317,101,0.28,0.205,0.319,0.121
Yandy Diaz,TBR,106,421,55,120,20,65,3,36,67,0.285,0.346,0.477,0.824,0.353,127,0.295,0.192,0.14300000000000002,0.077
Willson Contreras,STL,106,389,54,100,15,63,4,34,109,0.257,0.341,0.447,0.788,0.343,123,0.317,0.19,0.245,0.077
Taylor Ward,LAA,109,417,58,95,25,78,3,46,131,0.228,0.304,0.477,0.781,0.333,112,0.262,0.249,0.278,0.098
Trevor Story,BOS,108,414,58,105,18,68,18,22,126,0.254,0.297,0.43,0.727,0.315,96,0.321,0.176,0.285,0.05
Dansby Swanson,CHC,108,414,60,102,16,51,8,31,125,0.246,0.296,0.406,0.702,0.304,96,0.31,0.159,0.278,0.069
Marcus Semien,TEX,111,411,54,95,13,55,11,45,84,0.231,0.308,0.365,0.673,0.298,90,0.255,0.134,0.18,0.096
Rafael Devers,- - -,112,418,61,106,19,73,1,78,132,0.254,0.374,0.455,0.829,0.358,129,0.321,0.201,0.261,0.154
Seiya Suzuki,CHC,106,418,56,103,26,81,3,43,125,0.246,0.313,0.507,0.82,0.348,126,0.283,0.261,0.268,0.092
J.P. Crawford,SEA,108,408,48,108,8,42,5,57,84,0.265,0.358,0.365,0.723,0.325,114,0.315,0.1,0.177,0.12
Ernie Clement,TOR,110,379,53,105,5,32,3,20,42,0.277,0.313,0.377,0.69,0.301,91,0.297,0.1,0.102,0.049
Victor Scott II,STL,105,326,47,74,5,33,29,35,94,0.227,0.315,0.319,0.634,0.288,84,0.301,0.092,0.25,0.09300000000000001
Josh Smith,TEX,99,353,55,94,9,29,9,37,66,0.266,0.343,0.402,0.746,0.328,111,0.305,0.136,0.165,0.09300000000000001
Ryan McMahon,- - -,108,378,45,85,16,40,2,53,138,0.225,0.323,0.402,0.725,0.319,92,0.307,0.177,0.318,0.122
Xavier Edwards,MIA,93,375,51,110,1,28,17,39,60,0.293,0.36,0.363,0.722,0.321,104,0.345,0.069,0.14300000000000002,0.09300000000000001
Jose Altuve,HOU,107,410,59,115,18,57,6,39,74,0.28,0.342,0.459,0.801,0.344,121,0.3,0.178,0.162,0.086
Nolan Schanuel,LAA,107,397,51,110,9,45,5,50,56,0.277,0.365,0.401,0.766,0.337,115,0.301,0.123,0.122,0.109
Austin Riley,ATL,102,416,54,108,16,54,2,27,128,0.26,0.309,0.428,0.737,0.319,104,0.337,0.168,0.28600000000000003,0.06
Brice Turang,MIL,105,396,63,109,6,45,19,42,95,0.275,0.342,0.371,0.714,0.316,103,0.343,0.096,0.213,0.094
Spencer Torkelson,DET,106,384,60,90,23,63,2,46,110,0.234,0.327,0.474,0.801,0.341,119,0.262,0.24,0.248,0.10400000000000001
Lawrence Butler,ATH,108,423,61,99,15,44,17,43,134,0.234,0.305,0.407,0.711,0.311,96,0.307,0.173,0.28600000000000003,0.092
Alec Burleson,STL,100,341,38,97,14,49,4,30,49,0.284,0.341,0.463,0.805,0.347,126,0.295,0.179,0.13,0.079
Ben Rice,NYY,92,300,49,70,16,35,3,34,68,0.233,0.328,0.467,0.795,0.345,122,0.249,0.233,0.19699999999999998,0.099
Josh Naylor,- - -,102,383,53,110,12,61,17,40,59,0.287,0.354,0.439,0.793,0.343,120,0.31,0.151,0.13699999999999998,0.09300000000000001
Christian Yelich,MIL,104,396,59,103,21,72,15,42,121,0.26,0.338,0.449,0.787,0.342,121,0.322,0.189,0.273,0.095
Tyler Soderstrom,ATH,112,405,55,104,19,64,6,40,103,0.257,0.33,0.454,0.784,0.34,115,0.298,0.198,0.228,0.08800000000000001
J.T. Realmuto,PHI,91,349,40,94,7,39,6,24,91,0.269,0.32,0.393,0.713,0.312,98,0.347,0.123,0.243,0.064
Mike Trout,LAA,83,293,43,69,19,47,2,56,105,0.235,0.362,0.461,0.823,0.351,125,0.287,0.225,0.292,0.156
Jorge Polanco,SEA,93,312,41,79,17,50,4,29,48,0.253,0.32,0.462,0.781,0.337,123,0.248,0.208,0.138,0.083
Jung Hoo Lee,SFG,105,395,52,99,6,44,7,37,46,0.251,0.32,0.397,0.717,0.314,104,0.268,0.147,0.10400000000000001,0.084
Jordan Beck,COL,98,362,49,100,13,40,12,30,110,0.276,0.336,0.464,0.8,0.346,110,0.363,0.188,0.278,0.076
Lenyn Sosa,CHW,94,334,33,94,11,43,2,11,76,0.281,0.307,0.434,0.742,0.321,104,0.335,0.153,0.218,0.032
Alec Bohm,PHI,92,353,39,98,8,42,2,22,62,0.278,0.324,0.391,0.715,0.313,98,0.314,0.113,0.162,0.057
Anthony Volpe,NYY,110,394,51,87,17,60,14,36,104,0.221,0.289,0.424,0.712,0.307,96,0.251,0.203,0.23600000000000002,0.08199999999999999
Mookie Betts,LAD,101,396,63,93,11,47,7,41,50,0.235,0.306,0.361,0.667,0.294,87,0.241,0.126,0.113,0.092
Brandon Lowe,TBR,90,339,56,92,19,51,3,25,93,0.271,0.322,0.475,0.796,0.342,119,0.319,0.204,0.253,0.068
Willi Castro,- - -,87,306,50,76,10,27,9,32,84,0.248,0.337,0.415,0.752,0.331,111,0.311,0.167,0.24100000000000002,0.092
Cedric Mullins,- - -,93,319,44,73,15,49,15,34,86,0.229,0.306,0.429,0.735,0.319,104,0.261,0.201,0.23800000000000002,0.094
Cam Smith,HOU,96,345,39,87,7,45,5,32,107,0.252,0.324,0.377,0.701,0.311,98,0.345,0.125,0.27899999999999997,0.084
Matt McLain,CIN,102,371,54,83,11,37,15,40,111,0.224,0.307,0.345,0.652,0.292,81,0.288,0.121,0.266,0.096
Chase Meidroth,CHW,83,310,36,78,3,15,11,33,47,0.252,0.33,0.319,0.65,0.295,86,0.287,0.068,0.135,0.095
Bryson Stott,PHI,99,346,43,81,7,43,17,38,66,0.234,0.309,0.341,0.65,0.29,83,0.268,0.107,0.16899999999999998,0.09699999999999999
Heliot Ramos,SFG,109,421,57,112,14,50,6,38,111,0.266,0.341,0.418,0.759,0.332,116,0.325,0.152,0.23199999999999998,0.079
