Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,402,0.36,33,74,0.468,0.734,6,0.49,224,0.432,0.374,0.2512437810945274,0.16169154228855723
Cal Raleigh,SEA,388,0.268,35,74,0.381,0.64,9,0.422,183,0.267,0.372,0.25,0.14432989690721648
Pete Crow-Armstrong,CHC,376,0.272,23,67,0.309,0.55,27,0.364,136,0.298,0.278,0.23138297872340424,0.04521276595744681
Bobby Witt Jr.,KCR,395,0.292,12,49,0.344,0.493,24,0.355,125,0.337,0.201,0.19240506329113924,0.07088607594936709
Shohei Ohtani,LAD,411,0.278,30,56,0.38,0.61,12,0.412,168,0.307,0.33199999999999996,0.25060827250608275,0.1362530413625304
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.377,146,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
Kyle Tucker,CHC,396,0.284,17,55,0.387,0.515,22,0.385,150,0.294,0.23100000000000004,0.1388888888888889,0.1414141414141414
James Wood,WSN,399,0.288,23,67,0.391,0.549,12,0.398,158,0.347,0.26100000000000007,0.2606516290726817,0.14285714285714285
Trea Turner,PHI,396,0.299,11,39,0.351,0.451,22,0.349,122,0.336,0.15200000000000002,0.1590909090909091,0.06565656565656566
Fernando Tatis Jr.,SDP,383,0.261,15,39,0.355,0.444,19,0.347,127,0.286,0.183,0.17493472584856398,0.1174934725848564
Will Smith,LAD,282,0.332,12,45,0.433,0.56,2,0.426,177,0.374,0.22800000000000004,0.18085106382978725,0.14893617021276595
Francisco Lindor,NYM,403,0.261,17,49,0.333,0.452,14,0.34,122,0.279,0.191,0.18114143920595532,0.07692307692307693
Corbin Carroll,ARI,332,0.247,20,44,0.331,0.556,10,0.377,142,0.279,0.30900000000000005,0.2560240963855422,0.09036144578313253
Byron Buxton,MIN,314,0.27,20,53,0.334,0.544,16,0.372,141,0.311,0.274,0.27070063694267515,0.08280254777070063
Jose Ramirez,CLE,358,0.297,14,39,0.36,0.484,22,0.358,133,0.301,0.187,0.11452513966480447,0.08379888268156424
Elly De La Cruz,CIN,387,0.277,18,60,0.349,0.487,22,0.359,125,0.336,0.20999999999999996,0.2532299741602067,0.09560723514211886
Andy Pages,LAD,353,0.29,17,58,0.329,0.497,7,0.355,129,0.318,0.20700000000000002,0.19830028328611898,0.0453257790368272
Geraldo Perdomo,ARI,394,0.271,9,59,0.372,0.415,13,0.348,122,0.284,0.14399999999999996,0.11928934010152284,0.13451776649746192
Alejandro Kirk,TOR,298,0.301,7,41,0.359,0.413,0,0.338,118,0.314,0.11199999999999999,0.09731543624161074,0.08389261744966443
