Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,10,3,2.23,153,16,0.83,9.56,0.67,2.01
Garrett Crochet,BOS,10,4,2.23,160,34,1.04,4.71,0.7,2.4
Paul Skenes,PIT,4,8,2.01,131,30,0.93,4.37,0.45,2.4
Zack Wheeler,PHI,9,3,2.36,154,26,0.86,5.92,0.96,2.68
Logan Webb,SFG,9,6,2.94,139,28,1.17,4.96,0.64,2.52
Cristopher Sanchez,PHI,8,2,2.5,122,32,1.14,3.81,0.55,2.74
Jesus Luzardo,PHI,8,5,4.14,122,36,1.41,3.39,0.6,2.68
Kris Bubic,KCR,7,6,2.48,113,34,1.16,3.32,0.5,2.74
MacKenzie Gore,WSN,4,8,3.02,138,35,1.2,3.94,0.9,2.91
Framber Valdez,HOU,10,4,2.75,125,41,1.12,3.05,0.6,3.01
Hunter Brown,HOU,9,4,2.43,137,34,0.96,4.03,0.94,3.02
Sonny Gray,STL,9,3,3.5,118,19,1.08,6.21,0.83,2.71
Max Fried,NYY,11,3,2.43,113,27,1.01,4.19,0.66,3.02
Matthew Boyd,CHC,10,3,2.34,102,23,1.03,4.43,0.81,3.17
Jacob deGrom,TEX,9,2,2.32,113,24,0.91,4.71,1.04,3.27
Nick Pivetta,SDP,9,2,2.88,122,29,1.02,4.21,0.99,3.1
Joe Ryan,MIN,9,4,2.72,121,23,0.91,5.26,0.99,3.2
Mitch Keller,PIT,3,10,3.48,92,27,1.14,3.41,0.68,3.32
Yoshinobu Yamamoto,LAD,8,7,2.59,116,36,1.04,3.22,0.86,3.2
Jose Soriano,LAA,6,7,3.9,98,55,1.45,1.78,0.32,3.35
Freddy Peralta,MIL,11,4,2.66,118,37,1.06,3.19,0.97,3.55
Bryan Woo,SEA,8,4,2.75,109,21,0.93,5.19,1.1,3.39
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.2
Carlos Rodon,NYY,10,6,3.08,135,41,1.0,3.29,1.13,3.58
Merrill Kelly,ARI,8,5,3.34,113,33,1.05,3.42,1.01,3.47
David Peterson,NYM,6,4,3.06,93,37,1.24,2.51,0.58,3.37
Robbie Ray,SFG,9,3,2.65,128,44,1.08,2.91,0.98,3.48
Yusei Kikuchi,LAA,4,6,3.11,115,49,1.37,2.35,1.12,3.98
Matthew Liberatore,STL,6,7,4.13,80,22,1.25,3.64,0.9,3.5
Michael Wacha,KCR,4,9,3.74,84,33,1.27,2.55,0.93,3.86
Dylan Cease,SDP,3,9,4.88,129,39,1.33,3.31,1.31,3.69
Chris Bassitt,TOR,9,4,4.12,104,29,1.35,3.59,1.09,3.78
Dean Kremer,BAL,8,7,4.24,88,27,1.27,3.26,1.16,3.91
Nick Martinez,CIN,7,9,4.78,76,25,1.21,3.04,1.14,4.14
Kevin Gausman,TOR,6,7,4.19,104,34,1.16,3.06,1.15,3.86
Brady Singer,CIN,7,7,4.32,92,40,1.35,2.3,0.99,4.02
Nick Lodolo,CIN,6,6,3.38,97,22,1.11,4.41,1.27,4.02
Luis Castillo,SEA,6,5,3.41,93,34,1.24,2.74,1.0,3.83
Ryan Pepiot,TBR,6,7,3.38,110,37,1.15,2.97,1.42,4.31
Taj Bradley,TBR,5,6,4.6,89,40,1.27,2.23,1.04,4.14
Luis Severino,ATH,2,11,5.16,81,38,1.41,2.13,0.95,4.33
Jose Berrios,TOR,5,4,3.75,97,41,1.24,2.37,1.17,4.29
Shane Baz,TBR,8,5,4.17,107,40,1.25,2.68,1.39,4.4
Chris Paddack,MIN,3,8,4.95,70,25,1.28,2.8,1.26,4.34
Clay Holmes,NYM,8,4,3.31,83,41,1.26,2.02,0.96,4.22
Seth Lugo,KCR,6,5,2.67,88,31,1.08,2.84,1.34,4.28
Jack Flaherty,DET,5,9,4.65,124,40,1.24,3.1,1.7,4.35
Kyle Hendricks,LAA,5,6,4.88,65,24,1.29,2.71,1.5,4.77
Tanner Bibee,CLE,5,9,4.29,95,33,1.24,2.88,1.4,4.47
Michael Lorenzen,KCR,5,8,4.61,85,29,1.3,2.93,1.54,4.53
Mitchell Parker,WSN,5,10,5.12,66,40,1.42,1.65,1.15,4.71
Grant Holmes,ATL,4,8,3.77,119,50,1.3,2.38,1.29,4.24
Tyler Anderson,LAA,2,6,4.34,82,39,1.41,2.1,1.5,4.88
Zack Littell,TBR,8,7,3.56,80,17,1.08,4.71,1.86,4.95
Jeffrey Springs,ATH,8,6,3.93,86,38,1.18,2.26,1.55,4.83
Bailey Falter,PIT,6,4,3.79,59,34,1.2,1.74,1.29,4.82
Andrew Heaney,PIT,4,8,4.59,73,33,1.26,2.21,1.65,5.11
Gavin Williams,CLE,5,4,3.7,95,57,1.43,1.67,1.29,4.82
Andre Pallante,STL,5,5,4.49,64,32,1.3,2.0,1.26,4.61
Sean Burke,CHW,4,8,4.36,80,43,1.4,1.86,1.48,5.06
Brandon Pfaadt,ARI,9,6,5.16,84,23,1.31,3.65,1.54,4.58
Tomoyuki Sugano,BAL,7,5,4.44,59,22,1.3,2.68,1.72,5.16
Jake Irvin,WSN,7,5,4.58,83,38,1.29,2.18,1.71,5.2
Erick Fedde,STL,3,9,4.83,58,46,1.47,1.26,1.09,4.95
Zac Gallen,ARI,7,10,5.4,110,45,1.37,2.44,1.64,4.79
