Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.339,37,85,0.446,0.702,6,0.464,203,0.408,0.363,0.264,0.159
Cal Raleigh,SEA,0.249,42,90,0.357,0.587,13,0.391,159,0.254,0.337,0.27,0.135
Pete Crow-Armstrong,CHC,0.264,27,78,0.301,0.539,29,0.354,131,0.296,0.275,0.247,0.043
Bobby Witt Jr.,KCR,0.287,16,64,0.344,0.494,30,0.354,124,0.33,0.207,0.195,0.076
Shohei Ohtani,LAD,0.276,39,75,0.381,0.606,16,0.409,167,0.313,0.33,0.26899999999999996,0.14
Jose Ramirez,CLE,0.296,23,61,0.371,0.52,32,0.371,140,0.287,0.224,0.10300000000000001,0.099
Fernando Tatis Jr.,SDP,0.261,17,45,0.364,0.434,22,0.347,128,0.294,0.174,0.18100000000000002,0.131
Jeremy Pena,HOU,0.324,11,43,0.379,0.494,15,0.378,144,0.364,0.17,0.157,0.057
Corbin Carroll,ARI,0.247,23,56,0.323,0.546,14,0.365,135,0.28,0.298,0.245,0.086
Trea Turner,PHI,0.284,11,46,0.339,0.425,25,0.332,112,0.328,0.14,0.17,0.069
Kyle Tucker,CHC,0.271,18,61,0.384,0.474,23,0.37,142,0.288,0.203,0.14400000000000002,0.152
Geraldo Perdomo,ARI,0.278,11,75,0.378,0.424,17,0.353,126,0.29,0.146,0.107,0.133
Kyle Stowers,MIA,0.294,25,71,0.371,0.564,5,0.395,155,0.364,0.27,0.282,0.1
Elly De La Cruz,CIN,0.279,19,73,0.356,0.476,30,0.355,124,0.347,0.197,0.248,0.10300000000000001
Kyle Schwarber,PHI,0.256,40,94,0.379,0.585,10,0.407,164,0.276,0.329,0.26899999999999996,0.14800000000000002
Byron Buxton,MIN,0.282,23,59,0.343,0.561,17,0.38,145,0.327,0.279,0.266,0.08
Manny Machado,SDP,0.3,20,72,0.359,0.5,10,0.368,142,0.33,0.2,0.17600000000000002,0.083
Ketel Marte,ARI,0.284,21,44,0.387,0.539,2,0.394,155,0.283,0.255,0.14800000000000002,0.134
Maikel Garcia,KCR,0.298,11,50,0.356,0.469,20,0.356,125,0.322,0.171,0.126,0.084
Masyn Winn,STL,0.27,8,42,0.325,0.392,7,0.315,104,0.313,0.122,0.172,0.067
Vladimir Guerrero Jr.,TOR,0.296,18,62,0.398,0.481,5,0.38,146,0.316,0.185,0.134,0.134
Julio Rodriguez,SEA,0.254,21,62,0.31,0.441,21,0.325,113,0.294,0.186,0.226,0.06
Alejandro Kirk,TOR,0.305,7,47,0.363,0.409,0,0.338,117,0.319,0.105,0.094,0.086
Francisco Lindor,NYM,0.249,21,64,0.316,0.434,17,0.324,112,0.27,0.186,0.191,0.07200000000000001
Cody Bellinger,NYY,0.275,20,66,0.33,0.494,10,0.351,126,0.275,0.219,0.128,0.077
Gunnar Henderson,BAL,0.283,13,47,0.352,0.459,14,0.35,125,0.348,0.177,0.226,0.091
Ceddanne Rafaela,BOS,0.264,14,51,0.303,0.45,15,0.324,102,0.296,0.186,0.18600000000000003,0.042
Juan Soto,NYM,0.249,26,64,0.382,0.483,17,0.369,143,0.26,0.234,0.192,0.175
Bo Bichette,TOR,0.301,16,78,0.34,0.475,4,0.351,126,0.329,0.174,0.14800000000000002,0.053
Randy Arozarena,SEA,0.246,22,55,0.349,0.465,21,0.353,133,0.3,0.22,0.265,0.1
Nico Hoerner,CHC,0.292,4,47,0.34,0.38,19,0.318,106,0.309,0.089,0.077,0.057
Eugenio Suarez,- - -,0.241,37,90,0.312,0.561,2,0.366,136,0.244,0.32,0.273,0.065
Andy Pages,LAD,0.276,19,66,0.316,0.463,10,0.335,116,0.311,0.187,0.209,0.045
Matt Chapman,SFG,0.229,16,43,0.34,0.43,7,0.339,121,0.269,0.201,0.244,0.132
Xander Bogaerts,SDP,0.271,9,40,0.34,0.398,17,0.322,110,0.304,0.127,0.156,0.09699999999999999
James Wood,WSN,0.257,24,71,0.36,0.48,14,0.359,132,0.328,0.223,0.292,0.135
Corey Seager,TEX,0.261,16,40,0.367,0.465,1,0.355,129,0.295,0.203,0.20800000000000002,0.134
CJ Abrams,WSN,0.273,14,43,0.339,0.462,26,0.347,123,0.303,0.189,0.168,0.066
Jarren Duran,BOS,0.264,12,64,0.329,0.463,18,0.341,114,0.334,0.199,0.24100000000000002,0.075
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,117,0.315,0.198,0.201,0.047
Sal Frelick,MIL,0.298,8,41,0.356,0.413,17,0.338,119,0.329,0.115,0.132,0.068
Pete Alonso,NYM,0.264,25,91,0.352,0.507,1,0.365,140,0.297,0.243,0.22899999999999998,0.10099999999999999
Zach McKinstry,DET,0.269,10,38,0.348,0.456,17,0.347,123,0.327,0.186,0.218,0.10099999999999999
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
Matt Olson,ATL,0.257,18,68,0.357,0.444,0,0.349,125,0.311,0.188,0.23399999999999999,0.133
Steven Kwan,CLE,0.284,9,39,0.345,0.399,11,0.326,109,0.294,0.114,0.086,0.084
Willy Adames,SFG,0.232,18,61,0.318,0.411,4,0.318,106,0.28,0.178,0.256,0.10800000000000001
Ernie Clement,TOR,0.29,6,34,0.325,0.403,3,0.315,101,0.311,0.113,0.10400000000000001,0.048
George Springer,TOR,0.291,18,57,0.383,0.506,12,0.383,148,0.323,0.215,0.18600000000000003,0.125
Bryce Harper,PHI,0.266,17,48,0.369,0.502,10,0.373,140,0.299,0.235,0.203,0.132
Junior Caminero,TBR,0.253,30,76,0.293,0.509,5,0.338,117,0.253,0.256,0.205,0.054000000000000006
Gleyber Torres,DET,0.273,13,55,0.369,0.424,4,0.349,124,0.291,0.151,0.138,0.127
TJ Friedl,CIN,0.275,10,37,0.375,0.4,10,0.346,118,0.314,0.124,0.155,0.113
Brandon Nimmo,NYM,0.254,19,63,0.323,0.441,12,0.332,117,0.289,0.187,0.21600000000000003,0.08
William Contreras,MIL,0.251,9,47,0.348,0.366,5,0.317,104,0.295,0.115,0.184,0.129
Freddie Freeman,LAD,0.307,13,63,0.374,0.49,2,0.369,139,0.379,0.182,0.22899999999999998,0.092
Hunter Goodman,COL,0.281,22,64,0.328,0.531,1,0.366,123,0.337,0.249,0.264,0.059000000000000004
Jacob Wilson,ATH,0.312,10,45,0.354,0.439,5,0.346,119,0.319,0.127,0.078,0.053
Brendan Donovan,STL,0.28,9,43,0.351,0.405,3,0.331,115,0.307,0.124,0.13,0.087
Jonathan Aranda,TBR,0.316,12,54,0.394,0.478,0,0.378,144,0.409,0.162,0.249,0.098
Brent Rooker,ATH,0.273,23,66,0.346,0.497,4,0.361,130,0.313,0.224,0.218,0.09699999999999999
Ryan O'Hearn,- - -,0.278,14,44,0.368,0.46,3,0.359,131,0.308,0.182,0.17600000000000002,0.11199999999999999
Zach Neto,LAA,0.267,16,45,0.32,0.458,21,0.334,113,0.328,0.191,0.257,0.053
Michael Busch,CHC,0.267,21,61,0.354,0.501,4,0.369,141,0.313,0.234,0.24100000000000002,0.096
Riley Greene,DET,0.266,26,84,0.312,0.502,1,0.347,123,0.347,0.236,0.327,0.06
Willson Contreras,STL,0.258,16,64,0.343,0.451,4,0.346,125,0.318,0.193,0.24600000000000002,0.079
Taylor Ward,LAA,0.231,26,84,0.307,0.479,3,0.335,113,0.267,0.248,0.27699999999999997,0.098
Wyatt Langford,TEX,0.24,15,44,0.326,0.413,15,0.322,106,0.302,0.173,0.272,0.11
Trevor Story,BOS,0.261,18,73,0.304,0.431,19,0.319,99,0.333,0.17,0.284,0.05
Otto Lopez,MIA,0.245,11,56,0.319,0.375,11,0.306,94,0.263,0.129,0.139,0.092
Seiya Suzuki,CHC,0.251,27,84,0.318,0.513,3,0.352,129,0.287,0.262,0.266,0.094
Trent Grisham,NYY,0.245,20,44,0.352,0.462,1,0.355,129,0.265,0.217,0.212,0.136
Dansby Swanson,CHC,0.245,18,55,0.294,0.414,8,0.305,97,0.306,0.168,0.28,0.067
Rafael Devers,- - -,0.255,20,78,0.379,0.456,1,0.361,131,0.32,0.201,0.257,0.158
Xavier Edwards,MIA,0.298,1,29,0.361,0.369,18,0.323,106,0.348,0.071,0.139,0.08900000000000001
