Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,10,3,2.09,171,19,0.84,9.0,0.61,1.92
Garrett Crochet,BOS,12,4,2.23,175,38,1.09,4.61,0.76,2.52
Paul Skenes,PIT,5,8,1.91,137,31,0.91,4.42,0.43,2.4
Zack Wheeler,PHI,9,3,2.39,164,26,0.88,6.31,0.98,2.67
Cristopher Sanchez,PHI,9,2,2.4,134,32,1.09,4.19,0.58,2.69
Logan Webb,SFG,9,8,3.38,144,30,1.24,4.8,0.66,2.65
Framber Valdez,HOU,11,4,2.67,129,42,1.13,3.07,0.56,2.99
Hunter Brown,HOU,9,5,2.54,149,38,1.0,3.92,0.87,2.96
Kris Bubic,KCR,8,7,2.55,116,39,1.18,2.97,0.46,2.85
Matthew Boyd,CHC,11,3,2.2,108,24,1.01,4.5,0.76,3.1
Max Fried,NYY,11,4,2.62,116,30,1.04,3.87,0.64,3.06
Nick Pivetta,SDP,10,3,2.81,131,32,0.99,4.09,0.96,3.16
Joe Ryan,MIN,10,5,2.82,137,24,0.92,5.71,1.04,3.17
Yoshinobu Yamamoto,LAD,8,7,2.55,124,37,1.05,3.35,0.82,3.08
Jesus Luzardo,PHI,8,5,4.58,136,43,1.43,3.16,0.79,3.0
Jacob deGrom,TEX,10,2,2.28,122,25,0.9,4.88,1.06,3.25
Sonny Gray,STL,10,4,4.33,128,19,1.19,6.74,1.08,3.02
MacKenzie Gore,WSN,4,10,3.52,144,44,1.27,3.27,0.99,3.28
Bryan Woo,SEA,8,5,2.91,121,24,0.95,5.04,1.14,3.46
Mitch Keller,PIT,4,10,3.53,97,30,1.16,3.23,0.72,3.42
David Peterson,NYM,7,4,2.83,101,41,1.25,2.46,0.52,3.34
Jose Soriano,LAA,7,7,3.79,108,58,1.4,1.86,0.5,3.57
Freddy Peralta,MIL,12,4,2.81,131,42,1.09,3.12,1.04,3.66
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.21
Carlos Rodon,NYY,10,7,3.1,139,46,1.05,3.02,1.08,3.63
Merrill Kelly,ARI,9,6,3.22,121,38,1.06,3.18,0.98,3.53
Michael Wacha,KCR,4,9,3.53,90,35,1.22,2.57,0.84,3.74
Dylan Cease,SDP,3,10,4.59,144,42,1.3,3.43,1.27,3.57
Nick Lodolo,CIN,8,6,3.08,112,23,1.04,4.87,1.17,3.79
Kevin Gausman,TOR,7,7,3.82,122,37,1.1,3.3,1.1,3.67
Luis Castillo,SEA,7,6,3.3,107,36,1.24,2.97,0.9,3.6
Chris Bassitt,TOR,11,4,3.88,117,29,1.3,4.03,1.19,3.84
Yusei Kikuchi,LAA,4,7,3.23,127,54,1.4,2.35,1.17,4.06
Nick Martinez,CIN,9,9,4.69,86,29,1.22,2.97,1.12,4.1
Dean Kremer,BAL,8,7,4.23,99,32,1.25,3.09,1.19,3.99
Luis Severino,ATH,4,11,4.95,92,40,1.35,2.3,0.93,4.21
Robbie Ray,SFG,9,5,2.93,134,52,1.14,2.58,1.05,3.75
Will Warren,NYY,6,5,4.82,124,50,1.44,2.48,1.03,3.7
Ryan Pepiot,TBR,6,8,3.42,124,42,1.15,2.95,1.5,4.4
Taj Bradley,TBR,6,6,4.61,95,44,1.28,2.16,1.05,4.19
Jose Berrios,TOR,7,4,3.83,108,44,1.25,2.45,1.2,4.29
Clay Holmes,NYM,9,5,3.4,88,44,1.28,2.0,0.87,4.14
Seth Lugo,KCR,7,5,2.95,99,33,1.09,3.0,1.35,4.27
Mitchell Parker,WSN,7,10,4.91,74,42,1.41,1.76,1.03,4.46
Chris Paddack,MIN,3,9,4.95,83,27,1.28,3.07,1.38,4.39
Shane Baz,TBR,8,6,4.66,111,42,1.3,2.64,1.5,4.57
Tanner Bibee,CLE,7,9,4.39,107,33,1.22,3.24,1.49,4.46
Jeffrey Springs,ATH,9,7,4.13,95,39,1.2,2.44,1.5,4.7
Zack Littell,TBR,8,8,3.72,85,17,1.11,5.0,1.82,4.91
Brandon Pfaadt,ARI,10,6,4.76,95,25,1.26,3.8,1.37,4.31
Gavin Williams,CLE,6,4,3.51,109,60,1.37,1.82,1.22,4.57
Sandy Alcantara,MIA,5,9,6.66,77,39,1.43,1.97,1.13,4.47
Grant Holmes,ATL,4,9,3.99,123,54,1.34,2.28,1.25,4.35
Bailey Falter,PIT,7,5,3.82,69,35,1.18,1.97,1.33,4.73
Andre Pallante,STL,5,7,4.91,72,36,1.37,2.0,1.15,4.44
Tyler Anderson,LAA,2,6,4.41,87,44,1.41,1.98,1.6,5.11
Andrew Heaney,PIT,5,9,4.79,78,35,1.27,2.23,1.68,5.18
Jake Irvin,WSN,7,5,4.81,84,41,1.33,2.05,1.65,5.2
Zac Gallen,ARI,7,11,5.58,116,46,1.37,2.52,1.71,4.86
