Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.469,208,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,103,385,71,99,41,86,12,64,116,0.257,0.368,0.618,0.986,0.407,171,0.251,0.361,0.254,0.14
Pete Crow-Armstrong,CHC,103,405,71,109,27,76,29,19,101,0.269,0.305,0.558,0.863,0.364,137,0.293,0.289,0.233,0.044000000000000004
Shohei Ohtani,LAD,104,407,99,112,38,71,13,66,125,0.275,0.379,0.619,0.998,0.413,170,0.301,0.344,0.261,0.138
Bobby Witt Jr.,KCR,105,414,63,119,15,58,27,32,86,0.287,0.338,0.493,0.831,0.351,123,0.326,0.205,0.18899999999999997,0.07
Jose Ramirez,CLE,102,383,64,114,21,56,31,42,46,0.298,0.372,0.525,0.896,0.374,143,0.29,0.227,0.106,0.096
Fernando Tatis Jr.,SDP,104,395,72,106,17,44,22,57,82,0.268,0.365,0.451,0.816,0.353,132,0.3,0.182,0.179,0.125
Trea Turner,PHI,103,426,71,125,11,44,25,33,77,0.293,0.348,0.437,0.785,0.342,119,0.335,0.143,0.166,0.071
Kyle Tucker,CHC,103,383,72,105,18,58,23,68,63,0.274,0.384,0.488,0.872,0.374,144,0.285,0.214,0.138,0.14800000000000002
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Corbin Carroll,ARI,89,361,67,88,21,50,13,32,101,0.244,0.317,0.54,0.857,0.362,133,0.279,0.296,0.252,0.08
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,147,0.327,0.279,0.266,0.08
Elly De La Cruz,CIN,106,404,78,114,18,67,28,49,112,0.282,0.362,0.485,0.847,0.362,129,0.349,0.203,0.24600000000000002,0.107
Will Smith,LAD,83,275,52,89,14,48,2,48,60,0.324,0.423,0.542,0.965,0.413,170,0.364,0.218,0.18100000000000002,0.145
Kyle Stowers,MIA,100,335,52,100,23,63,5,40,106,0.299,0.379,0.573,0.952,0.403,160,0.368,0.275,0.276,0.10400000000000001
Manny Machado,SDP,106,407,61,122,19,66,8,39,76,0.3,0.36,0.506,0.866,0.371,144,0.325,0.206,0.168,0.086
Geraldo Perdomo,ARI,105,385,56,106,10,72,15,61,52,0.275,0.375,0.421,0.796,0.351,125,0.289,0.145,0.11199999999999999,0.131
Kyle Schwarber,PHI,105,390,75,99,36,84,9,70,124,0.254,0.378,0.574,0.953,0.403,161,0.274,0.321,0.265,0.15
Cody Bellinger,NYY,96,373,59,105,19,58,9,31,56,0.282,0.334,0.509,0.844,0.359,132,0.284,0.228,0.13699999999999998,0.076
Alejandro Kirk,TOR,88,312,27,95,7,47,0,29,34,0.304,0.361,0.413,0.775,0.339,117,0.32,0.109,0.098,0.084
Francisco Lindor,NYM,104,422,68,105,20,59,17,34,87,0.249,0.316,0.436,0.752,0.325,112,0.265,0.187,0.184,0.07200000000000001
James Wood,WSN,104,391,61,103,24,70,14,64,134,0.263,0.367,0.501,0.869,0.37,140,0.335,0.238,0.29100000000000004,0.139
Julio Rodriguez,SEA,105,435,69,111,18,55,20,30,106,0.255,0.314,0.432,0.746,0.324,114,0.297,0.177,0.223,0.063
Juan Soto,NYM,105,373,74,94,25,62,14,84,87,0.252,0.387,0.496,0.883,0.377,148,0.26,0.244,0.188,0.18100000000000002
Maikel Garcia,KCR,104,385,47,114,10,45,19,34,56,0.296,0.352,0.468,0.82,0.355,125,0.323,0.171,0.131,0.08
Matt Chapman,SFG,82,296,49,72,16,41,7,45,85,0.243,0.351,0.459,0.81,0.355,132,0.287,0.216,0.24600000000000002,0.13
Andy Pages,LAD,102,382,49,108,19,64,8,20,87,0.283,0.324,0.482,0.806,0.346,123,0.317,0.199,0.21100000000000002,0.048
Ceddanne Rafaela,BOS,101,351,58,93,14,48,14,17,70,0.265,0.306,0.456,0.761,0.328,106,0.295,0.191,0.18600000000000003,0.045
Eugenio Suarez,ARI,104,380,64,94,36,87,1,29,115,0.247,0.319,0.579,0.898,0.377,143,0.247,0.332,0.268,0.068
Matt Olson,ATL,104,392,57,103,18,65,0,65,108,0.263,0.368,0.464,0.832,0.362,133,0.316,0.202,0.23399999999999999,0.141
Randy Arozarena,SEA,104,385,59,95,20,52,17,46,123,0.247,0.352,0.468,0.819,0.356,136,0.306,0.221,0.272,0.102
CJ Abrams,WSN,91,364,66,100,14,41,23,25,68,0.275,0.34,0.475,0.815,0.352,127,0.303,0.201,0.168,0.062
Gunnar Henderson,BAL,98,369,55,104,11,38,14,37,93,0.282,0.351,0.458,0.809,0.349,126,0.35,0.176,0.22699999999999998,0.09
Masyn Winn,STL,95,363,57,97,7,36,6,27,67,0.267,0.322,0.383,0.704,0.311,100,0.309,0.116,0.16899999999999998,0.068
Vladimir Guerrero Jr.,TOR,104,390,70,114,14,54,5,62,65,0.292,0.396,0.459,0.855,0.371,140,0.319,0.167,0.141,0.135
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
Steven Kwan,CLE,99,389,50,111,9,37,11,39,37,0.285,0.35,0.411,0.761,0.333,115,0.292,0.126,0.084,0.08900000000000001
Xander Bogaerts,SDP,104,373,45,99,7,36,16,43,65,0.265,0.339,0.383,0.722,0.317,107,0.301,0.118,0.154,0.102
Nico Hoerner,CHC,101,384,56,111,3,42,19,23,31,0.289,0.337,0.375,0.712,0.315,104,0.307,0.086,0.075,0.055
George Springer,TOR,100,341,65,100,18,57,12,50,75,0.293,0.383,0.51,0.893,0.384,149,0.325,0.217,0.18600000000000003,0.124
Pete Alonso,NYM,106,395,54,105,22,81,1,47,107,0.266,0.357,0.504,0.861,0.368,142,0.306,0.238,0.233,0.102
Riley Greene,DET,104,402,56,110,25,81,1,28,142,0.274,0.323,0.517,0.84,0.358,132,0.359,0.244,0.327,0.065
Zach McKinstry,DET,97,316,50,84,8,32,16,38,76,0.266,0.348,0.437,0.785,0.341,120,0.322,0.171,0.209,0.105
Jackson Chourio,MIL,104,439,70,120,17,67,18,20,94,0.273,0.306,0.469,0.775,0.332,114,0.311,0.196,0.203,0.043
Brandon Nimmo,NYM,102,383,52,100,19,60,12,32,84,0.261,0.325,0.462,0.788,0.34,123,0.286,0.201,0.198,0.075
Bo Bichette,TOR,103,436,50,126,13,65,4,24,72,0.289,0.329,0.456,0.785,0.338,117,0.32,0.167,0.155,0.052000000000000005
Brendan Donovan,STL,99,382,54,110,9,42,3,37,56,0.288,0.358,0.421,0.78,0.34,121,0.315,0.134,0.13,0.086
Sal Frelick,MIL,94,348,46,102,7,39,17,26,50,0.293,0.352,0.402,0.755,0.333,116,0.324,0.109,0.129,0.067
Michael Busch,CHC,99,331,48,91,20,60,4,37,91,0.275,0.362,0.52,0.881,0.379,148,0.323,0.245,0.242,0.098
Willson Contreras,STL,101,370,52,97,14,61,4,34,105,0.262,0.35,0.451,0.801,0.35,127,0.328,0.189,0.248,0.08
Gleyber Torres,DET,94,337,54,93,10,49,4,54,54,0.276,0.378,0.415,0.793,0.351,127,0.299,0.139,0.135,0.135
Jacob Wilson,ATH,94,369,46,115,10,45,5,21,31,0.312,0.354,0.439,0.793,0.346,119,0.319,0.127,0.078,0.053
TJ Friedl,CIN,102,383,63,103,10,36,10,52,69,0.269,0.371,0.397,0.768,0.343,116,0.303,0.128,0.152,0.115
Junior Caminero,TBR,100,393,59,101,26,68,5,23,86,0.257,0.298,0.506,0.804,0.341,118,0.262,0.249,0.203,0.054000000000000006
Bryce Harper,PHI,77,290,47,76,15,43,10,47,69,0.262,0.37,0.493,0.863,0.371,139,0.293,0.231,0.201,0.13699999999999998
Ryan O'Hearn,BAL,91,298,41,84,12,39,3,41,58,0.282,0.375,0.45,0.824,0.359,133,0.312,0.168,0.16699999999999998,0.11800000000000001
Zach Neto,LAA,87,348,66,95,15,38,19,20,95,0.273,0.324,0.463,0.786,0.338,116,0.333,0.19,0.252,0.053
Jarren Duran,BOS,105,425,58,110,9,55,16,36,115,0.259,0.326,0.44,0.766,0.332,108,0.333,0.181,0.244,0.076
Oneil Cruz,PIT,94,339,53,75,17,44,34,50,124,0.221,0.322,0.428,0.75,0.324,105,0.286,0.206,0.312,0.126
Willy Adames,SFG,105,387,62,90,15,54,4,50,114,0.233,0.321,0.403,0.724,0.317,106,0.284,0.171,0.255,0.11199999999999999
Ernie Clement,TOR,104,356,49,99,5,31,3,20,39,0.278,0.314,0.382,0.696,0.303,93,0.297,0.104,0.10099999999999999,0.052000000000000005
Jonathan Aranda,TBR,99,343,50,107,11,51,0,39,98,0.312,0.393,0.469,0.862,0.375,142,0.407,0.157,0.25,0.099
Rafael Devers,- - -,107,399,61,104,19,73,1,75,121,0.261,0.381,0.469,0.85,0.366,134,0.323,0.208,0.251,0.155
Brent Rooker,ATH,108,419,66,114,21,57,3,47,105,0.272,0.348,0.494,0.842,0.362,130,0.317,0.222,0.22399999999999998,0.1
Taylor Ward,LAA,104,397,57,92,24,77,2,45,123,0.232,0.309,0.486,0.795,0.339,116,0.266,0.254,0.273,0.1
Otto Lopez,MIA,88,331,44,82,11,54,10,34,52,0.248,0.321,0.39,0.71,0.312,98,0.264,0.142,0.141,0.092
Hunter Goodman,COL,92,349,49,98,18,57,1,21,102,0.281,0.326,0.513,0.839,0.359,119,0.348,0.232,0.273,0.055999999999999994
Spencer Torkelson,DET,101,363,60,86,23,62,1,46,103,0.237,0.333,0.49,0.824,0.35,126,0.26,0.253,0.243,0.109
Trent Grisham,NYY,88,298,48,75,17,39,0,45,75,0.252,0.354,0.46,0.813,0.356,130,0.282,0.208,0.217,0.13
Josh Smith,TEX,93,328,52,90,9,28,9,35,60,0.274,0.352,0.415,0.767,0.337,117,0.312,0.14,0.162,0.094
Dansby Swanson,CHC,104,399,59,100,16,49,8,30,120,0.251,0.3,0.414,0.714,0.309,99,0.315,0.163,0.276,0.069
Wyatt Langford,TEX,85,322,45,75,15,42,15,38,103,0.233,0.315,0.413,0.728,0.317,104,0.29,0.18,0.282,0.10400000000000001
J.P. Crawford,SEA,103,388,45,104,7,38,5,56,80,0.268,0.364,0.363,0.727,0.327,116,0.321,0.095,0.177,0.124
Seiya Suzuki,CHC,101,402,55,101,26,81,3,37,119,0.251,0.311,0.52,0.831,0.351,129,0.286,0.269,0.268,0.083
Freddie Freeman,LAD,93,348,50,102,10,52,2,38,90,0.293,0.366,0.463,0.829,0.357,131,0.367,0.17,0.22899999999999998,0.09699999999999999
Yandy Diaz,TBR,100,401,51,114,18,61,3,34,62,0.284,0.345,0.471,0.816,0.351,125,0.295,0.187,0.14,0.077
Austin Riley,ATL,96,390,51,104,14,48,2,27,119,0.267,0.318,0.428,0.746,0.325,108,0.349,0.162,0.28300000000000003,0.064
Lawrence Butler,ATH,103,404,59,95,15,44,17,42,128,0.235,0.307,0.416,0.723,0.316,98,0.307,0.181,0.28600000000000003,0.094
Brice Turang,MIL,101,381,62,105,6,43,19,42,92,0.276,0.346,0.37,0.716,0.318,105,0.345,0.094,0.214,0.098
William Contreras,MIL,99,368,50,89,6,42,5,57,81,0.242,0.342,0.34,0.682,0.305,96,0.291,0.098,0.188,0.133
Nolan Schanuel,LAA,102,380,49,107,8,42,4,47,52,0.282,0.369,0.403,0.772,0.34,118,0.307,0.121,0.11800000000000001,0.107
