Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,364,0.354,28,63,0.456,0.705,6,0.477,215,0.432,0.351,0.2554945054945055,0.1510989010989011
Cal Raleigh,SEA,357,0.276,32,69,0.387,0.648,9,0.43,188,0.282,0.372,0.24929971988795518,0.14285714285714285
Shohei Ohtani,LAD,381,0.291,29,54,0.392,0.641,11,0.428,179,0.327,0.35000000000000003,0.2545931758530184,0.13648293963254593
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.378,147,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
Kyle Tucker,CHC,366,0.291,17,52,0.396,0.537,20,0.397,158,0.302,0.24600000000000005,0.14207650273224043,0.1448087431693989
Pete Crow-Armstrong,CHC,345,0.266,21,62,0.302,0.544,25,0.359,132,0.29,0.278,0.23478260869565218,0.043478260869565216
Bobby Witt Jr.,KCR,360,0.285,11,42,0.339,0.491,21,0.351,122,0.32,0.20600000000000002,0.17777777777777778,0.07222222222222222
Trea Turner,PHI,364,0.299,11,37,0.352,0.46,20,0.355,126,0.336,0.16100000000000003,0.16483516483516483,0.06593406593406594
James Wood,WSN,367,0.281,22,64,0.379,0.553,10,0.396,156,0.34,0.272,0.2724795640326976,0.1362397820163488
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,148,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Byron Buxton,MIN,284,0.286,19,51,0.352,0.575,15,0.391,155,0.325,0.289,0.2605633802816901,0.0880281690140845
Jose Ramirez,CLE,330,0.312,13,38,0.373,0.505,21,0.373,143,0.316,0.193,0.10909090909090909,0.08181818181818182
Fernando Tatis Jr.,SDP,350,0.257,15,37,0.346,0.446,16,0.345,124,0.275,0.189,0.17142857142857143,0.10857142857142857
Jacob Wilson,ATH,336,0.34,9,40,0.382,0.474,5,0.374,143,0.348,0.13399999999999995,0.0744047619047619,0.05654761904761905
Alejandro Kirk,TOR,271,0.315,7,39,0.362,0.435,0,0.348,126,0.327,0.12,0.0996309963099631,0.07011070110701106
Francisco Lindor,NYM,372,0.261,16,43,0.331,0.453,13,0.339,120,0.278,0.192,0.18010752688172044,0.07795698924731183
Andy Pages,LAD,325,0.288,16,55,0.326,0.497,6,0.354,128,0.314,0.20900000000000002,0.19692307692307692,0.043076923076923075
Riley Greene,DET,344,0.297,18,62,0.349,0.533,1,0.379,147,0.388,0.23600000000000004,0.3023255813953488,0.06976744186046512
Pete Alonso,NYM,367,0.294,18,65,0.384,0.547,1,0.399,161,0.347,0.25300000000000006,0.23160762942779292,0.1008174386920981
Elly De La Cruz,CIN,357,0.277,18,56,0.353,0.506,22,0.367,129,0.332,0.22899999999999998,0.25210084033613445,0.10084033613445378
Manny Machado,SDP,347,0.297,13,47,0.357,0.486,8,0.365,138,0.325,0.189,0.1642651296829971,0.0893371757925072
Ernie Clement,TOR,284,0.308,4,21,0.349,0.419,3,0.335,117,0.332,0.11099999999999999,0.1056338028169014,0.05985915492957746
CJ Abrams,WSN,313,0.286,12,28,0.356,0.489,17,0.367,136,0.318,0.203,0.1757188498402556,0.0670926517571885
Isaac Paredes,HOU,342,0.258,17,47,0.363,0.474,0,0.366,139,0.267,0.21599999999999997,0.17251461988304093,0.12280701754385964
Zach McKinstry,DET,283,0.287,5,26,0.362,0.457,10,0.355,130,0.363,0.17000000000000004,0.22614840989399293,0.10247349823321555
Geraldo Perdomo,ARI,358,0.265,9,57,0.36,0.423,12,0.343,118,0.273,0.15799999999999997,0.11731843575418995,0.12849162011173185
Julio Rodriguez,SEA,366,0.254,11,42,0.314,0.407,13,0.316,109,0.297,0.15299999999999997,0.20765027322404372,0.060109289617486336
Maikel Garcia,KCR,332,0.311,8,38,0.37,0.485,18,0.371,136,0.344,0.174,0.13855421686746988,0.08433734939759036
Matt Olson,ATL,361,0.258,15,52,0.363,0.474,0,0.364,132,0.302,0.21599999999999997,0.22714681440443213,0.13850415512465375
Juan Soto,NYM,368,0.258,20,47,0.394,0.508,9,0.388,153,0.256,0.25,0.16304347826086957,0.18478260869565216
Brendan Donovan,STL,332,0.302,6,31,0.372,0.434,3,0.353,127,0.335,0.132,0.12951807228915663,0.08433734939759036
Steven Kwan,CLE,337,0.3,6,25,0.363,0.426,11,0.347,125,0.315,0.126,0.08605341246290801,0.0830860534124629
Kyle Schwarber,PHI,367,0.248,25,57,0.381,0.536,7,0.393,153,0.275,0.28800000000000003,0.25885558583106266,0.16076294277929154
Jonathan Aranda,TBR,304,0.33,10,44,0.411,0.504,0,0.399,164,0.416,0.174,0.23355263157894737,0.10197368421052631
Freddie Freeman,LAD,306,0.312,10,43,0.386,0.509,0,0.382,148,0.368,0.197,0.19934640522875818,0.10130718954248366
Eugenio Suarez,ARI,328,0.253,25,67,0.323,0.565,1,0.376,140,0.262,0.31199999999999994,0.25609756097560976,0.06402439024390244
Gleyber Torres,DET,307,0.284,9,43,0.388,0.44,4,0.366,138,0.3,0.15600000000000003,0.1270358306188925,0.13680781758957655
Matt Chapman,SFG,272,0.243,12,30,0.36,0.452,7,0.359,132,0.288,0.20900000000000002,0.23897058823529413,0.14705882352941177
Max Muncy,LAD,305,0.255,13,54,0.38,0.466,4,0.369,139,0.289,0.21100000000000002,0.21639344262295082,0.16393442622950818
Jake Meyers,HOU,293,0.307,3,20,0.364,0.398,13,0.338,119,0.371,0.09100000000000003,0.18088737201365188,0.08191126279863481
Nico Hoerner,CHC,326,0.294,3,35,0.337,0.386,15,0.32,106,0.307,0.09200000000000003,0.06748466257668712,0.05214723926380368
Ceddanne Rafaela,BOS,291,0.253,9,32,0.299,0.416,11,0.312,94,0.294,0.16299999999999998,0.20618556701030927,0.048109965635738834
Masyn Winn,STL,304,0.259,7,30,0.323,0.391,4,0.316,102,0.298,0.132,0.17763157894736842,0.07894736842105263
Rafael Devers,- - -,383,0.267,17,63,0.392,0.492,1,0.381,143,0.319,0.22499999999999998,0.2349869451697128,0.1618798955613577
Vladimir Guerrero Jr.,TOR,355,0.28,11,40,0.386,0.443,3,0.363,136,0.3,0.16299999999999998,0.1352112676056338,0.1323943661971831
TJ Friedl,CIN,352,0.288,8,31,0.377,0.424,9,0.355,121,0.329,0.136,0.16193181818181818,0.11647727272727272
Gunnar Henderson,BAL,319,0.275,9,25,0.348,0.439,9,0.342,123,0.352,0.16399999999999998,0.2476489028213166,0.09404388714733543
Ryan O'Hearn,BAL,272,0.294,11,30,0.382,0.472,3,0.374,145,0.322,0.178,0.16911764705882354,0.11029411764705882
Junior Caminero,TBR,329,0.259,20,51,0.304,0.511,5,0.348,129,0.259,0.252,0.182370820668693,0.060790273556231005
J.P. Crawford,SEA,343,0.279,6,30,0.388,0.376,5,0.346,130,0.335,0.09699999999999998,0.17784256559766765,0.1457725947521866
Sal Frelick,MIL,327,0.295,4,33,0.355,0.387,15,0.331,110,0.332,0.09200000000000003,0.12844036697247707,0.07339449541284404
Seiya Suzuki,CHC,351,0.261,22,69,0.316,0.547,2,0.365,137,0.292,0.28600000000000003,0.2621082621082621,0.07977207977207977
Brice Turang,MIL,342,0.289,5,35,0.361,0.382,16,0.331,111,0.363,0.09300000000000003,0.21637426900584794,0.1023391812865497
