Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,360,0.358,28,63,0.458,0.712,6,0.481,218,0.44,0.354,0.25833333333333336,0.15
Cal Raleigh,SEA,353,0.275,32,69,0.385,0.651,9,0.43,189,0.281,0.376,0.2521246458923513,0.141643059490085
Shohei Ohtani,LAD,377,0.295,29,54,0.396,0.649,11,0.433,182,0.328,0.35400000000000004,0.2493368700265252,0.13793103448275862
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.378,147,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
Pete Crow-Armstrong,CHC,340,0.268,21,61,0.304,0.549,24,0.362,135,0.295,0.281,0.23823529411764705,0.041176470588235294
Trea Turner,PHI,360,0.302,11,37,0.356,0.465,20,0.359,129,0.338,0.16300000000000003,0.16111111111111112,0.06666666666666667
Bobby Witt Jr.,KCR,355,0.277,11,42,0.332,0.483,21,0.345,118,0.311,0.20599999999999996,0.18028169014084508,0.07323943661971831
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,148,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Kyle Tucker,CHC,361,0.283,16,49,0.391,0.52,19,0.388,152,0.294,0.23700000000000004,0.1440443213296399,0.14681440443213298
James Wood,WSN,363,0.278,22,64,0.377,0.553,10,0.396,155,0.335,0.275,0.2727272727272727,0.13774104683195593
Jose Ramirez,CLE,325,0.317,13,38,0.378,0.514,21,0.379,148,0.321,0.197,0.1076923076923077,0.08307692307692308
Fernando Tatis Jr.,SDP,345,0.258,15,37,0.348,0.45,16,0.348,126,0.276,0.192,0.17391304347826086,0.11014492753623188
Byron Buxton,MIN,280,0.278,18,49,0.346,0.56,14,0.383,150,0.319,0.28200000000000003,0.2642857142857143,0.08928571428571429
Jacob Wilson,ATH,331,0.341,9,40,0.382,0.477,5,0.375,144,0.348,0.13599999999999995,0.07250755287009064,0.054380664652567974
Alejandro Kirk,TOR,267,0.316,7,39,0.363,0.439,0,0.35,128,0.327,0.123,0.09737827715355805,0.07116104868913857
Will Smith,LAD,260,0.319,9,42,0.415,0.523,2,0.405,163,0.366,0.20400000000000001,0.18461538461538463,0.1423076923076923
Francisco Lindor,NYM,367,0.262,16,43,0.33,0.452,13,0.338,119,0.278,0.19,0.18256130790190736,0.07629427792915532
Andy Pages,LAD,320,0.289,16,54,0.325,0.5,6,0.354,129,0.313,0.21100000000000002,0.19375,0.040625
Riley Greene,DET,339,0.292,17,61,0.345,0.522,1,0.373,144,0.385,0.23000000000000004,0.30678466076696165,0.07079646017699115
Manny Machado,SDP,342,0.295,13,47,0.357,0.487,8,0.365,138,0.324,0.192,0.16666666666666666,0.09064327485380116
Ernie Clement,TOR,280,0.309,4,21,0.35,0.422,3,0.337,119,0.333,0.11299999999999999,0.10714285714285714,0.060714285714285714
Pete Alonso,NYM,363,0.292,18,65,0.383,0.545,0,0.398,160,0.343,0.25300000000000006,0.23140495867768596,0.10192837465564739
Elly De La Cruz,CIN,352,0.279,18,56,0.352,0.511,22,0.369,130,0.337,0.23199999999999998,0.2556818181818182,0.09659090909090909
Julio Rodriguez,SEA,362,0.255,11,42,0.315,0.409,13,0.317,110,0.297,0.15399999999999997,0.20718232044198895,0.06077348066298342
Juan Soto,NYM,363,0.259,20,46,0.397,0.514,9,0.391,155,0.253,0.255,0.15702479338842976,0.18732782369146006
CJ Abrams,WSN,308,0.287,11,27,0.358,0.484,17,0.366,135,0.322,0.197,0.17532467532467533,0.06818181818181818
Matt Olson,ATL,356,0.256,15,52,0.362,0.472,0,0.363,132,0.298,0.21599999999999997,0.22752808988764045,0.1404494382022472
Isaac Paredes,HOU,338,0.253,16,46,0.358,0.462,0,0.36,135,0.265,0.20900000000000002,0.17455621301775148,0.1242603550295858
Zach McKinstry,DET,278,0.28,4,24,0.357,0.44,10,0.347,126,0.36,0.15999999999999998,0.2302158273381295,0.10431654676258993
Steven Kwan,CLE,332,0.302,6,24,0.366,0.423,11,0.347,126,0.317,0.121,0.08734939759036145,0.08433734939759036
Geraldo Perdomo,ARI,353,0.259,9,56,0.356,0.416,12,0.34,115,0.267,0.15699999999999997,0.11898016997167139,0.13031161473087818
Eugenio Suarez,ARI,323,0.254,25,67,0.325,0.568,1,0.378,141,0.261,0.31399999999999995,0.25386996904024767,0.06501547987616099
Maikel Garcia,KCR,328,0.311,8,36,0.368,0.483,17,0.37,136,0.344,0.172,0.1402439024390244,0.08231707317073171
Matt Chapman,SFG,272,0.243,12,30,0.36,0.452,7,0.359,132,0.288,0.20900000000000002,0.23897058823529413,0.14705882352941177
Kyle Schwarber,PHI,363,0.247,25,57,0.377,0.533,7,0.39,151,0.272,0.28600000000000003,0.26170798898071623,0.15977961432506887
Jonathan Aranda,TBR,299,0.331,9,42,0.411,0.496,0,0.396,163,0.421,0.16499999999999998,0.23411371237458195,0.10033444816053512
Rafael Devers,- - -,379,0.27,17,63,0.396,0.498,1,0.385,146,0.322,0.22799999999999998,0.23218997361477572,0.16358839050131926
Vladimir Guerrero Jr.,TOR,351,0.284,11,40,0.39,0.449,3,0.367,140,0.305,0.16500000000000004,0.13675213675213677,0.1339031339031339
Brendan Donovan,STL,327,0.3,5,29,0.368,0.423,3,0.347,124,0.337,0.123,0.13149847094801223,0.07951070336391437
J.P. Crawford,SEA,338,0.284,6,30,0.394,0.383,5,0.351,134,0.339,0.09900000000000003,0.17455621301775148,0.14792899408284024
