Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,11,3,2.32,200,25,0.87,8.0,0.73,2.21
Garrett Crochet,BOS,14,5,2.38,207,42,1.06,4.93,0.81,2.57
Paul Skenes,PIT,7,9,2.16,174,37,0.96,4.7,0.53,2.45
Cristopher Sanchez,PHI,11,4,2.46,169,38,1.1,4.45,0.57,2.63
Logan Webb,SFG,12,9,3.13,180,37,1.22,4.86,0.59,2.59
Hunter Brown,HOU,10,5,2.36,170,46,1.01,3.7,0.72,2.91
Zack Wheeler,PHI,10,5,2.71,195,33,0.94,5.91,1.14,2.98
Framber Valdez,HOU,11,7,3.32,153,54,1.21,2.83,0.51,3.08
Jesus Luzardo,PHI,12,6,4.1,170,48,1.3,3.54,0.87,3.04
Yoshinobu Yamamoto,LAD,10,8,2.9,151,46,1.08,3.28,0.81,3.12
Nick Pivetta,SDP,13,4,2.81,154,38,0.94,4.05,0.98,3.27
Max Fried,NYY,13,5,3.14,148,40,1.12,3.7,0.75,3.24
Matthew Boyd,CHC,12,6,2.61,129,33,1.04,3.91,0.79,3.28
Joe Ryan,MIN,12,6,2.77,159,28,0.94,5.68,1.07,3.25
Andrew Abbott,CIN,8,4,2.62,118,35,1.1,3.37,1.01,3.61
Sonny Gray,STL,12,6,4.33,161,25,1.2,6.44,1.24,3.26
Jacob deGrom,TEX,10,5,2.76,148,30,0.93,4.93,1.22,3.47
Michael Wacha,KCR,8,10,3.39,108,38,1.18,2.84,0.79,3.62
Bryan Woo,SEA,11,7,2.94,160,30,0.94,5.33,1.3,3.6
Freddy Peralta,MIL,15,5,2.68,160,57,1.1,2.81,0.98,3.68
David Peterson,NYM,8,5,3.18,127,51,1.24,2.49,0.56,3.35
Jose Soriano,LAA,8,9,4.0,130,64,1.38,2.03,0.67,3.7
MacKenzie Gore,WSN,5,12,4.11,170,53,1.35,3.21,1.2,3.68
Dylan Cease,SDP,6,11,4.71,178,58,1.32,3.07,1.24,3.65
Kevin Gausman,TOR,8,9,3.78,142,42,1.06,3.38,1.16,3.78
Yusei Kikuchi,LAA,6,8,3.42,153,61,1.42,2.51,1.14,3.98
Carlos Rodon,NYY,13,7,3.24,169,60,1.07,2.82,1.12,3.81
Mitch Keller,PIT,5,12,4.34,116,42,1.31,2.76,0.87,3.76
Brady Singer,CIN,11,9,4.18,123,49,1.3,2.51,0.96,3.93
Merrill Kelly,- - -,9,7,3.35,139,44,1.06,3.16,1.13,3.82
Dean Kremer,BAL,9,9,4.19,127,38,1.23,3.34,1.24,4.01
Luis Severino,ATH,6,11,4.82,103,44,1.34,2.34,0.86,4.1
Will Warren,NYY,7,6,4.47,146,58,1.4,2.52,1.03,3.77
Robbie Ray,SFG,10,6,2.85,158,57,1.11,2.77,1.05,3.75
Nick Martinez,CIN,10,9,4.59,105,34,1.2,3.09,1.24,4.29
Jack Flaherty,DET,7,12,4.51,162,50,1.27,3.24,1.37,3.86
Chris Bassitt,TOR,11,7,4.18,142,41,1.34,3.46,1.31,4.14
Luis Castillo,SEA,8,7,3.57,127,40,1.27,3.18,1.17,4.01
Clay Holmes,NYM,11,6,3.6,109,55,1.32,1.98,0.79,4.08
Jose Berrios,TOR,9,5,3.95,129,49,1.26,2.63,1.3,4.4
Ryan Pepiot,TBR,8,10,3.95,146,51,1.19,2.86,1.58,4.56
Brayan Bello,BOS,10,6,3.07,102,46,1.22,2.22,0.93,4.19
Zack Littell,- - -,9,8,3.62,106,27,1.14,3.93,1.64,4.72
Jeffrey Springs,ATH,10,8,4.15,117,46,1.18,2.54,1.55,4.75
Tanner Bibee,CLE,9,9,4.62,129,44,1.29,2.93,1.45,4.5
Sandy Alcantara,MIA,7,11,6.04,106,49,1.38,2.16,1.07,4.31
Chris Paddack,- - -,5,11,4.98,97,32,1.26,3.03,1.51,4.64
Gavin Williams,CLE,8,4,3.24,132,68,1.3,1.94,1.22,4.49
Shane Baz,TBR,8,10,5.22,143,52,1.37,2.75,1.7,4.77
Logan Allen,CLE,7,10,4.35,100,54,1.43,1.85,1.19,4.63
Brandon Pfaadt,ARI,12,8,4.95,113,31,1.34,3.65,1.35,4.35
Tomoyuki Sugano,BAL,10,5,3.97,85,32,1.27,2.66,1.44,4.79
Mitchell Parker,WSN,7,14,6.01,87,53,1.49,1.64,1.34,5.0
Seth Lugo,KCR,8,6,3.73,115,49,1.22,2.35,1.63,4.98
Andre Pallante,STL,6,11,5.17,92,47,1.41,1.96,1.21,4.61
Zac Gallen,ARI,9,13,5.28,134,52,1.33,2.58,1.56,4.7
Tyler Anderson,LAA,2,8,4.73,103,54,1.4,1.91,1.92,5.62
Jake Irvin,WSN,8,8,5.3,97,50,1.4,1.94,1.79,5.5
