Team,W,L,PCT,GB,Division,League
Toronto Blue Jays,77,55,0.583,5.0,Unknown,Unknown
Boston Red Sox,72,60,0.545,10.0,Unknown,Unknown
New York Yankees,71,60,0.542,10.5,Unknown,Unknown
Tampa Bay Rays,64,67,0.489,17.5,Unknown,Unknown
Baltimore Orioles,60,71,0.458,21.5,Unknown,Unknown
Detroit Tigers,78,54,0.591,4.0,Unknown,Unknown
Kansas City Royals,67,65,0.508,15.0,Unknown,Unknown
Cleveland Guardians,64,66,0.492,17.0,Unknown,Unknown
Minnesota Twins,59,72,0.45,22.5,Unknown,Unknown
Chicago White Sox,48,83,0.366,33.5,Unknown,Unknown
Houston Astros,72,59,0.55,9.5,Unknown,Unknown
Seattle Mariners,70,61,0.534,11.5,Unknown,Unknown
Texas Rangers,66,67,0.496,16.5,Unknown,Unknown
Los Angeles Angels,62,69,0.473,19.5,Unknown,Unknown
Athletics,60,72,0.455,22.0,Unknown,Unknown
Philadelphia Phillies,76,55,0.58,5.5,Unknown,Unknown
New York Mets,70,61,0.534,11.5,Unknown,Unknown
Miami Marlins,62,69,0.473,19.5,Unknown,Unknown
Atlanta Braves,59,72,0.45,22.5,Unknown,Unknown
Washington Nationals,53,78,0.405,28.5,Unknown,Unknown
Milwaukee Brewers,82,50,0.621,-,Unknown,Unknown
Chicago Cubs,76,55,0.58,5.5,Unknown,Unknown
Cincinnati Reds,68,63,0.519,13.5,Unknown,Unknown
St. Louis Cardinals,65,67,0.492,17.0,Unknown,Unknown
Pittsburgh Pirates,57,75,0.432,25.0,Unknown,Unknown
Los Angeles Dodgers,74,57,0.565,7.5,Unknown,Unknown
San Diego Padres,74,57,0.565,7.5,Unknown,Unknown
Arizona Diamondbacks,64,68,0.485,18.0,Unknown,Unknown
San Francisco Giants,63,68,0.481,18.5,Unknown,Unknown
Colorado Rockies,37,94,0.282,44.5,Unknown,Unknown
