Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.339,37,85,0.446,0.705,6,0.465,204,0.407,0.366,0.264,0.158
Cal Raleigh,SEA,0.249,42,88,0.356,0.59,12,0.392,160,0.253,0.341,0.271,0.134
Pete Crow-Armstrong,CHC,0.266,27,78,0.304,0.544,29,0.357,133,0.298,0.278,0.245,0.043
Bobby Witt Jr.,KCR,0.287,16,63,0.341,0.496,29,0.354,124,0.33,0.209,0.19699999999999998,0.075
Shohei Ohtani,LAD,0.276,38,73,0.38,0.601,16,0.407,165,0.314,0.326,0.26899999999999996,0.139
Jose Ramirez,CLE,0.296,23,61,0.372,0.523,32,0.372,141,0.287,0.227,0.10099999999999999,0.099
Fernando Tatis Jr.,SDP,0.261,17,45,0.364,0.434,22,0.347,127,0.294,0.174,0.18100000000000002,0.131
Jeremy Pena,HOU,0.322,11,43,0.378,0.493,15,0.376,143,0.362,0.17,0.157,0.057
Corbin Carroll,ARI,0.247,22,55,0.321,0.54,14,0.363,133,0.281,0.293,0.245,0.085
Kyle Tucker,CHC,0.271,18,61,0.384,0.474,23,0.37,141,0.288,0.203,0.14400000000000002,0.152
Geraldo Perdomo,ARI,0.278,11,75,0.379,0.426,17,0.354,127,0.29,0.148,0.106,0.134
Trea Turner,PHI,0.28,11,45,0.334,0.415,25,0.327,108,0.323,0.135,0.172,0.068
Kyle Schwarber,PHI,0.258,40,94,0.382,0.591,10,0.41,166,0.278,0.333,0.265,0.149
Kyle Stowers,MIA,0.293,25,71,0.37,0.566,5,0.395,155,0.36,0.273,0.28,0.10099999999999999
Byron Buxton,MIN,0.282,23,59,0.343,0.561,17,0.38,145,0.327,0.279,0.266,0.08
Manny Machado,SDP,0.302,20,72,0.362,0.505,10,0.371,144,0.332,0.202,0.174,0.084
Elly De La Cruz,CIN,0.279,19,73,0.356,0.478,30,0.356,125,0.346,0.199,0.24600000000000002,0.10400000000000001
Ketel Marte,ARI,0.287,21,44,0.389,0.545,2,0.397,156,0.287,0.257,0.149,0.132
Maikel Garcia,KCR,0.3,11,50,0.357,0.474,20,0.359,127,0.326,0.173,0.128,0.08199999999999999
Francisco Lindor,NYM,0.251,21,64,0.319,0.438,17,0.327,114,0.272,0.187,0.191,0.073
Alejandro Kirk,TOR,0.305,7,47,0.363,0.409,0,0.338,117,0.319,0.105,0.094,0.086
Julio Rodriguez,SEA,0.254,20,59,0.308,0.435,21,0.322,112,0.295,0.181,0.226,0.059000000000000004
Masyn Winn,STL,0.267,8,42,0.322,0.391,6,0.313,102,0.31,0.123,0.172,0.066
Cody Bellinger,NYY,0.276,20,66,0.328,0.496,10,0.351,126,0.277,0.22,0.129,0.07400000000000001
Vladimir Guerrero Jr.,TOR,0.292,17,60,0.395,0.471,5,0.375,142,0.312,0.179,0.134,0.136
