Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,98,360,87,127,35,81,6,70,113,0.353,0.459,0.722,1.181,0.479,215,0.426,0.369,0.258,0.16
Cal Raleigh,SEA,96,356,67,91,38,83,11,62,107,0.256,0.371,0.621,0.992,0.408,173,0.248,0.365,0.251,0.146
Pete Crow-Armstrong,CHC,97,381,68,102,26,72,28,18,95,0.268,0.304,0.551,0.855,0.361,135,0.289,0.283,0.23199999999999998,0.044000000000000004
Bobby Witt Jr.,KCR,99,390,58,113,14,54,26,30,80,0.29,0.34,0.495,0.835,0.353,124,0.328,0.205,0.18600000000000003,0.07
Shohei Ohtani,LAD,97,379,92,104,33,63,13,62,111,0.274,0.379,0.604,0.983,0.408,166,0.3,0.33,0.248,0.139
Jose Ramirez,CLE,94,352,57,105,19,52,29,37,44,0.298,0.368,0.523,0.891,0.372,142,0.293,0.224,0.11,0.09300000000000001
Kyle Tucker,CHC,97,363,70,102,18,57,22,61,60,0.281,0.385,0.504,0.889,0.379,148,0.292,0.223,0.139,0.142
Byron Buxton,MIN,80,308,66,89,22,57,17,27,90,0.289,0.35,0.575,0.925,0.389,152,0.335,0.286,0.262,0.079
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Fernando Tatis Jr.,SDP,96,364,66,97,16,42,22,53,74,0.266,0.365,0.445,0.81,0.351,130,0.295,0.179,0.175,0.126
Corbin Carroll,ARI,82,331,64,82,21,48,11,32,96,0.248,0.326,0.559,0.885,0.373,140,0.284,0.311,0.259,0.086
Trea Turner,PHI,96,395,64,114,11,41,25,31,71,0.289,0.345,0.43,0.775,0.338,116,0.327,0.142,0.16399999999999998,0.07200000000000001
James Wood,WSN,97,363,59,99,24,69,13,60,120,0.273,0.376,0.523,0.9,0.381,147,0.338,0.251,0.28,0.14
Will Smith,LAD,76,256,46,83,12,46,2,45,55,0.324,0.424,0.535,0.959,0.412,169,0.366,0.211,0.17800000000000002,0.146
Elly De La Cruz,CIN,99,378,72,106,18,64,25,43,104,0.28,0.356,0.487,0.843,0.359,127,0.342,0.206,0.245,0.10099999999999999
Kyle Stowers,MIA,93,311,48,93,21,59,4,36,99,0.299,0.376,0.566,0.942,0.399,158,0.371,0.267,0.27899999999999997,0.10099999999999999
Ceddanne Rafaela,BOS,94,325,55,88,14,48,13,16,66,0.271,0.312,0.477,0.789,0.339,113,0.301,0.206,0.18899999999999997,0.046
Francisco Lindor,NYM,97,391,63,99,19,54,15,33,79,0.253,0.323,0.445,0.768,0.331,117,0.268,0.192,0.18,0.075
Geraldo Perdomo,ARI,98,360,54,98,10,71,14,58,51,0.272,0.374,0.422,0.796,0.35,125,0.286,0.15,0.11699999999999999,0.133
Kyle Schwarber,PHI,98,359,70,90,32,74,9,68,116,0.251,0.382,0.563,0.944,0.401,159,0.275,0.312,0.267,0.156
Eugenio Suarez,ARI,97,354,61,90,33,81,1,27,105,0.254,0.326,0.585,0.911,0.383,147,0.258,0.331,0.263,0.068
CJ Abrams,WSN,84,335,62,96,13,36,20,24,60,0.287,0.35,0.49,0.84,0.362,134,0.314,0.203,0.161,0.065
Manny Machado,SDP,98,376,58,108,18,60,8,36,71,0.287,0.345,0.489,0.835,0.357,135,0.308,0.202,0.17,0.086
