Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,356,0.361,28,63,0.461,0.719,6,0.486,222,0.442,0.358,0.2556179775280899,0.14887640449438203
Cal Raleigh,SEA,347,0.275,32,69,0.38,0.651,9,0.43,189,0.278,0.376,0.25360230547550433,0.13544668587896252
Shohei Ohtani,LAD,373,0.291,28,52,0.392,0.633,11,0.426,178,0.325,0.342,0.24932975871313673,0.13672922252010725
Pete Crow-Armstrong,CHC,336,0.272,21,61,0.307,0.556,24,0.367,138,0.298,0.28400000000000003,0.23511904761904762,0.041666666666666664
Jeremy Pena,HOU,347,0.324,11,40,0.379,0.492,15,0.379,148,0.363,0.16799999999999998,0.1585014409221902,0.05763688760806916
Bobby Witt Jr.,KCR,350,0.278,10,40,0.334,0.478,21,0.344,118,0.315,0.19999999999999996,0.18,0.07428571428571429
Kyle Tucker,CHC,357,0.287,16,49,0.395,0.527,19,0.393,156,0.299,0.24000000000000005,0.14565826330532214,0.1484593837535014
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,149,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Fernando Tatis Jr.,SDP,342,0.261,15,37,0.351,0.455,16,0.351,129,0.28,0.194,0.17543859649122806,0.1111111111111111
James Wood,WSN,357,0.277,22,63,0.373,0.554,9,0.395,155,0.333,0.277,0.27450980392156865,0.13165266106442577
Jose Ramirez,CLE,325,0.317,13,38,0.378,0.514,21,0.379,148,0.321,0.197,0.1076923076923077,0.08307692307692308
Trea Turner,PHI,354,0.295,9,35,0.35,0.44,19,0.347,122,0.336,0.14500000000000002,0.1638418079096045,0.06779661016949153
Will Smith,LAD,256,0.325,9,42,0.422,0.533,2,0.411,168,0.373,0.20800000000000002,0.18359375,0.14453125
Byron Buxton,MIN,275,0.279,17,48,0.345,0.553,13,0.38,148,0.323,0.274,0.26545454545454544,0.08727272727272728
Jacob Wilson,ATH,327,0.345,9,40,0.387,0.484,5,0.38,148,0.35,0.139,0.0672782874617737,0.05504587155963303
Andy Pages,LAD,316,0.293,16,54,0.329,0.507,6,0.359,132,0.317,0.21400000000000002,0.1930379746835443,0.04113924050632911
Francisco Lindor,NYM,363,0.265,16,43,0.333,0.458,13,0.342,122,0.28,0.193,0.1790633608815427,0.07713498622589532
Alejandro Kirk,TOR,261,0.313,7,38,0.356,0.433,0,0.345,124,0.324,0.12,0.09961685823754789,0.06513409961685823
Riley Greene,DET,335,0.295,17,61,0.349,0.529,1,0.378,147,0.389,0.23400000000000004,0.3044776119402985,0.07164179104477612
Manny Machado,SDP,339,0.298,13,47,0.36,0.492,8,0.368,140,0.326,0.194,0.16519174041297935,0.09144542772861357
Pete Alonso,NYM,359,0.292,18,65,0.384,0.549,0,0.4,162,0.343,0.25700000000000006,0.23119777158774374,0.10306406685236769
Elly De La Cruz,CIN,348,0.277,18,55,0.351,0.511,21,0.368,130,0.332,0.23399999999999999,0.2557471264367816,0.09770114942528736
Matt Olson,ATL,351,0.257,15,52,0.365,0.476,0,0.366,134,0.298,0.21899999999999997,0.22507122507122507,0.14245014245014245
Juan Soto,NYM,360,0.257,19,45,0.394,0.503,9,0.386,153,0.255,0.246,0.15833333333333333,0.18611111111111112
CJ Abrams,WSN,302,0.283,11,26,0.355,0.483,16,0.365,135,0.317,0.2,0.17880794701986755,0.0695364238410596
Isaac Paredes,HOU,333,0.251,16,46,0.357,0.463,0,0.36,135,0.262,0.21200000000000002,0.17717717717717718,0.12612612612612611
Ernie Clement,TOR,275,0.303,4,20,0.338,0.417,3,0.33,114,0.327,0.11399999999999999,0.10909090909090909,0.05090909090909091
Julio Rodriguez,SEA,356,0.249,11,41,0.309,0.403,13,0.312,106,0.29,0.15400000000000003,0.21067415730337077,0.06179775280898876
Matt Chapman,SFG,272,0.243,12,30,0.36,0.452,7,0.359,132,0.288,0.20900000000000002,0.23897058823529413,0.14705882352941177
Steven Kwan,CLE,328,0.306,6,24,0.37,0.429,11,0.352,129,0.322,0.123,0.08841463414634146,0.08536585365853659
Eugenio Suarez,ARI,319,0.251,25,67,0.323,0.569,1,0.377,141,0.256,0.31799999999999995,0.25705329153605017,0.06583072100313479
Maikel Garcia,KCR,323,0.309,8,36,0.368,0.481,17,0.369,136,0.342,0.172,0.1393188854489164,0.08359133126934984
Zach McKinstry,DET,277,0.277,4,24,0.355,0.438,9,0.345,124,0.356,0.16099999999999998,0.23104693140794225,0.10469314079422383
Geraldo Perdomo,ARI,348,0.259,8,53,0.353,0.407,12,0.335,112,0.269,0.14799999999999996,0.1206896551724138,0.12643678160919541
Rafael Devers,- - -,374,0.27,17,63,0.396,0.502,1,0.386,147,0.319,0.23199999999999998,0.22727272727272727,0.16310160427807488
Junior Caminero,TBR,319,0.26,20,51,0.304,0.52,5,0.352,132,0.259,0.26,0.18495297805642633,0.05956112852664577
Brendan Donovan,STL,322,0.301,5,29,0.368,0.426,3,0.348,124,0.339,0.125,0.13354037267080746,0.07763975155279502
Kyle Schwarber,PHI,357,0.247,24,55,0.375,0.527,6,0.387,149,0.274,0.28,0.2605042016806723,0.1568627450980392
Jonathan Aranda,TBR,294,0.329,8,41,0.412,0.486,0,0.393,161,0.425,0.15699999999999997,0.23809523809523808,0.10204081632653061
Freddie Freeman,LAD,297,0.309,9,42,0.38,0.5,0,0.377,144,0.365,0.191,0.19865319865319866,0.09764309764309764
