Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,97,356,85,126,35,81,6,69,112,0.354,0.46,0.728,1.187,0.481,217,0.427,0.374,0.259,0.159
Cal Raleigh,SEA,95,351,66,91,38,83,11,62,107,0.259,0.375,0.63,1.005,0.414,176,0.254,0.37,0.254,0.147
Pete Crow-Armstrong,CHC,96,377,67,100,25,71,27,18,94,0.265,0.302,0.544,0.846,0.358,133,0.287,0.279,0.23199999999999998,0.044000000000000004
Bobby Witt Jr.,KCR,98,386,58,113,14,54,26,30,80,0.293,0.344,0.5,0.844,0.356,126,0.332,0.207,0.188,0.071
Shohei Ohtani,LAD,96,374,91,102,32,60,13,62,110,0.273,0.379,0.599,0.978,0.406,165,0.299,0.326,0.249,0.14
Byron Buxton,MIN,79,303,66,89,22,57,17,27,88,0.294,0.355,0.584,0.939,0.395,156,0.34,0.29,0.26,0.08
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Fernando Tatis Jr.,SDP,95,362,66,97,16,42,22,51,73,0.268,0.364,0.448,0.811,0.351,130,0.296,0.18,0.175,0.122
Jose Ramirez,CLE,93,349,56,104,18,50,29,36,44,0.298,0.367,0.516,0.883,0.369,140,0.295,0.218,0.111,0.091
Kyle Tucker,CHC,96,359,69,100,17,56,22,61,60,0.279,0.384,0.496,0.879,0.376,146,0.291,0.217,0.141,0.14300000000000002
James Wood,WSN,96,359,59,99,24,69,13,60,119,0.276,0.38,0.529,0.909,0.385,150,0.342,0.253,0.281,0.142
Trea Turner,PHI,95,392,63,113,11,40,24,29,71,0.288,0.342,0.431,0.773,0.337,115,0.327,0.143,0.166,0.068
Elly De La Cruz,CIN,98,374,72,106,18,64,25,43,103,0.283,0.36,0.492,0.852,0.363,130,0.346,0.209,0.245,0.102
Will Smith,LAD,75,251,45,81,12,46,2,45,55,0.323,0.424,0.538,0.962,0.414,170,0.365,0.215,0.18100000000000002,0.14800000000000002
Corbin Carroll,ARI,81,326,62,79,21,47,11,32,96,0.242,0.322,0.543,0.865,0.366,136,0.276,0.301,0.262,0.087
Francisco Lindor,NYM,96,386,63,99,19,54,15,33,76,0.256,0.326,0.451,0.777,0.335,120,0.269,0.194,0.175,0.076
Ceddanne Rafaela,BOS,93,321,55,87,14,48,13,16,66,0.271,0.313,0.48,0.793,0.341,114,0.302,0.209,0.191,0.046
Kyle Stowers,MIA,92,309,48,92,21,59,4,34,99,0.298,0.371,0.563,0.935,0.397,157,0.37,0.265,0.282,0.09699999999999999
Manny Machado,SDP,97,372,58,108,18,60,8,36,69,0.29,0.349,0.495,0.843,0.361,137,0.31,0.204,0.16699999999999998,0.087
Geraldo Perdomo,ARI,97,355,53,95,10,67,13,58,51,0.268,0.371,0.42,0.791,0.348,124,0.281,0.152,0.11800000000000001,0.135
Juan Soto,NYM,97,344,71,90,24,57,11,77,80,0.262,0.394,0.515,0.909,0.387,156,0.27,0.253,0.187,0.18
CJ Abrams,WSN,83,331,62,95,13,35,20,24,60,0.287,0.351,0.489,0.841,0.363,135,0.315,0.202,0.163,0.065
Alejandro Kirk,TOR,82,291,26,89,7,45,0,27,30,0.306,0.362,0.409,0.771,0.337,117,0.318,0.103,0.09300000000000001,0.084
Andy Pages,LAD,94,354,45,100,17,59,8,18,79,0.282,0.323,0.475,0.797,0.343,122,0.317,0.192,0.207,0.047
Kyle Schwarber,PHI,97,355,68,88,31,70,9,67,114,0.248,0.379,0.552,0.931,0.396,156,0.271,0.304,0.265,0.156
Zach McKinstry,DET,89,290,49,82,8,31,15,35,72,0.283,0.363,0.469,0.832,0.359,132,0.346,0.186,0.21600000000000003,0.105
Randy Arozarena,SEA,95,353,54,89,18,49,16,44,113,0.252,0.358,0.47,0.828,0.36,139,0.316,0.218,0.272,0.106
Cody Bellinger,NYY,89,344,54,97,16,55,9,29,54,0.282,0.335,0.491,0.826,0.353,128,0.29,0.209,0.142,0.077
Pete Alonso,NYM,98,365,53,101,21,77,1,46,97,0.277,0.372,0.526,0.898,0.383,153,0.319,0.249,0.22699999999999998,0.10800000000000001
Eugenio Suarez,ARI,96,351,59,88,31,78,1,26,105,0.251,0.322,0.567,0.888,0.375,142,0.259,0.316,0.266,0.066
Riley Greene,DET,96,370,53,104,24,78,1,27,127,0.281,0.332,0.538,0.87,0.37,140,0.362,0.257,0.317,0.067
Matt Olson,ATL,96,362,53,95,17,62,0,57,100,0.262,0.363,0.47,0.833,0.361,133,0.315,0.207,0.23600000000000002,0.134
Isaac Paredes,HOU,93,349,51,90,19,50,0,49,67,0.258,0.359,0.47,0.829,0.362,134,0.268,0.212,0.165,0.12
Julio Rodriguez,SEA,96,395,64,99,14,50,17,30,95,0.251,0.315,0.415,0.73,0.319,111,0.295,0.165,0.218,0.069
Jacob Wilson,ATH,88,344,44,112,9,42,5,20,28,0.326,0.369,0.453,0.822,0.359,128,0.334,0.128,0.076,0.054000000000000006
Michael Busch,CHC,91,303,46,87,19,59,4,36,79,0.287,0.374,0.545,0.918,0.394,158,0.332,0.257,0.22899999999999998,0.10400000000000001
Maikel Garcia,KCR,96,355,41,106,8,40,18,31,53,0.299,0.355,0.454,0.808,0.352,123,0.331,0.155,0.136,0.079
J.P. Crawford,SEA,94,349,45,101,7,38,5,55,70,0.289,0.39,0.39,0.779,0.35,132,0.344,0.1,0.16899999999999998,0.133
Sal Frelick,MIL,93,344,46,101,7,39,17,26,49,0.294,0.354,0.404,0.758,0.335,117,0.324,0.11,0.127,0.068
Masyn Winn,STL,86,329,56,85,7,32,6,27,65,0.258,0.319,0.38,0.698,0.308,99,0.301,0.122,0.18,0.075
Gunnar Henderson,BAL,89,340,50,96,11,31,10,33,89,0.282,0.349,0.465,0.814,0.35,127,0.354,0.182,0.237,0.08800000000000001
Brendan Donovan,STL,90,348,51,103,8,36,3,34,52,0.296,0.367,0.428,0.796,0.348,126,0.326,0.132,0.132,0.087
Jake Meyers,HOU,89,289,47,89,3,21,14,27,58,0.308,0.369,0.405,0.774,0.342,120,0.374,0.097,0.18,0.084
Xander Bogaerts,SDP,95,336,40,90,5,31,16,41,62,0.268,0.345,0.372,0.717,0.316,106,0.31,0.104,0.161,0.107
Brent Rooker,ATH,99,384,62,108,21,56,3,43,92,0.281,0.357,0.518,0.875,0.375,140,0.321,0.237,0.214,0.1
Matt Chapman,SFG,74,266,42,62,12,31,7,42,74,0.233,0.344,0.417,0.761,0.338,120,0.278,0.184,0.23800000000000002,0.135
Nico Hoerner,CHC,93,354,52,100,3,40,16,21,29,0.282,0.33,0.376,0.706,0.312,101,0.299,0.093,0.076,0.055
Seiya Suzuki,CHC,93,373,54,99,26,80,2,33,109,0.265,0.321,0.555,0.876,0.369,141,0.3,0.29,0.265,0.08
Max Muncy,LAD,81,256,39,64,13,55,4,51,69,0.25,0.375,0.457,0.832,0.362,135,0.285,0.207,0.21899999999999997,0.162
Junior Caminero,TBR,92,362,57,93,25,64,5,21,78,0.257,0.296,0.517,0.812,0.343,121,0.258,0.26,0.201,0.054000000000000006
Ryan O'Hearn,BAL,83,276,38,78,11,34,3,40,53,0.283,0.381,0.453,0.834,0.364,136,0.313,0.17,0.16399999999999998,0.124
Gleyber Torres,DET,85,303,51,84,9,45,4,51,48,0.277,0.383,0.419,0.802,0.355,130,0.299,0.142,0.132,0.14
Brandon Nimmo,NYM,94,351,48,92,18,53,11,30,74,0.262,0.326,0.467,0.793,0.342,125,0.284,0.205,0.191,0.078
