Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.329,40,92,0.444,0.68,8,0.455,198,0.389,0.351,0.255,0.16899999999999998
Cal Raleigh,SEA,0.247,47,102,0.355,0.588,14,0.391,160,0.251,0.341,0.272,0.136
Bobby Witt Jr.,KCR,0.295,18,69,0.353,0.501,34,0.361,129,0.338,0.206,0.191,0.078
Shohei Ohtani,LAD,0.285,44,83,0.393,0.625,17,0.42,174,0.322,0.34,0.262,0.14800000000000002
Trea Turner,PHI,0.303,13,59,0.357,0.451,31,0.351,124,0.348,0.148,0.16399999999999998,0.07
Pete Crow-Armstrong,CHC,0.256,27,80,0.297,0.51,30,0.342,122,0.29,0.254,0.244,0.044000000000000004
Jose Ramirez,CLE,0.291,26,66,0.366,0.517,36,0.367,137,0.281,0.226,0.10400000000000001,0.099
Fernando Tatis Jr.,SDP,0.268,17,52,0.372,0.435,25,0.352,130,0.307,0.167,0.18100000000000002,0.132
Corbin Carroll,ARI,0.253,27,65,0.328,0.556,17,0.372,139,0.286,0.303,0.242,0.08800000000000001
Geraldo Perdomo,ARI,0.287,13,81,0.388,0.439,22,0.362,132,0.3,0.152,0.106,0.13699999999999998
Maikel Garcia,KCR,0.299,12,57,0.362,0.466,22,0.358,127,0.328,0.167,0.134,0.09
Francisco Lindor,NYM,0.262,25,72,0.329,0.461,20,0.34,122,0.283,0.199,0.19,0.07400000000000001
Ketel Marte,ARI,0.293,23,56,0.394,0.546,3,0.4,158,0.295,0.254,0.139,0.132
Julio Rodriguez,SEA,0.262,25,71,0.316,0.466,23,0.336,122,0.302,0.203,0.226,0.055999999999999994
Kyle Schwarber,PHI,0.253,45,109,0.373,0.584,10,0.403,160,0.27,0.331,0.26899999999999996,0.145
Jeremy Pena,HOU,0.306,13,45,0.366,0.474,17,0.363,134,0.344,0.168,0.16399999999999998,0.062
Will Smith,LAD,0.303,15,58,0.41,0.502,2,0.394,156,0.352,0.198,0.19699999999999998,0.147
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Elly De La Cruz,CIN,0.273,19,76,0.347,0.455,31,0.343,115,0.344,0.182,0.253,0.099
Byron Buxton,MIN,0.27,25,61,0.332,0.538,18,0.366,135,0.312,0.268,0.268,0.079
Gunnar Henderson,BAL,0.28,15,57,0.351,0.467,16,0.351,126,0.339,0.187,0.22,0.09300000000000001
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.498,5,0.385,149,0.319,0.2,0.141,0.13
Manny Machado,SDP,0.294,21,77,0.354,0.486,12,0.361,136,0.325,0.192,0.175,0.084
Kyle Tucker,CHC,0.258,18,62,0.372,0.443,25,0.354,130,0.275,0.185,0.14300000000000002,0.149
Corey Seager,TEX,0.269,19,46,0.37,0.479,3,0.361,134,0.298,0.211,0.19399999999999998,0.128
Cody Bellinger,NYY,0.272,24,75,0.325,0.496,11,0.349,125,0.268,0.224,0.13,0.076
Juan Soto,NYM,0.247,31,72,0.381,0.491,20,0.372,144,0.255,0.244,0.19899999999999998,0.17800000000000002
Masyn Winn,STL,0.26,9,46,0.315,0.38,9,0.306,97,0.304,0.12,0.17800000000000002,0.064
Alejandro Kirk,TOR,0.293,10,56,0.352,0.412,1,0.333,114,0.306,0.119,0.105,0.085
Jazz Chisholm Jr.,NYY,0.239,22,58,0.335,0.472,22,0.349,125,0.283,0.233,0.281,0.11599999999999999
Matt Olson,ATL,0.27,19,72,0.367,0.457,1,0.359,130,0.335,0.186,0.239,0.132
Andy Pages,LAD,0.274,21,71,0.321,0.46,13,0.336,116,0.311,0.186,0.21100000000000002,0.054000000000000006
Sal Frelick,MIL,0.3,9,49,0.364,0.415,18,0.344,122,0.331,0.116,0.13,0.079
Nico Hoerner,CHC,0.289,4,49,0.338,0.371,23,0.313,102,0.306,0.082,0.076,0.06
Junior Caminero,TBR,0.255,35,86,0.298,0.519,6,0.344,120,0.253,0.264,0.205,0.057999999999999996
Shea Langeliers,ATH,0.268,28,60,0.314,0.553,5,0.364,132,0.261,0.285,0.185,0.067
James Wood,WSN,0.256,26,83,0.352,0.478,15,0.355,128,0.336,0.222,0.305,0.126
Randy Arozarena,SEA,0.241,23,59,0.341,0.443,24,0.342,126,0.295,0.203,0.265,0.096
Jarren Duran,BOS,0.261,12,69,0.335,0.449,20,0.339,113,0.331,0.188,0.23800000000000002,0.084
Brice Turang,MIL,0.286,14,64,0.35,0.429,21,0.339,119,0.348,0.143,0.221,0.091
Ceddanne Rafaela,BOS,0.25,14,52,0.295,0.422,19,0.31,93,0.283,0.172,0.19,0.048
Eugenio Suarez,- - -,0.237,39,97,0.305,0.542,3,0.357,130,0.248,0.305,0.282,0.062
CJ Abrams,WSN,0.265,16,50,0.329,0.454,26,0.339,117,0.296,0.188,0.174,0.062
William Contreras,MIL,0.256,13,61,0.355,0.388,6,0.328,111,0.295,0.132,0.17800000000000002,0.132
Xander Bogaerts,SDP,0.264,10,45,0.333,0.392,19,0.316,105,0.298,0.128,0.16,0.092
George Springer,TOR,0.292,21,62,0.384,0.521,13,0.388,152,0.32,0.229,0.18600000000000003,0.121
Pete Alonso,NYM,0.264,28,101,0.347,0.51,1,0.364,139,0.295,0.247,0.22699999999999998,0.095
Bo Bichette,TOR,0.298,16,82,0.34,0.465,4,0.347,123,0.329,0.167,0.149,0.057
Zach Neto,LAA,0.267,21,55,0.325,0.479,22,0.343,119,0.323,0.212,0.257,0.057
Matt Chapman,SFG,0.229,16,44,0.337,0.423,7,0.335,118,0.274,0.194,0.248,0.129
Ryan O'Hearn,- - -,0.279,16,53,0.375,0.468,3,0.364,136,0.312,0.189,0.185,0.12
Taylor Ward,LAA,0.235,29,92,0.319,0.487,3,0.344,120,0.269,0.252,0.267,0.109
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Zach McKinstry,DET,0.259,10,40,0.337,0.438,19,0.335,115,0.319,0.178,0.22399999999999998,0.098
Wyatt Langford,TEX,0.242,18,51,0.333,0.421,16,0.328,111,0.304,0.18,0.27399999999999997,0.115
Freddie Freeman,LAD,0.303,16,72,0.376,0.493,4,0.372,140,0.367,0.19,0.22,0.098
Bryce Harper,PHI,0.263,21,60,0.361,0.505,11,0.37,137,0.292,0.242,0.20800000000000002,0.12300000000000001
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
Riley Greene,DET,0.263,29,92,0.317,0.503,1,0.349,125,0.336,0.24,0.315,0.071
Brandon Nimmo,NYM,0.254,20,68,0.325,0.436,12,0.331,115,0.291,0.182,0.215,0.084
Hunter Goodman,COL,0.277,25,73,0.327,0.525,1,0.363,121,0.326,0.248,0.257,0.061
Steven Kwan,CLE,0.277,10,40,0.336,0.39,14,0.319,104,0.286,0.113,0.086,0.081
Rafael Devers,- - -,0.254,25,83,0.374,0.468,1,0.363,133,0.312,0.214,0.257,0.153
Tyler Soderstrom,ATH,0.273,23,74,0.347,0.483,6,0.357,127,0.316,0.21,0.222,0.094
Willson Contreras,STL,0.261,18,68,0.345,0.455,4,0.348,125,0.322,0.193,0.251,0.079
Ernie Clement,TOR,0.279,9,40,0.313,0.404,3,0.31,98,0.298,0.125,0.113,0.044000000000000004
