Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,369,0.356,30,67,0.458,0.722,6,0.484,221,0.432,0.366,0.25745257452574527,0.15176151761517614
Cal Raleigh,SEA,363,0.275,32,69,0.388,0.643,9,0.428,187,0.281,0.368,0.24517906336088155,0.14600550964187328
Shohei Ohtani,LAD,385,0.287,29,54,0.388,0.633,11,0.423,174,0.322,0.34600000000000003,0.2545454545454545,0.13506493506493505
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.378,146,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
Kyle Tucker,CHC,370,0.291,17,52,0.395,0.537,20,0.396,157,0.301,0.24600000000000005,0.14054054054054055,0.14324324324324325
Bobby Witt Jr.,KCR,364,0.285,11,43,0.338,0.491,21,0.35,123,0.323,0.20600000000000002,0.18406593406593408,0.07142857142857142
Pete Crow-Armstrong,CHC,349,0.262,21,62,0.299,0.537,25,0.355,129,0.287,0.275,0.23782234957020057,0.04297994269340974
James Wood,WSN,373,0.283,22,64,0.386,0.552,11,0.396,156,0.342,0.2690000000000001,0.2680965147453083,0.1447721179624665
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,148,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Trea Turner,PHI,368,0.296,11,38,0.348,0.456,20,0.351,122,0.332,0.16000000000000003,0.16576086956521738,0.06521739130434782
Byron Buxton,MIN,288,0.281,19,51,0.347,0.566,15,0.386,151,0.321,0.2849999999999999,0.2638888888888889,0.08680555555555555
Fernando Tatis Jr.,SDP,355,0.258,15,37,0.349,0.445,17,0.347,125,0.277,0.187,0.17183098591549295,0.11267605633802817
Jose Ramirez,CLE,334,0.309,13,38,0.371,0.5,21,0.371,142,0.313,0.191,0.11077844311377245,0.08383233532934131
Riley Greene,DET,348,0.296,19,63,0.348,0.539,1,0.38,149,0.382,0.24300000000000005,0.2988505747126437,0.06896551724137931
Alejandro Kirk,TOR,271,0.315,7,39,0.362,0.435,0,0.348,126,0.327,0.12,0.0996309963099631,0.07011070110701106
Francisco Lindor,NYM,376,0.258,16,43,0.327,0.447,13,0.335,118,0.273,0.189,0.17819148936170212,0.07712765957446809
Will Smith,LAD,264,0.318,10,43,0.413,0.532,2,0.407,163,0.361,0.21400000000000002,0.1856060606060606,0.14015151515151514
Andy Pages,LAD,329,0.291,16,55,0.328,0.5,6,0.356,129,0.319,0.20900000000000002,0.19756838905775076,0.0425531914893617
Elly De La Cruz,CIN,361,0.28,18,57,0.355,0.506,22,0.368,131,0.336,0.22599999999999998,0.2520775623268698,0.0997229916897507
Jacob Wilson,ATH,338,0.338,9,40,0.38,0.471,5,0.372,138,0.345,0.13299999999999995,0.07396449704142012,0.05621301775147929
CJ Abrams,WSN,319,0.287,12,31,0.355,0.497,17,0.369,137,0.32,0.21000000000000002,0.1755485893416928,0.06583072100313479
Ernie Clement,TOR,288,0.304,4,21,0.347,0.414,3,0.333,115,0.329,0.10999999999999999,0.1076388888888889,0.0625
Julio Rodriguez,SEA,372,0.259,11,42,0.317,0.409,13,0.318,111,0.303,0.14999999999999997,0.20698924731182797,0.05913978494623656
Pete Alonso,NYM,371,0.291,18,65,0.38,0.541,1,0.395,159,0.342,0.25000000000000006,0.23180592991913745,0.09973045822102426
Maikel Garcia,KCR,336,0.314,8,38,0.371,0.485,18,0.372,138,0.348,0.17099999999999999,0.13988095238095238,0.08333333333333333
Matt Olson,ATL,365,0.261,15,52,0.364,0.474,0,0.365,133,0.308,0.21299999999999997,0.23013698630136986,0.136986301369863
Zach McKinstry,DET,287,0.283,5,26,0.357,0.45,10,0.35,127,0.357,0.16700000000000004,0.2264808362369338,0.10104529616724739
