Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.339,37,86,0.447,0.697,6,0.463,203,0.408,0.357,0.262,0.16
Cal Raleigh,SEA,0.248,44,96,0.356,0.59,13,0.392,160,0.249,0.343,0.271,0.136
Pete Crow-Armstrong,CHC,0.258,27,78,0.295,0.528,29,0.348,127,0.288,0.27,0.243,0.042
Shohei Ohtani,LAD,0.282,40,76,0.385,0.614,16,0.413,170,0.321,0.333,0.267,0.139
Bobby Witt Jr.,KCR,0.284,17,65,0.34,0.493,30,0.352,122,0.325,0.21,0.196,0.075
Jose Ramirez,CLE,0.293,23,61,0.368,0.515,33,0.368,138,0.284,0.222,0.10300000000000001,0.099
Trea Turner,PHI,0.284,12,51,0.34,0.43,26,0.335,114,0.327,0.146,0.17300000000000001,0.07200000000000001
Corbin Carroll,ARI,0.248,25,59,0.323,0.555,14,0.369,138,0.276,0.308,0.245,0.087
Jeremy Pena,HOU,0.32,12,44,0.377,0.494,15,0.377,144,0.359,0.174,0.161,0.057999999999999996
Fernando Tatis Jr.,SDP,0.259,17,45,0.361,0.429,24,0.344,125,0.295,0.17,0.187,0.128
Kyle Tucker,CHC,0.272,18,62,0.386,0.471,24,0.369,142,0.289,0.2,0.14400000000000002,0.152
Geraldo Perdomo,ARI,0.283,11,75,0.383,0.429,17,0.357,129,0.296,0.146,0.107,0.135
Kyle Schwarber,PHI,0.253,41,95,0.378,0.584,10,0.406,163,0.271,0.33,0.267,0.149
Byron Buxton,MIN,0.282,23,59,0.343,0.561,17,0.38,145,0.327,0.279,0.266,0.08
Elly De La Cruz,CIN,0.276,19,73,0.351,0.468,30,0.35,121,0.345,0.192,0.252,0.10099999999999999
Ketel Marte,ARI,0.288,21,45,0.391,0.54,2,0.396,157,0.289,0.252,0.147,0.136
Kyle Stowers,MIA,0.286,25,71,0.364,0.544,5,0.385,148,0.354,0.258,0.281,0.1
Manny Machado,SDP,0.297,20,72,0.359,0.494,10,0.366,141,0.327,0.197,0.17300000000000001,0.086
Maikel Garcia,KCR,0.299,11,51,0.356,0.47,21,0.357,126,0.324,0.171,0.126,0.08199999999999999
Julio Rodriguez,SEA,0.253,23,65,0.307,0.447,22,0.325,114,0.287,0.193,0.222,0.059000000000000004
Masyn Winn,STL,0.269,8,42,0.323,0.392,7,0.314,103,0.313,0.122,0.174,0.066
Gunnar Henderson,BAL,0.284,14,50,0.354,0.466,15,0.353,127,0.347,0.182,0.223,0.092
Vladimir Guerrero Jr.,TOR,0.294,18,62,0.395,0.478,5,0.378,144,0.315,0.185,0.138,0.134
Juan Soto,NYM,0.249,28,66,0.381,0.493,17,0.372,145,0.257,0.244,0.19399999999999998,0.174
Randy Arozarena,SEA,0.25,23,57,0.351,0.47,21,0.356,135,0.306,0.22,0.266,0.099
Cody Bellinger,NYY,0.274,20,66,0.328,0.489,10,0.349,124,0.275,0.215,0.128,0.076
Francisco Lindor,NYM,0.245,21,64,0.313,0.427,17,0.32,109,0.267,0.182,0.198,0.073
Corey Seager,TEX,0.266,17,41,0.369,0.473,1,0.359,132,0.301,0.207,0.209,0.131
Alejandro Kirk,TOR,0.298,7,47,0.358,0.401,0,0.332,113,0.313,0.102,0.095,0.087
Ceddanne Rafaela,BOS,0.262,14,51,0.303,0.444,16,0.322,101,0.293,0.182,0.18600000000000003,0.045
Xander Bogaerts,SDP,0.271,10,42,0.34,0.403,18,0.324,112,0.303,0.132,0.155,0.098
Andy Pages,LAD,0.278,19,68,0.317,0.464,10,0.336,116,0.313,0.186,0.20800000000000002,0.044000000000000004
Matt Chapman,SFG,0.229,16,44,0.338,0.429,7,0.337,120,0.271,0.199,0.244,0.13
James Wood,WSN,0.256,25,73,0.357,0.484,14,0.359,132,0.328,0.228,0.297,0.131
Jarren Duran,BOS,0.266,12,65,0.332,0.461,18,0.342,114,0.337,0.195,0.24,0.078
