Team,W,L,PCT,GB,Division,League
Toronto Blue Jays,78,56,0.582,5.0,Unknown,Unknown
Boston Red Sox,74,60,0.552,9.0,Unknown,Unknown
New York Yankees,73,60,0.549,9.5,Unknown,Unknown
Tampa Bay Rays,64,69,0.481,18.5,Unknown,Unknown
Baltimore Orioles,60,73,0.451,22.5,Unknown,Unknown
Detroit Tigers,78,56,0.582,5.0,Unknown,Unknown
Kansas City Royals,69,65,0.515,14.0,Unknown,Unknown
Cleveland Guardians,66,66,0.5,16.0,Unknown,Unknown
Minnesota Twins,60,73,0.451,22.5,Unknown,Unknown
Chicago White Sox,48,85,0.361,34.5,Unknown,Unknown
Houston Astros,73,60,0.549,9.5,Unknown,Unknown
Seattle Mariners,72,62,0.537,11.0,Unknown,Unknown
Texas Rangers,68,67,0.504,15.5,Unknown,Unknown
Los Angeles Angels,62,71,0.466,20.5,Unknown,Unknown
Athletics,62,72,0.463,21.0,Unknown,Unknown
Philadelphia Phillies,76,57,0.571,6.5,Unknown,Unknown
New York Mets,72,61,0.541,10.5,Unknown,Unknown
Miami Marlins,62,71,0.466,20.5,Unknown,Unknown
Atlanta Braves,61,72,0.459,21.5,Unknown,Unknown
Washington Nationals,53,80,0.398,29.5,Unknown,Unknown
Milwaukee Brewers,83,51,0.619,-,Unknown,Unknown
Chicago Cubs,76,56,0.576,6.0,Unknown,Unknown
Cincinnati Reds,68,66,0.507,15.0,Unknown,Unknown
St. Louis Cardinals,65,69,0.485,18.0,Unknown,Unknown
Pittsburgh Pirates,59,75,0.44,24.0,Unknown,Unknown
Los Angeles Dodgers,77,57,0.575,6.0,Unknown,Unknown
San Diego Padres,75,59,0.56,8.0,Unknown,Unknown
Arizona Diamondbacks,65,69,0.485,18.0,Unknown,Unknown
San Francisco Giants,64,68,0.485,18.0,Unknown,Unknown
Colorado Rockies,38,95,0.286,44.5,Unknown,Unknown
