Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,11,3,2.35,187,21,0.86,8.9,0.74,2.13
Garrett Crochet,BOS,13,5,2.48,188,40,1.1,4.7,0.77,2.54
Paul Skenes,PIT,7,9,2.13,166,36,0.96,4.61,0.55,2.51
Cristopher Sanchez,PHI,11,4,2.45,157,36,1.09,4.36,0.6,2.73
Hunter Brown,HOU,10,5,2.45,164,43,1.0,3.81,0.76,2.92
Zack Wheeler,PHI,10,5,2.68,189,31,0.93,6.1,1.12,2.92
Logan Webb,SFG,10,9,3.34,168,35,1.26,4.8,0.64,2.62
Framber Valdez,HOU,11,5,2.97,145,49,1.16,2.96,0.49,2.97
Joe Ryan,MIN,12,5,2.72,153,27,0.92,5.67,1.04,3.23
Matthew Boyd,CHC,11,5,2.45,121,29,1.05,4.17,0.73,3.13
Jesus Luzardo,PHI,11,5,4.2,151,45,1.35,3.36,0.81,3.05
Yoshinobu Yamamoto,LAD,10,8,2.84,145,44,1.09,3.3,0.78,3.06
Nick Pivetta,SDP,12,4,2.87,144,36,0.95,4.0,0.96,3.26
Max Fried,NYY,12,5,2.94,135,36,1.1,3.75,0.69,3.17
Sonny Gray,STL,11,5,4.06,148,22,1.15,6.73,1.13,3.11
Andrew Abbott,CIN,8,3,2.41,105,35,1.11,3.0,0.95,3.66
Jose Soriano,LAA,8,9,3.84,125,63,1.37,1.98,0.5,3.5
Michael Wacha,KCR,7,9,3.35,101,37,1.15,2.73,0.79,3.65
Jacob deGrom,TEX,10,5,2.86,143,30,0.95,4.77,1.26,3.53
Dylan Cease,SDP,5,10,4.52,169,50,1.28,3.38,1.18,3.44
MacKenzie Gore,WSN,5,12,4.09,158,47,1.33,3.36,1.16,3.55
Freddy Peralta,MIL,14,5,2.9,148,50,1.12,2.96,1.05,3.74
Bryan Woo,SEA,10,6,3.08,145,26,0.95,5.58,1.36,3.68
Mitch Keller,PIT,5,11,4.13,112,39,1.27,2.87,0.83,3.66
David Peterson,NYM,7,5,3.3,117,50,1.28,2.34,0.59,3.49
Nick Lodolo,CIN,8,6,3.05,124,24,1.03,5.17,1.18,3.71
Yusei Kikuchi,LAA,6,7,3.37,146,58,1.42,2.52,1.1,3.9
Merrill Kelly,- - -,9,7,3.36,136,44,1.09,3.09,1.06,3.71
Luis Castillo,SEA,8,6,3.19,120,37,1.19,3.24,0.98,3.72
Kevin Gausman,TOR,8,9,3.79,138,40,1.05,3.45,1.2,3.81
Carlos Rodon,NYY,12,7,3.25,164,58,1.06,2.83,1.17,3.85
Dean Kremer,BAL,8,9,4.17,116,36,1.25,3.22,1.15,3.92
Brady Singer,CIN,10,9,4.31,119,48,1.31,2.48,1.01,4.01
Nick Martinez,CIN,10,9,4.49,97,33,1.19,2.94,1.12,4.12
Luis Severino,ATH,6,11,4.82,103,44,1.34,2.34,0.86,4.09
Robbie Ray,SFG,9,6,2.98,152,56,1.14,2.71,1.03,3.73
Will Warren,NYY,7,5,4.34,140,54,1.37,2.59,1.03,3.68
Chris Bassitt,TOR,11,6,4.17,128,35,1.32,3.66,1.35,4.17
Jack Flaherty,DET,6,12,4.76,153,49,1.31,3.12,1.44,3.99
Shane Baz,TBR,8,9,4.93,140,50,1.33,2.8,1.4,4.33
Jose Berrios,TOR,9,4,3.74,119,49,1.26,2.43,1.27,4.43
Clay Holmes,NYM,9,6,3.71,101,52,1.35,1.94,0.86,4.2
Chris Paddack,- - -,4,10,4.76,92,28,1.22,3.29,1.42,4.45
Jeffrey Springs,ATH,10,8,4.06,109,41,1.15,2.66,1.53,4.66
Zack Littell,- - -,9,8,3.6,100,23,1.12,4.35,1.68,4.73
Ryan Pepiot,TBR,8,9,3.86,138,49,1.18,2.82,1.64,4.69
Tanner Bibee,CLE,8,9,4.6,119,39,1.27,3.05,1.51,4.53
Mitchell Parker,WSN,7,13,5.55,84,49,1.46,1.71,1.2,4.74
Gavin Williams,CLE,7,4,3.38,127,67,1.31,1.9,1.27,4.57
Brandon Pfaadt,ARI,12,7,5.03,104,28,1.35,3.71,1.42,4.42
Seth Lugo,KCR,8,6,3.77,110,47,1.24,2.34,1.58,4.88
Andre Pallante,STL,6,9,4.95,80,41,1.37,1.95,1.16,4.52
Sandy Alcantara,MIA,6,11,6.55,90,47,1.45,1.91,1.12,4.55
Tomoyuki Sugano,BAL,9,5,4.24,80,31,1.31,2.58,1.56,4.96
Zac Gallen,ARI,9,12,5.31,131,52,1.35,2.52,1.5,4.63
Tyler Anderson,LAA,2,7,4.63,97,47,1.4,2.06,1.91,5.51
Jake Irvin,WSN,8,7,5.14,94,47,1.38,2.0,1.74,5.39
