Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.339,37,85,0.446,0.702,6,0.464,203,0.408,0.363,0.264,0.159
Cal Raleigh,SEA,0.248,42,90,0.356,0.583,13,0.389,158,0.252,0.335,0.27,0.136
Pete Crow-Armstrong,CHC,0.264,27,78,0.301,0.539,29,0.354,131,0.296,0.275,0.247,0.043
Bobby Witt Jr.,KCR,0.287,16,64,0.344,0.494,30,0.354,124,0.33,0.207,0.195,0.076
Shohei Ohtani,LAD,0.276,39,75,0.381,0.606,16,0.409,167,0.313,0.33,0.26899999999999996,0.14
Jose Ramirez,CLE,0.296,23,61,0.371,0.52,32,0.371,140,0.287,0.224,0.10300000000000001,0.099
Fernando Tatis Jr.,SDP,0.261,17,45,0.364,0.434,22,0.347,128,0.294,0.174,0.18100000000000002,0.131
Trea Turner,PHI,0.284,11,46,0.339,0.425,25,0.332,112,0.328,0.14,0.17,0.069
Jeremy Pena,HOU,0.324,11,43,0.379,0.494,15,0.378,144,0.364,0.17,0.157,0.057
Corbin Carroll,ARI,0.247,23,56,0.323,0.546,14,0.365,135,0.28,0.298,0.245,0.086
Kyle Tucker,CHC,0.271,18,61,0.384,0.474,23,0.37,142,0.288,0.203,0.14400000000000002,0.152
Geraldo Perdomo,ARI,0.278,11,75,0.378,0.424,17,0.353,126,0.29,0.146,0.107,0.133
Kyle Schwarber,PHI,0.256,40,94,0.379,0.585,10,0.407,164,0.276,0.329,0.26899999999999996,0.14800000000000002
Kyle Stowers,MIA,0.293,25,71,0.369,0.559,5,0.392,153,0.362,0.266,0.281,0.099
Byron Buxton,MIN,0.282,23,59,0.343,0.561,17,0.38,145,0.327,0.279,0.266,0.08
Elly De La Cruz,CIN,0.279,19,73,0.355,0.474,30,0.353,123,0.349,0.196,0.253,0.102
Manny Machado,SDP,0.3,20,72,0.359,0.5,10,0.368,142,0.33,0.2,0.17600000000000002,0.083
Ketel Marte,ARI,0.284,21,44,0.387,0.539,2,0.394,155,0.283,0.255,0.14800000000000002,0.134
Maikel Garcia,KCR,0.298,11,50,0.356,0.469,20,0.356,125,0.322,0.171,0.126,0.084
Masyn Winn,STL,0.27,8,42,0.325,0.392,7,0.315,104,0.313,0.122,0.172,0.067
