Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,99,364,89,128,36,82,6,71,115,0.352,0.458,0.725,1.184,0.479,215,0.424,0.374,0.26,0.16
Cal Raleigh,SEA,97,360,67,92,38,83,11,63,107,0.256,0.371,0.617,0.988,0.407,171,0.248,0.361,0.248,0.146
Pete Crow-Armstrong,CHC,98,385,68,104,26,72,28,18,96,0.27,0.306,0.556,0.861,0.364,137,0.293,0.286,0.23199999999999998,0.044000000000000004
Bobby Witt Jr.,KCR,100,394,59,114,14,54,26,31,81,0.289,0.341,0.495,0.836,0.353,124,0.328,0.206,0.187,0.071
Shohei Ohtani,LAD,98,382,93,105,34,65,13,63,112,0.275,0.38,0.61,0.99,0.41,168,0.298,0.335,0.248,0.14
Byron Buxton,MIN,80,308,66,89,22,57,17,27,90,0.289,0.35,0.575,0.925,0.389,152,0.335,0.286,0.262,0.079
Corbin Carroll,ARI,83,335,65,84,21,48,12,32,96,0.251,0.328,0.564,0.892,0.376,142,0.288,0.313,0.256,0.085
Kyle Tucker,CHC,98,366,70,102,18,57,22,62,61,0.279,0.383,0.5,0.883,0.377,147,0.29,0.221,0.14,0.14300000000000002
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Fernando Tatis Jr.,SDP,97,367,67,97,16,42,22,54,76,0.264,0.364,0.441,0.805,0.349,129,0.293,0.177,0.17800000000000002,0.127
Jose Ramirez,CLE,95,356,57,105,19,52,29,37,45,0.295,0.365,0.517,0.882,0.369,139,0.29,0.222,0.11199999999999999,0.092
Trea Turner,PHI,97,399,64,115,11,41,25,31,72,0.288,0.344,0.429,0.773,0.337,115,0.327,0.14,0.165,0.071
James Wood,WSN,98,367,59,100,24,69,13,60,121,0.272,0.375,0.52,0.895,0.38,147,0.338,0.248,0.28,0.139
Will Smith,LAD,77,257,47,83,12,46,2,45,55,0.323,0.423,0.533,0.956,0.411,169,0.364,0.21,0.177,0.145
Elly De La Cruz,CIN,100,381,72,107,18,65,25,44,104,0.281,0.357,0.486,0.843,0.359,127,0.342,0.205,0.243,0.10300000000000001
Francisco Lindor,NYM,98,395,63,99,19,54,15,33,80,0.251,0.32,0.441,0.76,0.328,115,0.265,0.19,0.18,0.07400000000000001
Kyle Stowers,MIA,94,315,48,93,21,59,4,36,100,0.295,0.372,0.559,0.93,0.395,155,0.365,0.263,0.27899999999999997,0.1
Eugenio Suarez,ARI,98,358,63,92,35,85,1,27,105,0.257,0.328,0.601,0.928,0.389,152,0.256,0.344,0.261,0.067
Geraldo Perdomo,ARI,99,364,55,99,10,72,15,58,51,0.272,0.373,0.42,0.793,0.349,124,0.285,0.148,0.11599999999999999,0.132
Ceddanne Rafaela,BOS,95,329,56,88,14,48,13,16,66,0.267,0.309,0.471,0.78,0.335,110,0.296,0.204,0.187,0.045
Manny Machado,SDP,99,378,60,109,18,60,8,39,71,0.288,0.351,0.492,0.843,0.361,137,0.31,0.204,0.168,0.092
Kyle Schwarber,PHI,99,363,70,91,32,74,9,68,118,0.251,0.38,0.559,0.94,0.399,158,0.277,0.309,0.26899999999999996,0.155
Alejandro Kirk,TOR,83,294,27,90,7,46,0,28,31,0.306,0.364,0.408,0.772,0.338,117,0.319,0.102,0.095,0.086
Juan Soto,NYM,99,351,72,90,24,57,12,79,83,0.256,0.391,0.504,0.895,0.382,152,0.266,0.248,0.19,0.18100000000000002
CJ Abrams,WSN,85,339,62,96,13,36,20,24,60,0.283,0.347,0.484,0.83,0.358,132,0.31,0.201,0.16,0.064
Cody Bellinger,NYY,91,354,56,99,17,56,9,29,54,0.28,0.332,0.492,0.823,0.351,127,0.285,0.212,0.139,0.075
Zach McKinstry,DET,91,297,49,83,8,32,16,36,72,0.279,0.361,0.461,0.822,0.355,129,0.339,0.182,0.21100000000000002,0.105
Riley Greene,DET,98,378,54,106,25,79,1,27,129,0.28,0.33,0.54,0.87,0.37,140,0.358,0.259,0.315,0.066
Matt Olson,ATL,98,370,54,97,18,64,0,58,102,0.262,0.363,0.473,0.836,0.362,134,0.312,0.211,0.23600000000000002,0.134
Randy Arozarena,SEA,97,361,56,91,18,49,16,45,115,0.252,0.359,0.468,0.827,0.36,138,0.316,0.216,0.27,0.106
Andy Pages,LAD,96,362,46,102,17,59,8,18,81,0.282,0.321,0.472,0.794,0.341,121,0.317,0.191,0.20800000000000002,0.046
Pete Alonso,NYM,100,371,53,102,21,77,1,46,99,0.275,0.37,0.52,0.89,0.38,151,0.318,0.245,0.22899999999999998,0.106
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,134,0.27,0.211,0.16399999999999998,0.12
Jacob Wilson,ATH,90,353,45,114,10,44,5,20,29,0.323,0.365,0.456,0.821,0.358,127,0.33,0.133,0.077,0.053
Masyn Winn,STL,88,337,57,89,7,32,6,27,66,0.264,0.322,0.383,0.705,0.311,101,0.308,0.119,0.17800000000000002,0.073
Michael Busch,CHC,93,309,47,89,20,60,4,36,81,0.288,0.373,0.55,0.923,0.395,159,0.332,0.262,0.231,0.10300000000000001
J.P. Crawford,SEA,96,358,45,103,7,38,5,56,74,0.288,0.388,0.391,0.779,0.349,131,0.345,0.103,0.175,0.132
Julio Rodriguez,SEA,98,405,65,102,14,51,19,30,98,0.252,0.315,0.412,0.727,0.317,109,0.298,0.16,0.22,0.067
Gunnar Henderson,BAL,91,347,50,97,11,34,12,33,91,0.28,0.345,0.461,0.806,0.346,124,0.35,0.182,0.23800000000000002,0.086
Sal Frelick,MIL,93,344,46,101,7,39,17,26,49,0.294,0.354,0.404,0.758,0.335,117,0.324,0.11,0.127,0.068
Xander Bogaerts,SDP,97,344,41,92,6,35,16,42,63,0.267,0.344,0.378,0.722,0.318,107,0.307,0.11,0.16,0.107
Nico Hoerner,CHC,95,361,52,104,3,40,17,21,29,0.288,0.336,0.38,0.715,0.316,104,0.305,0.091,0.07400000000000001,0.054000000000000006
Jake Meyers,HOU,89,289,47,89,3,21,14,27,58,0.308,0.369,0.405,0.774,0.342,120,0.374,0.097,0.18,0.084
Matt Chapman,SFG,76,273,44,64,13,33,7,42,77,0.234,0.343,0.425,0.768,0.339,121,0.279,0.19,0.242,0.132
Gleyber Torres,DET,87,309,52,87,9,45,4,54,48,0.282,0.39,0.421,0.81,0.359,132,0.304,0.139,0.129,0.145
Maikel Garcia,KCR,98,363,41,106,8,41,18,31,54,0.292,0.347,0.444,0.79,0.344,117,0.322,0.152,0.135,0.078
Brendan Donovan,STL,92,354,51,103,8,37,3,35,55,0.291,0.363,0.421,0.784,0.343,123,0.323,0.13,0.138,0.08800000000000001
Brent Rooker,ATH,101,392,63,109,21,56,3,44,97,0.278,0.354,0.513,0.867,0.371,136,0.321,0.235,0.221,0.1
Junior Caminero,TBR,94,371,57,96,25,65,5,21,79,0.259,0.296,0.515,0.811,0.343,121,0.261,0.256,0.198,0.053
Brandon Nimmo,NYM,96,359,49,94,18,54,11,31,77,0.262,0.326,0.462,0.788,0.341,124,0.286,0.201,0.19399999999999998,0.078
Jonathan Aranda,TBR,93,323,48,102,11,50,0,34,89,0.316,0.392,0.48,0.872,0.379,146,0.404,0.164,0.243,0.09300000000000001
