Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,207,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,108,404,72,104,42,88,12,65,123,0.257,0.365,0.609,0.974,0.403,167,0.256,0.351,0.258,0.136
Pete Crow-Armstrong,CHC,107,418,74,114,27,78,29,20,104,0.273,0.309,0.56,0.869,0.366,139,0.299,0.287,0.231,0.044000000000000004
Bobby Witt Jr.,KCR,109,430,67,124,16,63,29,35,92,0.288,0.342,0.498,0.839,0.355,125,0.329,0.209,0.19399999999999998,0.07400000000000001
Shohei Ohtani,LAD,108,424,101,115,38,73,13,69,132,0.271,0.376,0.604,0.979,0.406,165,0.301,0.333,0.265,0.138
Jose Ramirez,CLE,106,400,68,119,21,57,32,44,47,0.298,0.371,0.518,0.889,0.371,140,0.291,0.22,0.10300000000000001,0.09699999999999999
Fernando Tatis Jr.,SDP,108,408,77,109,17,44,22,61,85,0.267,0.368,0.446,0.814,0.353,132,0.3,0.179,0.179,0.128
Kyle Tucker,CHC,107,394,75,108,18,61,23,74,64,0.274,0.389,0.485,0.874,0.375,145,0.286,0.211,0.135,0.156
Trea Turner,PHI,107,444,72,128,11,45,25,33,81,0.288,0.342,0.428,0.77,0.336,114,0.331,0.14,0.168,0.068
Jeremy Pena,HOU,83,322,48,105,11,40,15,20,55,0.326,0.381,0.491,0.872,0.378,144,0.364,0.165,0.155,0.055999999999999994
Will Smith,LAD,86,286,54,93,14,50,2,50,66,0.325,0.424,0.545,0.97,0.415,171,0.374,0.22,0.192,0.145
Corbin Carroll,ARI,93,374,69,92,21,51,13,34,103,0.246,0.319,0.54,0.859,0.362,133,0.282,0.294,0.247,0.08199999999999999
Elly De La Cruz,CIN,111,424,80,120,19,72,29,51,117,0.283,0.362,0.486,0.848,0.361,129,0.349,0.203,0.245,0.107
Kyle Stowers,MIA,103,347,54,103,24,67,5,41,110,0.297,0.376,0.573,0.95,0.402,159,0.366,0.277,0.27699999999999997,0.10300000000000001
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,145,0.327,0.279,0.266,0.08
Manny Machado,SDP,110,424,64,128,20,71,10,39,80,0.302,0.361,0.507,0.868,0.372,145,0.328,0.205,0.17,0.083
Geraldo Perdomo,ARI,109,399,57,110,11,75,15,62,53,0.276,0.373,0.424,0.797,0.35,124,0.287,0.148,0.11,0.129
Kyle Schwarber,PHI,109,403,76,102,37,87,10,74,128,0.253,0.379,0.573,0.953,0.403,161,0.273,0.32,0.264,0.153
Cody Bellinger,NYY,101,394,62,111,20,65,9,32,57,0.282,0.333,0.51,0.843,0.359,132,0.283,0.228,0.132,0.07400000000000001
Ketel Marte,ARI,78,291,55,83,20,42,2,45,50,0.285,0.387,0.543,0.93,0.396,156,0.284,0.258,0.147,0.132
Maikel Garcia,KCR,108,401,50,121,10,47,20,36,57,0.302,0.358,0.471,0.83,0.359,127,0.329,0.17,0.128,0.081
Alejandro Kirk,TOR,88,312,27,95,7,47,0,29,34,0.304,0.361,0.413,0.775,0.339,117,0.32,0.109,0.098,0.084
Masyn Winn,STL,98,373,58,101,7,39,6,27,69,0.271,0.325,0.389,0.714,0.314,103,0.314,0.118,0.16899999999999998,0.066
James Wood,WSN,107,404,62,106,24,71,14,65,139,0.262,0.365,0.493,0.858,0.366,137,0.336,0.23,0.293,0.13699999999999998
CJ Abrams,WSN,95,379,68,106,14,42,26,29,72,0.28,0.348,0.478,0.826,0.357,130,0.312,0.198,0.17,0.069
Gunnar Henderson,BAL,103,389,62,110,12,43,14,40,96,0.283,0.353,0.46,0.814,0.351,126,0.348,0.177,0.222,0.092
Francisco Lindor,NYM,108,439,69,108,20,59,17,34,93,0.246,0.312,0.428,0.74,0.32,109,0.265,0.182,0.19,0.069
Eugenio Suarez,- - -,108,395,66,98,36,87,1,29,119,0.248,0.319,0.572,0.891,0.375,141,0.252,0.324,0.267,0.065
Vladimir Guerrero Jr.,TOR,109,408,72,120,16,58,5,66,66,0.294,0.398,0.471,0.869,0.377,143,0.317,0.176,0.13699999999999998,0.13699999999999998
Randy Arozarena,SEA,109,404,61,100,21,53,20,47,127,0.248,0.35,0.465,0.815,0.354,134,0.305,0.218,0.26899999999999996,0.1
Julio Rodriguez,SEA,110,455,70,114,19,56,20,30,113,0.251,0.307,0.429,0.736,0.319,110,0.292,0.178,0.228,0.061
Juan Soto,NYM,108,383,75,95,25,63,16,84,91,0.248,0.383,0.486,0.868,0.371,144,0.258,0.238,0.192,0.177
Matt Chapman,SFG,86,312,50,73,16,42,7,46,90,0.234,0.342,0.446,0.787,0.345,125,0.277,0.212,0.248,0.127
Ceddanne Rafaela,BOS,105,367,59,95,14,49,14,17,73,0.259,0.297,0.447,0.744,0.32,100,0.287,0.188,0.18600000000000003,0.043
Matt Olson,ATL,109,416,61,109,18,68,0,66,112,0.262,0.363,0.457,0.82,0.357,130,0.315,0.195,0.23,0.136
Andy Pages,LAD,106,399,49,111,19,64,8,20,92,0.278,0.319,0.469,0.787,0.338,118,0.314,0.19,0.214,0.047
Zach McKinstry,DET,99,325,52,87,9,37,16,38,79,0.268,0.348,0.449,0.797,0.345,121,0.324,0.182,0.212,0.102
Jarren Duran,BOS,109,442,62,117,11,60,18,38,121,0.265,0.331,0.462,0.793,0.342,115,0.34,0.197,0.247,0.078
Jackson Chourio,MIL,106,445,71,123,17,67,18,22,95,0.276,0.311,0.474,0.786,0.336,117,0.315,0.198,0.201,0.047
Steven Kwan,CLE,103,407,54,117,9,38,11,40,38,0.287,0.351,0.408,0.759,0.333,114,0.295,0.12,0.083,0.08800000000000001
Xander Bogaerts,SDP,108,390,46,104,7,37,16,44,68,0.267,0.339,0.382,0.721,0.316,106,0.303,0.115,0.154,0.1
Nico Hoerner,CHC,105,399,59,115,4,44,19,24,35,0.288,0.336,0.378,0.714,0.315,104,0.306,0.09,0.081,0.055999999999999994
Riley Greene,DET,108,419,59,115,26,84,1,28,144,0.274,0.322,0.52,0.842,0.359,131,0.355,0.246,0.319,0.062
