Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,351,0.364,28,62,0.464,0.724,6,0.489,223,0.444,0.36,0.2535612535612536,0.150997150997151
Cal Raleigh,SEA,339,0.281,32,69,0.386,0.667,9,0.438,194,0.283,0.386,0.24778761061946902,0.13569321533923304
Jeremy Pena,HOU,339,0.326,11,40,0.382,0.495,15,0.381,150,0.365,0.16899999999999998,0.1592920353982301,0.058997050147492625
Pete Crow-Armstrong,CHC,327,0.273,21,61,0.31,0.563,24,0.37,140,0.3,0.2899999999999999,0.23853211009174313,0.04281345565749235
Shohei Ohtani,LAD,364,0.289,27,51,0.387,0.627,11,0.422,174,0.326,0.338,0.2554945054945055,0.13186813186813187
Bobby Witt Jr.,KCR,342,0.282,10,40,0.339,0.484,21,0.348,120,0.32,0.202,0.18128654970760233,0.07602339181286549
Kyle Tucker,CHC,348,0.288,15,48,0.397,0.524,18,0.392,155,0.3,0.23600000000000004,0.14080459770114942,0.14942528735632185
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.388,148,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
James Wood,WSN,353,0.281,22,63,0.377,0.561,9,0.399,158,0.335,0.28,0.26912181303116145,0.13314447592067988
Fernando Tatis Jr.,SDP,338,0.264,15,37,0.352,0.459,15,0.353,129,0.283,0.195,0.17455621301775148,0.10946745562130178
Jacob Wilson,ATH,318,0.353,9,40,0.394,0.495,5,0.388,153,0.356,0.14200000000000002,0.06289308176100629,0.05660377358490566
Trea Turner,PHI,346,0.3,9,35,0.355,0.448,19,0.352,125,0.337,0.14800000000000002,0.15606936416184972,0.06936416184971098
Jose Ramirez,CLE,318,0.317,13,36,0.377,0.518,20,0.379,148,0.321,0.201,0.11006289308176101,0.08490566037735849
Will Smith,LAD,252,0.33,9,42,0.425,0.541,2,0.415,170,0.377,0.21100000000000002,0.18253968253968253,0.14285714285714285
