Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.336,37,87,0.444,0.687,6,0.458,199,0.403,0.351,0.261,0.16
Cal Raleigh,SEA,0.247,45,98,0.354,0.593,13,0.392,160,0.247,0.346,0.272,0.134
Shohei Ohtani,LAD,0.284,42,78,0.389,0.624,17,0.418,173,0.322,0.341,0.268,0.142
Pete Crow-Armstrong,CHC,0.259,27,78,0.296,0.527,30,0.347,126,0.289,0.268,0.243,0.042
Bobby Witt Jr.,KCR,0.285,17,65,0.341,0.492,30,0.352,122,0.327,0.207,0.196,0.07400000000000001
Jose Ramirez,CLE,0.289,23,61,0.365,0.509,33,0.364,135,0.28,0.22,0.102,0.098
Corbin Carroll,ARI,0.251,26,62,0.325,0.561,14,0.372,139,0.281,0.31,0.24600000000000002,0.085
Fernando Tatis Jr.,SDP,0.264,17,46,0.366,0.435,24,0.348,128,0.301,0.171,0.18600000000000003,0.128
Geraldo Perdomo,ARI,0.286,12,78,0.385,0.436,17,0.36,131,0.299,0.15,0.107,0.134
Trea Turner,PHI,0.282,12,52,0.34,0.426,26,0.334,113,0.324,0.144,0.17,0.07400000000000001
Jeremy Pena,HOU,0.314,12,44,0.371,0.484,16,0.37,139,0.354,0.17,0.162,0.057
Kyle Tucker,CHC,0.271,18,62,0.384,0.469,24,0.368,140,0.289,0.198,0.145,0.15
Maikel Garcia,KCR,0.303,11,51,0.363,0.474,22,0.361,129,0.331,0.17,0.128,0.087
Kyle Schwarber,PHI,0.252,42,97,0.376,0.584,10,0.405,162,0.267,0.332,0.267,0.149
Byron Buxton,MIN,0.282,24,60,0.342,0.567,17,0.381,146,0.327,0.285,0.272,0.079
Will Smith,LAD,0.313,14,51,0.415,0.518,2,0.401,161,0.36,0.205,0.19,0.146
Ketel Marte,ARI,0.287,21,48,0.39,0.536,2,0.394,155,0.287,0.249,0.14300000000000002,0.133
Kyle Stowers,MIA,0.285,25,71,0.364,0.541,5,0.384,147,0.353,0.256,0.281,0.102
Manny Machado,SDP,0.297,20,72,0.359,0.491,11,0.365,140,0.328,0.194,0.175,0.086
Elly De La Cruz,CIN,0.275,19,74,0.35,0.463,31,0.347,119,0.345,0.188,0.253,0.10099999999999999
Julio Rodriguez,SEA,0.256,23,65,0.311,0.448,22,0.327,115,0.291,0.192,0.222,0.057999999999999996
Vladimir Guerrero Jr.,TOR,0.296,19,64,0.396,0.488,5,0.381,146,0.316,0.192,0.138,0.133
Masyn Winn,STL,0.267,8,42,0.32,0.386,7,0.31,100,0.311,0.12,0.175,0.065
Juan Soto,NYM,0.251,28,67,0.383,0.493,18,0.373,146,0.26,0.242,0.192,0.175
Gunnar Henderson,BAL,0.284,14,50,0.353,0.466,16,0.352,127,0.347,0.183,0.223,0.091
