Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,103,377,90,129,37,85,6,73,120,0.342,0.449,0.711,1.16,0.468,206,0.409,0.369,0.261,0.159
Cal Raleigh,SEA,106,397,71,102,41,87,12,64,121,0.257,0.365,0.607,0.972,0.402,166,0.256,0.35,0.258,0.136
Pete Crow-Armstrong,CHC,106,415,74,113,27,78,29,20,104,0.272,0.309,0.559,0.868,0.366,139,0.299,0.287,0.233,0.045
Bobby Witt Jr.,KCR,108,427,66,123,15,60,28,33,92,0.288,0.339,0.492,0.831,0.351,122,0.331,0.204,0.196,0.07
Shohei Ohtani,LAD,107,420,100,113,38,73,13,68,130,0.269,0.373,0.605,0.978,0.405,165,0.295,0.336,0.263,0.138
Jose Ramirez,CLE,105,396,68,118,21,56,31,43,47,0.298,0.371,0.52,0.891,0.372,141,0.291,0.222,0.10400000000000001,0.096
Fernando Tatis Jr.,SDP,107,405,76,109,17,44,22,60,85,0.269,0.369,0.449,0.819,0.355,133,0.303,0.18,0.18,0.127
Kyle Tucker,CHC,106,391,75,108,18,61,23,74,63,0.276,0.391,0.488,0.88,0.378,148,0.288,0.212,0.133,0.157
Trea Turner,PHI,106,439,72,127,11,44,25,33,80,0.289,0.343,0.431,0.774,0.337,116,0.331,0.141,0.16699999999999998,0.069
Corbin Carroll,ARI,92,372,69,92,21,50,13,33,103,0.247,0.32,0.543,0.863,0.364,135,0.285,0.296,0.249,0.08
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,143,0.36,0.167,0.157,0.057
Will Smith,LAD,85,283,53,92,14,50,2,49,64,0.325,0.424,0.544,0.968,0.414,171,0.371,0.219,0.188,0.14400000000000002
Kyle Stowers,MIA,102,342,53,102,23,63,5,41,108,0.298,0.379,0.57,0.949,0.401,160,0.369,0.272,0.276,0.105
Byron Buxton,MIN,85,326,68,92,23,59,17,29,97,0.282,0.343,0.561,0.905,0.381,145,0.327,0.279,0.266,0.08
Elly De La Cruz,CIN,109,415,78,117,18,69,29,50,114,0.282,0.361,0.482,0.843,0.36,129,0.349,0.2,0.244,0.107
Manny Machado,SDP,109,420,64,127,20,71,10,39,79,0.302,0.362,0.51,0.871,0.373,146,0.328,0.207,0.16899999999999998,0.084
Geraldo Perdomo,ARI,108,395,57,109,11,75,15,62,53,0.276,0.374,0.425,0.8,0.351,126,0.287,0.149,0.111,0.13
Kyle Schwarber,PHI,108,399,76,101,37,86,9,74,126,0.253,0.38,0.576,0.957,0.405,163,0.271,0.323,0.262,0.154
Cody Bellinger,NYY,99,385,61,109,20,62,9,32,56,0.283,0.336,0.517,0.853,0.362,133,0.283,0.234,0.132,0.076
Alejandro Kirk,TOR,88,312,27,95,7,47,0,29,34,0.304,0.361,0.413,0.775,0.338,117,0.32,0.109,0.098,0.084
Maikel Garcia,KCR,107,396,49,119,10,46,19,36,57,0.301,0.358,0.472,0.83,0.359,127,0.328,0.172,0.13,0.08199999999999999
Francisco Lindor,NYM,107,435,68,107,20,59,17,34,93,0.246,0.311,0.43,0.741,0.32,110,0.265,0.184,0.192,0.07
Masyn Winn,STL,97,370,58,100,7,39,6,27,68,0.27,0.325,0.389,0.714,0.315,103,0.313,0.119,0.168,0.067
Eugenio Suarez,ARI,106,387,64,96,36,87,1,29,117,0.248,0.32,0.576,0.897,0.377,143,0.25,0.328,0.268,0.066
James Wood,WSN,106,400,61,105,24,71,14,64,139,0.263,0.365,0.495,0.86,0.366,138,0.338,0.233,0.29600000000000004,0.136
Gunnar Henderson,BAL,102,386,62,110,12,43,14,39,95,0.285,0.354,0.464,0.818,0.353,127,0.35,0.179,0.221,0.091
Julio Rodriguez,SEA,108,447,70,114,19,56,20,30,111,0.255,0.312,0.436,0.748,0.324,113,0.298,0.181,0.228,0.062
Randy Arozarena,SEA,107,397,61,99,21,53,20,46,125,0.249,0.351,0.471,0.822,0.357,135,0.307,0.222,0.26899999999999996,0.099
CJ Abrams,WSN,94,374,67,103,14,41,26,28,72,0.275,0.344,0.473,0.817,0.353,129,0.307,0.198,0.17300000000000001,0.067
Matt Chapman,SFG,85,308,49,73,16,42,7,45,89,0.237,0.344,0.451,0.795,0.348,128,0.281,0.214,0.249,0.126
Andy Pages,LAD,105,395,49,111,19,64,8,20,91,0.281,0.322,0.473,0.795,0.342,121,0.317,0.192,0.214,0.047
Ceddanne Rafaela,BOS,104,363,59,95,14,49,14,17,73,0.262,0.301,0.452,0.752,0.324,102,0.291,0.19,0.188,0.044000000000000004
Juan Soto,NYM,107,379,75,94,25,62,15,84,90,0.248,0.382,0.488,0.871,0.372,145,0.257,0.24,0.192,0.179
Vladimir Guerrero Jr.,TOR,108,404,71,119,15,57,5,66,66,0.295,0.4,0.465,0.865,0.375,142,0.32,0.171,0.138,0.138
Matt Olson,ATL,107,406,59,106,18,67,0,66,110,0.261,0.365,0.458,0.823,0.358,131,0.313,0.197,0.231,0.138
Jackson Chourio,MIL,106,445,71,123,17,67,18,22,95,0.276,0.311,0.474,0.786,0.336,118,0.315,0.198,0.201,0.047
Xander Bogaerts,SDP,107,386,46,103,7,37,16,44,68,0.267,0.339,0.383,0.723,0.317,107,0.304,0.117,0.156,0.10099999999999999
Riley Greene,DET,107,415,59,115,26,84,1,28,144,0.277,0.324,0.525,0.85,0.362,133,0.36,0.248,0.322,0.063
Zach McKinstry,DET,99,325,52,87,9,37,16,38,79,0.268,0.348,0.449,0.797,0.345,121,0.324,0.182,0.212,0.102
Nico Hoerner,CHC,104,395,59,115,4,44,19,24,33,0.291,0.339,0.382,0.721,0.318,106,0.307,0.091,0.077,0.055999999999999994
Isaac Paredes,HOU,94,351,51,91,19,50,0,49,67,0.259,0.359,0.47,0.829,0.362,133,0.27,0.211,0.16399999999999998,0.12
Jarren Duran,BOS,108,438,62,116,11,60,18,38,119,0.265,0.332,0.461,0.793,0.342,115,0.339,0.196,0.245,0.078
Steven Kwan,CLE,102,402,53,115,9,38,11,40,38,0.286,0.35,0.408,0.758,0.332,113,0.294,0.122,0.084,0.08800000000000001
Willy Adames,SFG,108,399,64,95,16,57,4,51,116,0.238,0.325,0.414,0.738,0.322,110,0.289,0.175,0.252,0.111
Michael Busch,CHC,102,342,50,94,21,61,4,38,93,0.275,0.362,0.52,0.883,0.38,149,0.32,0.246,0.239,0.098
Sal Frelick,MIL,97,360,48,105,8,41,17,27,53,0.292,0.35,0.406,0.756,0.333,116,0.321,0.114,0.132,0.067
George Springer,TOR,101,344,66,100,18,57,12,51,76,0.291,0.383,0.506,0.889,0.383,147,0.323,0.215,0.18600000000000003,0.125
Brendan Donovan,STL,101,389,55,111,9,42,3,39,58,0.285,0.358,0.416,0.774,0.338,120,0.313,0.131,0.132,0.08900000000000001
Pete Alonso,NYM,109,405,54,105,22,81,1,48,109,0.259,0.351,0.491,0.842,0.361,138,0.297,0.232,0.23199999999999998,0.102
Ryan O'Hearn,BAL,94,311,45,88,13,43,3,42,63,0.283,0.374,0.463,0.837,0.363,134,0.315,0.18,0.175,0.11599999999999999
Gleyber Torres,DET,97,349,55,96,11,50,4,55,57,0.275,0.375,0.418,0.794,0.351,126,0.297,0.143,0.138,0.133
Jacob Wilson,ATH,94,369,46,115,10,45,5,21,31,0.312,0.354,0.439,0.793,0.346,119,0.319,0.127,0.078,0.053
Bo Bichette,TOR,107,454,52,132,13,67,4,25,75,0.291,0.331,0.452,0.782,0.337,116,0.323,0.161,0.155,0.052000000000000005
