Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,96,352,85,125,35,81,6,69,109,0.355,0.462,0.733,1.194,0.484,219,0.425,0.378,0.254,0.161
Cal Raleigh,SEA,94,347,65,90,38,82,10,62,105,0.259,0.376,0.634,1.011,0.416,178,0.251,0.375,0.252,0.149
Pete Crow-Armstrong,CHC,95,373,67,99,25,71,27,18,92,0.265,0.302,0.544,0.847,0.358,133,0.286,0.279,0.22899999999999998,0.045
Bobby Witt Jr.,KCR,97,381,57,112,14,54,25,30,80,0.294,0.345,0.504,0.849,0.358,127,0.334,0.21,0.19,0.071
Shohei Ohtani,LAD,95,370,91,102,32,60,12,62,109,0.276,0.382,0.605,0.988,0.41,168,0.303,0.33,0.249,0.142
Fernando Tatis Jr.,SDP,94,357,65,96,16,42,21,51,72,0.269,0.366,0.451,0.817,0.353,132,0.296,0.182,0.174,0.12300000000000001
Byron Buxton,MIN,78,298,64,86,21,56,17,27,87,0.289,0.351,0.574,0.925,0.39,152,0.335,0.285,0.261,0.081
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Kyle Tucker,CHC,95,357,68,100,17,56,22,60,60,0.28,0.384,0.499,0.882,0.377,146,0.293,0.218,0.142,0.142
James Wood,WSN,95,356,59,99,24,69,12,59,116,0.278,0.381,0.534,0.915,0.387,152,0.342,0.256,0.276,0.14
Jose Ramirez,CLE,92,346,54,102,18,50,29,35,44,0.295,0.363,0.506,0.869,0.364,136,0.291,0.211,0.113,0.09
Francisco Lindor,NYM,95,381,63,99,19,54,15,33,76,0.26,0.33,0.457,0.787,0.339,123,0.274,0.197,0.177,0.077
Trea Turner,PHI,94,388,62,112,11,40,24,29,70,0.289,0.343,0.433,0.776,0.338,116,0.327,0.144,0.165,0.069
Corbin Carroll,ARI,80,322,62,79,21,47,11,31,93,0.245,0.324,0.55,0.874,0.37,138,0.278,0.304,0.258,0.086
Will Smith,LAD,74,248,45,80,12,46,2,45,55,0.323,0.425,0.54,0.966,0.415,171,0.366,0.218,0.183,0.15
