Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.333,40,92,0.447,0.691,7,0.46,201,0.393,0.357,0.254,0.168
Cal Raleigh,SEA,0.249,47,102,0.358,0.594,14,0.394,162,0.252,0.344,0.268,0.13699999999999998
Shohei Ohtani,LAD,0.284,44,83,0.392,0.623,17,0.419,173,0.321,0.34,0.264,0.147
Bobby Witt Jr.,KCR,0.291,18,69,0.35,0.497,32,0.358,127,0.332,0.206,0.193,0.08
Pete Crow-Armstrong,CHC,0.259,27,79,0.299,0.516,30,0.345,124,0.293,0.257,0.242,0.043
Trea Turner,PHI,0.295,13,57,0.351,0.441,29,0.344,119,0.338,0.146,0.165,0.071
Jose Ramirez,CLE,0.291,26,66,0.365,0.518,36,0.367,137,0.281,0.228,0.105,0.098
Geraldo Perdomo,ARI,0.289,13,81,0.39,0.443,22,0.364,134,0.303,0.153,0.107,0.138
Corbin Carroll,ARI,0.253,27,65,0.329,0.559,17,0.373,140,0.285,0.305,0.242,0.08900000000000001
Fernando Tatis Jr.,SDP,0.264,17,51,0.37,0.431,25,0.349,128,0.303,0.166,0.182,0.133
Maikel Garcia,KCR,0.302,12,56,0.362,0.471,22,0.36,128,0.329,0.169,0.13,0.08800000000000001
Ketel Marte,ARI,0.293,23,56,0.393,0.548,3,0.4,158,0.294,0.256,0.141,0.131
Will Smith,LAD,0.308,15,56,0.415,0.511,2,0.399,160,0.354,0.203,0.191,0.15
Jeremy Pena,HOU,0.31,13,45,0.367,0.479,17,0.366,136,0.35,0.168,0.16699999999999998,0.057999999999999996
Francisco Lindor,NYM,0.258,24,71,0.326,0.454,20,0.336,119,0.281,0.196,0.193,0.073
Julio Rodriguez,SEA,0.259,24,70,0.313,0.456,23,0.331,118,0.299,0.197,0.228,0.057
Kyle Schwarber,PHI,0.249,44,104,0.371,0.576,10,0.4,158,0.267,0.326,0.271,0.146
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Byron Buxton,MIN,0.277,25,61,0.337,0.55,18,0.372,140,0.32,0.274,0.26899999999999996,0.078
Kyle Tucker,CHC,0.261,18,62,0.374,0.447,25,0.356,131,0.278,0.187,0.14400000000000002,0.14800000000000002
Elly De La Cruz,CIN,0.275,19,76,0.35,0.458,31,0.345,117,0.346,0.183,0.251,0.1
Gunnar Henderson,BAL,0.281,15,57,0.353,0.47,16,0.353,128,0.341,0.189,0.22,0.094
Vladimir Guerrero Jr.,TOR,0.298,21,69,0.396,0.498,5,0.385,149,0.319,0.2,0.141,0.13
Juan Soto,NYM,0.251,31,72,0.386,0.5,20,0.377,147,0.257,0.249,0.193,0.179
Cody Bellinger,NYY,0.272,24,75,0.325,0.5,10,0.351,126,0.268,0.228,0.13,0.075
Masyn Winn,STL,0.26,9,46,0.315,0.381,9,0.306,97,0.303,0.121,0.17800000000000002,0.065
Corey Seager,TEX,0.264,19,45,0.367,0.477,3,0.359,132,0.291,0.213,0.19699999999999998,0.129
Manny Machado,SDP,0.292,20,73,0.354,0.479,11,0.358,135,0.325,0.187,0.17800000000000002,0.085
Alejandro Kirk,TOR,0.296,10,56,0.355,0.416,1,0.337,116,0.308,0.12,0.10099999999999999,0.086
Matt Olson,ATL,0.273,19,72,0.37,0.461,1,0.361,132,0.338,0.188,0.239,0.133
Jazz Chisholm Jr.,NYY,0.238,22,57,0.334,0.476,21,0.35,126,0.279,0.238,0.27899999999999997,0.115
Nico Hoerner,CHC,0.291,4,49,0.341,0.374,23,0.315,104,0.307,0.083,0.073,0.06
Randy Arozarena,SEA,0.243,23,59,0.344,0.447,24,0.345,128,0.297,0.204,0.263,0.09699999999999999
Jarren Duran,BOS,0.261,12,69,0.336,0.451,20,0.34,114,0.331,0.19,0.23800000000000002,0.085
Sal Frelick,MIL,0.298,9,49,0.363,0.414,18,0.342,121,0.328,0.116,0.129,0.078
Andy Pages,LAD,0.275,20,70,0.32,0.455,12,0.334,115,0.312,0.18,0.209,0.053
Junior Caminero,TBR,0.255,35,85,0.297,0.523,5,0.346,121,0.252,0.268,0.207,0.057
William Contreras,MIL,0.26,13,61,0.359,0.395,6,0.333,115,0.301,0.135,0.18,0.132
Xander Bogaerts,SDP,0.264,10,43,0.333,0.392,19,0.317,106,0.299,0.129,0.161,0.09300000000000001
Ceddanne Rafaela,BOS,0.252,14,52,0.296,0.426,18,0.312,94,0.287,0.174,0.192,0.046
Shea Langeliers,ATH,0.269,27,58,0.316,0.549,5,0.364,131,0.264,0.28,0.184,0.068
Eugenio Suarez,- - -,0.237,38,96,0.306,0.538,3,0.356,129,0.248,0.301,0.278,0.063
James Wood,WSN,0.256,25,80,0.353,0.475,15,0.354,128,0.336,0.219,0.302,0.126
CJ Abrams,WSN,0.267,16,49,0.329,0.458,26,0.34,118,0.298,0.191,0.17300000000000001,0.061
Pete Alonso,NYM,0.265,28,100,0.349,0.514,1,0.366,140,0.298,0.248,0.22899999999999998,0.094
Zach Neto,LAA,0.269,21,55,0.325,0.481,22,0.344,119,0.325,0.213,0.259,0.057999999999999996
Bo Bichette,TOR,0.296,16,82,0.339,0.463,4,0.346,122,0.326,0.166,0.146,0.057
Matt Chapman,SFG,0.229,16,44,0.337,0.423,7,0.335,118,0.274,0.194,0.248,0.129
George Springer,TOR,0.292,20,61,0.383,0.514,13,0.386,150,0.321,0.222,0.185,0.12
Taylor Ward,LAA,0.237,29,92,0.32,0.49,3,0.345,121,0.271,0.254,0.267,0.10800000000000001
Jackson Chourio,MIL,0.276,17,67,0.311,0.474,18,0.335,116,0.315,0.198,0.201,0.047
Brice Turang,MIL,0.279,13,61,0.343,0.415,21,0.331,114,0.341,0.136,0.222,0.09
Isaac Paredes,HOU,0.259,19,50,0.359,0.47,0,0.361,133,0.27,0.211,0.16399999999999998,0.12
