Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.33,40,92,0.445,0.684,7,0.457,199,0.39,0.354,0.255,0.168
Cal Raleigh,SEA,0.247,47,102,0.355,0.588,14,0.391,160,0.251,0.341,0.272,0.136
Bobby Witt Jr.,KCR,0.294,18,69,0.352,0.5,32,0.36,129,0.337,0.206,0.193,0.079
Shohei Ohtani,LAD,0.285,44,83,0.393,0.625,17,0.42,174,0.322,0.34,0.262,0.14800000000000002
Trea Turner,PHI,0.301,13,59,0.356,0.449,31,0.35,123,0.345,0.148,0.16399999999999998,0.07
Pete Crow-Armstrong,CHC,0.257,27,79,0.297,0.513,30,0.343,123,0.292,0.255,0.244,0.043
Jose Ramirez,CLE,0.291,26,66,0.366,0.517,36,0.367,137,0.281,0.226,0.10400000000000001,0.099
Fernando Tatis Jr.,SDP,0.266,17,52,0.372,0.433,25,0.351,130,0.306,0.167,0.182,0.134
Corbin Carroll,ARI,0.253,27,65,0.328,0.556,17,0.371,139,0.286,0.303,0.242,0.08800000000000001
Geraldo Perdomo,ARI,0.287,13,81,0.388,0.439,22,0.362,132,0.3,0.152,0.106,0.13699999999999998
Maikel Garcia,KCR,0.3,12,56,0.361,0.468,22,0.359,127,0.328,0.168,0.133,0.08900000000000001
Ketel Marte,ARI,0.293,23,56,0.394,0.546,3,0.4,158,0.295,0.254,0.139,0.132
Julio Rodriguez,SEA,0.262,25,71,0.316,0.466,23,0.336,122,0.302,0.203,0.226,0.055999999999999994
Kyle Schwarber,PHI,0.253,45,109,0.373,0.584,10,0.403,160,0.27,0.331,0.26899999999999996,0.145
Jeremy Pena,HOU,0.31,13,45,0.368,0.479,17,0.366,136,0.349,0.169,0.165,0.06
Francisco Lindor,NYM,0.258,24,71,0.327,0.453,20,0.336,119,0.281,0.195,0.192,0.075
