Team,W,L,PCT,GB,Division
CHICAGO CUBS,54,36,0.6,-,unknown
MILWAUKEE BREWERS,50,40,0.556,4.0,unknown
ST. LOUIS CARDINALS,48,43,0.527,6.5,unknown
CINCINNATI REDS,46,44,0.511,8.0,unknown
PITTSBURGH PIRATES,38,53,0.418,16.5,unknown
