Team,W,L,PCT,GB,Division
TORONTO BLUE JAYS,52,38,0.578,-,unknown
NEW YORK YANKEES,49,41,0.544,3.0,unknown
TAMPA BAY RAYS,49,41,0.544,3.0,unknown
BOSTON RED SOX,46,45,0.505,6.5,unknown
BALTIMORE ORIOLES,40,49,0.449,11.5,unknown
