Team,W,L,PCT,GB,Division
LOS ANGELES DODGERS,56,36,0.609,-,unknown
SAN FRANCISCO GIANTS,50,42,0.543,6.0,unknown
SAN DIEGO PADRES,48,42,0.533,7.0,unknown
ARIZONA DIAMONDBACKS,45,46,0.495,10.5,unknown
COLORADO ROCKIES,21,70,0.231,34.5,unknown
