IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
27647,2025,Anthony Volpe,NYY,SS,118,116,1016.2,140,254,16,5,11,51,30,20,3,,,,,,0.961,,,-1.0,,0,3.0,2,206.0,164.0,0.796,67.0,,,,,,,,,,,-1.8,,,,,,,,,,,,,0,,,,-8.0,-6.0
11493,2025,Manny Machado,SDP,3B,106,106,921.2,86,164,14,5,9,19,20,3,3,,,,,,0.947,,,0.0,,1,0.0,1,178.0,116.0,0.652,30.0,,,,,,,,,,,-1.9,,,,,,,,,,,,,0,,,,-6.0,-4.0
19612,2025,Bo Bichette,TOR,SS,110,108,942.2,142,197,9,4,5,44,26,18,2,,,,,,0.974,,,1.0,,0,-10.0,-9,159.0,117.0,0.736,57.0,,,,,,,,,,,-2.1,,,,,,,,,,,,,0,,,,-7.0,-6.0
35108,2025,Cam Smith,HOU,RF,103,100,879.1,215,5,2,1,0,0,0,0,0,,,,,,0.991,,,,1.0,0,9.0,10,147.0,135.0,0.918,81.0,,,,,,,,,,,-2.1,,,,,,,,,,,,,0,,,,2.0,2.0
31781,2025,Jackson Holliday,BAL,2B,100,97,851.1,138,232,6,5,1,47,15,34,2,,,,,,0.984,,,0.0,,1,-8.0,-7,209.0,146.0,0.699,49.0,,,,,,,,,,,-2.2,,,,,,,,,,,,,0,,,,-4.0,-3.0
14344,2025,Matt Olson,ATL,1B,118,118,1044.2,856,107,3,1,2,60,11,0,59,14.0,,,,,0.997,,,1.0,,1,11.0,14,170.0,137.0,0.806,26.0,,,,,,,,,,,-2.2,,,,,,,,,,,,,0,,,,8.0,6.0
17548,2025,Taylor Ward,LAA,LF,115,114,1007.0,224,3,4,2,2,0,1,0,0,,,,,,0.983,,,,-3.0,0,4.0,1,165.0,146.0,0.885,78.0,,,,,,,,,,,-2.3,,,,,,,,,,,,,0,,,,3.0,2.0
12144,2025,Max Kepler,PHI,LF,89,78,690.1,136,2,0,0,0,0,0,0,0,,,,,,1.0,,,,-1.0,-1,3.0,1,107.0,99.0,0.925,37.0,,,,,,,,,,,-2.6,,,,,,,,,,,,,0,,,,0.0,0.0
11609,2025,Willson Contreras,STL,1B,99,98,830.1,800,68,6,2,3,56,4,1,60,8.0,,,,,0.993,,,0.0,,-2,2.0,-1,145.0,114.0,0.786,19.0,,,,,,,,,,,-2.6,,,,,,,,,,,,,0,,,,5.0,4.0
19522,2025,TJ Friedl,CIN,CF,110,109,947.2,282,1,2,2,0,0,0,0,0,,,,,,0.993,,,,-5.0,-1,1.0,-5,212.0,202.0,0.953,80.0,,,,,,,,,,,-2.8,,,,,,,,,,,,,0,,,,1.0,1.0
23003,2025,Yainer Diaz,HOU,C,81,80,712.0,802,25,2,0,2,0,1,0,0,,73.0,13.0,6.0,20.0,0.998,,-3.0,,,0,,-5,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,-3,0.0,,-5.9,,
18564,2025,Trent Grisham,NYY,CF,99,86,787.0,193,5,1,1,0,0,1,0,0,,,,,,0.995,,,,1.0,-1,-5.0,-5,151.0,139.0,0.921,54.0,,,,,,,,,,,-3.1,,,,,,,,,,,,,0,,,,-1.0,-1.0
17919,2025,Ian Happ,CHC,LF,103,103,906.0,212,4,1,0,1,0,0,0,0,,,,,,0.995,,,,4.0,-3,2.0,3,160.0,148.0,0.925,65.0,,,,,,,,,,,-3.2,,,,,,,,,,,,,0,,,,-1.0,-1.0
15491,2025,J.P. Crawford,SEA,SS,115,114,1031.2,150,273,9,5,4,56,26,28,4,,,,,,0.979,,,2.0,,0,-4.0,-2,228.0,178.0,0.781,75.0,,,,,,,,,,,-3.3,,,,,,,,,,,,,0,,,,-9.0,-7.0
13301,2025,Max Muncy,LAD,3B,86,79,709.2,53,132,11,3,8,12,12,0,0,,,,,,0.944,,,0.0,,-1,3.0,2,140.0,104.0,0.743,27.0,,,,,,,,,,,-3.3,,,,,,,,,,,,,0,,,,-7.0,-5.0
33824,2025,Jung Hoo Lee,SFG,CF,111,108,962.0,245,6,2,1,1,0,2,0,0,,,,,,0.992,,,,1.0,-1,-13.0,-13,196.0,177.0,0.903,68.0,,,,,,,,,,,-3.4,,,,,,,,,,,,,0,,,,-3.0,-3.0
17929,2025,Cedric Mullins,- - -,CF,96,93,816.1,231,0,3,1,2,0,0,0,0,,,,,,0.987,,,,-4.0,1,-11.0,-14,184.0,173.0,0.94,58.0,,,,,,,,,,,-3.6,,,,,,,,,,,,,0,,,,2.0,2.0
25768,2025,CJ Abrams,WSN,SS,103,102,886.1,150,240,13,3,10,48,27,20,7,,,,,,0.968,,,0.0,,0,-6.0,-6,211.0,166.0,0.787,56.0,,,,,,,,,,,-3.6,,,,,,,,,,,,,0,,,,-9.0,-7.0
24617,2025,Jarren Duran,BOS,LF,102,96,854.2,175,6,6,5,1,0,0,0,0,,,,,,0.968,,,,5.0,1,2.0,8,130.0,109.0,0.838,66.0,,,,,,,,,,,-4.2,,,,,,,,,,,,,0,,,,-4.0,-4.0
29518,2025,James Wood,WSN,LF,98,98,848.1,193,3,1,1,0,0,0,0,0,,,,,,0.995,,,,1.0,0,3.0,4,149.0,134.0,0.899,60.0,,,,,,,,,,,-4.2,,,,,,,,,,,,,0,,,,-1.0,-1.0
20391,2025,Luis Garcia Jr.,WSN,2B,98,94,823.1,187,235,6,4,2,51,17,36,3,,,,,,0.986,,,0.0,,1,-17.0,-16,223.0,158.0,0.709,35.0,,,,,,,,,,,-4.2,,,,,,,,,,,,,0,,,,-7.0,-5.0
16472,2025,Rhys Hoskins,MIL,1B,80,78,667.2,534,35,5,3,2,46,3,1,46,6.0,,,,,0.991,,,0.0,,0,1.0,2,78.0,64.0,0.821,7.0,,,,,,,,,,,-4.5,,,,,,,,,,,,,0,,,,1.0,1.0
31431,2025,Jordan Beck,COL,LF,98,95,827.1,184,9,3,3,0,0,2,0,0,,,,,,0.985,,,,2.0,0,-7.0,-5,145.0,126.0,0.869,58.0,,,,,,,,,,,-4.9,,,,,,,,,,,,,0,,,,-4.0,-4.0
24729,2025,Logan O'Hoppe,LAA,C,76,76,671.0,590,20,4,1,3,0,2,0,1,,49.0,9.0,5.0,34.0,0.993,,-3.0,,,-4,,-11,,,,,,,,,,,,,,,-5.5,,,,,,,,,,,,,-4,0.0,,-7.4,,
21837,2025,Jonathan Aranda,TBR,1B,91,84,750.2,664,50,5,3,2,70,8,1,72,9.0,,,,,0.993,,,0.0,,1,4.0,5,121.0,93.0,0.769,9.0,,,,,,,,,,,-5.6,,,,,,,,,,,,,0,,,,0.0,0.0
19238,2025,Lourdes Gurriel Jr.,ARI,LF,102,100,880.2,186,4,2,0,2,0,1,0,0,,,,,,0.99,,,,-5.0,0,0.0,-5,135.0,118.0,0.874,68.0,,,,,,,,,,,-5.9,,,,,,,,,,,,,0,,,,-3.0,-2.0
19326,2025,Bryan Reynolds,PIT,RF,87,87,746.0,184,1,2,1,1,0,0,0,0,,,,,,0.989,,,,-4.0,-1,2.0,-3,142.0,129.0,0.908,55.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,0,,,,-3.0,-2.0
19290,2025,Randy Arozarena,SEA,LF,115,115,1027.1,224,3,1,0,1,0,1,0,0,,,,,,0.996,,,,0.0,0,-1.0,-1,152.0,137.0,0.901,87.0,,,,,,,,,,,-6.6,,,,,,,,,,,,,0,,,,-2.0,-2.0
27676,2025,Vinnie Pasquantino,KCR,1B,86,86,750.2,657,49,2,1,1,66,10,0,65,12.0,,,,,0.997,,,0.0,,0,-2.0,-2,102.0,77.0,0.755,13.0,,,,,,,,,,,-7.0,,,,,,,,,,,,,0,,,,-2.0,-1.0
16376,2025,Michael Conforto,LAD,LF,99,93,772.2,153,4,2,1,1,0,1,0,0,,,,,,0.987,,,,1.0,1,-5.0,-3,108.0,98.0,0.907,56.0,,,,,,,,,,,-7.0,,,,,,,,,,,,,0,,,,-5.0,-5.0
11579,2025,Bryce Harper,PHI,1B,89,89,780.2,628,53,2,1,0,46,3,0,48,9.0,,,,,0.997,,,0.0,,1,-3.0,-1,116.0,85.0,0.733,12.0,,,,,,,,,,,-7.4,,,,,,,,,,,,,0,,,,-2.0,-1.0
13419,2025,Christian Walker,HOU,1B,111,111,967.0,791,36,5,3,2,56,3,0,62,9.0,,,,,0.994,,,0.0,,-1,-8.0,-9,111.0,75.0,0.676,13.0,,,,,,,,,,,-7.5,,,,,,,,,,,,,0,,,,0.0,0.0
18882,2025,Brandon Lowe,TBR,2B,88,84,729.2,129,220,6,4,2,62,23,41,4,,,,,,0.983,,,2.0,,1,-14.0,-11,166.0,111.0,0.669,61.0,,,,,,,,,,,-7.6,,,,,,,,,,,,,0,,,,-11.0,-9.0
27465,2025,Spencer Torkelson,DET,1B,104,103,911.0,759,69,3,2,1,71,15,0,71,21.0,,,,,0.996,,,1.0,,1,0.0,2,134.0,109.0,0.813,21.0,,,,,,,,,,,-8.2,,,,,,,,,,,,,0,,,,-2.0,-1.0
18839,2025,Josh Naylor,- - -,1B,91,88,767.0,657,49,4,2,2,56,2,0,57,15.0,,,,,0.994,,,0.0,,-2,-4.0,-6,133.0,102.0,0.767,15.0,,,,,,,,,,,-8.2,,,,,,,,,,,,,0,,,,-3.0,-2.0
9218,2025,Paul Goldschmidt,NYY,1B,105,92,821.0,665,71,3,2,1,55,5,0,58,18.0,,,,,0.996,,,0.0,,2,-2.0,1,119.0,95.0,0.798,16.0,,,,,,,,,,,-8.2,,,,,,,,,,,,,0,,,,-3.0,-2.0
33189,2025,Nolan Schanuel,LAA,1B,114,113,992.0,889,55,6,3,3,103,10,0,106,17.0,,,,,0.994,,,0.0,,0,-3.0,-2,134.0,99.0,0.739,14.0,,,,,,,,,,,-8.2,,,,,,,,,,,,,0,,,,-1.0,-1.0
19611,2025,Vladimir Guerrero Jr.,TOR,1B,104,101,881.2,674,46,8,7,1,64,7,0,68,14.0,,,,,0.989,,,0.0,,-1,6.0,5,133.0,96.0,0.722,22.0,,,,,,,,,,,-8.3,,,,,,,,,,,,,0,,,,-2.0,-2.0
26319,2025,Michael Busch,CHC,1B,108,93,850.2,704,63,4,4,0,67,5,0,69,14.0,,,,,0.995,,,0.0,,0,0.0,1,115.0,89.0,0.774,11.0,,,,,,,,,,,-8.9,,,,,,,,,,,,,0,,,,-3.0,-2.0
20220,2025,Jo Adell,LAA,CF,83,80,709.0,196,1,5,4,1,0,0,0,0,,,,,,0.975,,,,-1.0,-1,-11.0,-13,163.0,150.0,0.92,46.0,,,,,,,,,,,-9.1,,,,,,,,,,,,,0,,,,-8.0,-7.0
5361,2025,Freddie Freeman,LAD,1B,105,104,885.1,720,70,3,3,0,57,4,0,58,20.0,,,,,0.996,,,0.0,,1,-10.0,-9,140.0,101.0,0.721,11.0,,,,,,,,,,,-9.5,,,,,,,,,,,,,0,,,,-4.0,-3.0
19251,2025,Pete Alonso,NYM,1B,117,116,1028.0,857,87,5,1,3,73,3,0,72,21.0,,,,,0.995,,,0.0,,1,-6.0,-5,180.0,134.0,0.744,17.0,,,,,,,,,,,-9.6,,,,,,,,,,,,,0,,,,-2.0,-2.0
13066,2025,Teoscar Hernandez,LAD,RF,95,94,787.0,182,6,2,2,0,0,2,0,0,,,,,,0.989,,,,2.0,1,-2.0,1,127.0,116.0,0.913,66.0,,,,,,,,,,,-10.1,,,,,,,,,,,,,0,,,,-8.0,-7.0
28080,2025,Jasson Dominguez,NYY,LF,84,82,689.0,152,1,2,1,1,0,0,0,0,,,,,,0.987,,,,-2.0,-1,-5.0,-8,101.0,91.0,0.901,61.0,,,,,,,,,,,-10.3,,,,,,,,,,,,,0,,,,-7.0,-7.0
18568,2025,Luis Arraez,SDP,1B,93,93,819.2,619,55,1,0,1,56,10,1,56,14.0,,,,,0.999,,,1.0,,0,1.0,1,124.0,97.0,0.782,15.0,,,,,,,,,,,-10.6,,,,,,,,,,,,,0,,,,-6.0,-4.0
19566,2025,Nathaniel Lowe,WSN,1B,113,111,977.1,796,59,7,6,1,78,7,0,76,11.0,,,,,0.992,,,0.0,,-3,-1.0,-4,146.0,106.0,0.726,10.0,,,,,,,,,,,-11.3,,,,,,,,,,,,,0,,,,-5.0,-4.0
20123,2025,Juan Soto,NYM,RF,114,114,1000.0,190,6,0,0,0,0,1,0,0,,,,,,1.0,,,,1.0,0,-4.0,-3,153.0,141.0,0.922,50.0,,,,,,,,,,,-12.0,,,,,,,,,,,,,0,,,,-8.0,-7.0
22515,2025,Heliot Ramos,SFG,LF,114,113,997.0,203,3,6,5,1,0,1,0,0,,,,,,0.972,,,,2.0,-4,-7.0,-9,153.0,136.0,0.889,67.0,,,,,,,,,,,-12.3,,,,,,,,,,,,,0,,,,-9.0,-8.0
25845,2025,Michael Toglia,COL,1B,83,80,705.0,702,46,3,2,1,72,11,0,78,12.0,,,,,0.996,,,0.0,,-1,-1.0,-3,139.0,100.0,0.719,13.0,,,,,,,,,,,-12.7,,,,,,,,,,,,,0,,,,-10.0,-7.0
11737,2025,Nick Castellanos,PHI,RF,111,111,960.1,192,2,0,0,0,0,1,0,0,,,,,,1.0,,,,-4.0,-1,-8.0,-13,151.0,132.0,0.874,60.0,,,,,,,,,,,-15.2,,,,,,,,,,,,,0,,,,-11.0,-10.0
