Team,W,L,PCT,GB,Division
CHICAGO CUBS,54,38,0.587,-,unknown
MILWAUKEE BREWERS,53,40,0.57,1.5,unknown
ST. LOUIS CARDINALS,49,44,0.527,5.5,unknown
CINCINNATI REDS,47,46,0.505,7.5,unknown
PITTSBURGH PIRATES,38,56,0.404,17.0,unknown
