Team,W,L,PCT,GB,Division
HOUSTON ASTROS,55,37,0.598,-,unknown
SEATTLE MARINERS,48,44,0.522,7.0,unknown
TEXAS RANGERS,45,47,0.489,10.0,unknown
LOS ANGELES ANGELS,44,47,0.484,10.5,unknown
ATHLETICS,38,55,0.409,17.5,unknown
